,Back_9_Round_2_Scoring_Average_RANK THIS WEEK,Back_9_Round_2_Scoring_Average_RANK LAST WEEK,Back_9_Round_2_Scoring_Average_PLAYER NAME,Back_9_Round_2_Scoring_Average_AVG,Back_9_Round_2_Scoring_Average_TOTAL STROKES,Back_9_Round_2_Scoring_Average_TOTAL ROUNDS
41,T40,T37,Xander Schauffele,34.93,489,14
42,43,T48,Adam Hadwin,34.94,594,17
43,T44,T41,Joel Dahmen,34.95,734,21
44,T44,T41,Brandon Harkins,34.95,699,20
45,T46,T46,Ryan Armour,35.0,735,21
46,T46,T43,Keith Mitchell,35.0,630,18
47,T46,T43,Rory Sabbatini,35.0,630,18
48,T46,T43,Charl Schwartzel,35.0,385,11
49,T50,T61,Roger Sloan,35.05,701,20
50,T50,T46,Brian Stuard,35.05,736,21
51,52,T48,Lucas Glover,35.06,561,16
52,T53,T58,Sungjae Im,35.08,877,25
53,T53,T51,Patrick Reed,35.08,456,13
54,55,53,Louis Oosthuizen,35.1,351,10
55,T56,T54,Jason Dufner,35.11,632,18
56,T56,T54,Kevin Streelman,35.11,667,19
57,58,57,Michael Thompson,35.12,597,17
58,59,T85,Graeme McDowell,35.13,527,15
59,T60,T51,Alex Noren,35.15,457,13
60,T60,T80,Wes Roach,35.15,457,13
61,62,T61,Sung Kang,35.16,668,19
62,63,64,Kevin Tway,35.17,633,18
63,64,50,Josh Teater,35.19,563,16
64,T65,66,James Hahn,35.2,352,10
65,T65,74,Ollie Schniederjans,35.2,704,20
66,T67,T78,J.J. Henry,35.21,493,14
67,T67,63,Peter Uihlein,35.21,669,19
68,69,T67,Marc Leishman,35.23,458,13
69,T70,65,Russell Henley,35.24,599,17
70,T70,T107,Brandt Snedeker,35.24,599,17
71,T70,T69,Jhonattan Vegas,35.24,599,17
72,T73,T71,Patrick Cantlay,35.25,423,12
73,T73,88,Brian Gay,35.25,705,20
74,T73,75,Jim Knous,35.25,564,16
75,76,T76,Bud Cauley,35.26,670,19
76,T77,T69,Wyndham Clark,35.28,635,18
77,T77,T96,Mackenzie Hughes,35.28,635,18
78,T77,T76,Si Woo Kim,35.28,635,18
79,80,T71,Adam Svensson,35.29,600,17
80,T81,T78,Anirban Lahiri,35.31,565,16
81,T81,T107,Webb Simpson,35.31,459,13
82,83,T80,Trey Mullinax,35.32,671,19
83,T84,T80,Abraham Ancer,35.33,636,18
84,T84,T80,Ernie Els,35.33,424,12
85,T84,T98,Dylan Frittelli,35.33,530,15
86,T87,84,Andrew Landry,35.35,601,17
87,T87,T89,Jimmy Walker,35.35,601,17
88,T89,T89,Fabián Gómez,35.36,495,14
89,T89,T98,Kelly Kraft,35.36,778,22
90,T89,T85,Troy Merritt,35.36,389,11
91,T92,T85,Roberto Díaz,35.4,531,15
92,T92,95,Luke List,35.4,531,15
93,94,133,Anders Albertson,35.41,602,17
94,T95,T67,John Chin,35.43,496,14
95,T95,132,Jim Furyk,35.43,496,14
96,T95,T98,Justin Harding,35.43,248,7
97,T95,T98,J.T. Poston,35.43,744,21
98,T95,105,Adam Schenk,35.43,815,23
99,T95,T89,Cameron Tringale,35.43,496,14
100,T101,T107,Sergio Garcia,35.44,319,9
101,T101,T96,Chase Wright,35.44,638,18
102,103,T107,Bubba Watson,35.45,390,11
103,104,T71,Johnson Wagner,35.46,461,13
104,T105,106,Cameron Champ,35.47,603,17
105,T105,T107,Cody Gribble,35.47,603,17
106,T105,T122,Whee Kim,35.47,674,19
107,T105,T122,Martin Laird,35.47,603,17
108,T105,T89,Sebastián Muñoz,35.47,603,17
109,T105,T102,Joaquin Niemann,35.47,674,19
110,T105,T93,Hudson Swafford,35.47,674,19
111,T105,T93,Nick Watney,35.47,674,19
112,T113,T107,Bryson DeChambeau,35.5,426,12
113,T113,127,Harris English,35.5,710,20
114,T113,T107,Matthew Fitzpatrick,35.5,355,10
115,T113,T107,Matt Jones,35.5,639,18
116,T113,T107,Russell Knox,35.5,568,16
117,T113,T107,Cameron Smith,35.5,497,14
118,T113,T128,Shawn Stefani,35.5,639,18
119,T120,T117,Aaron Baddeley,35.53,533,15
120,T120,T117,Sam Burns,35.53,675,19
121,T120,T117,Patton Kizzire,35.53,604,17
122,T120,T117,Sam Ryder,35.53,533,15
123,T120,T122,Sam Saunders,35.53,604,17
124,T120,T102,Scott Stallings,35.53,675,19
125,T120,T102,Chris Stroud,35.53,604,17
126,T127,T137,Scott Brown,35.55,711,20
127,T127,999,Tyrone Van Aswegen,35.55,391,11
128,T129,T117,Dominic Bozzelli,35.56,569,16
129,T129,T151,Curtis Luck,35.56,569,16
130,T131,130,Tyler Duncan,35.57,747,21
131,T131,T125,Hideki Matsuyama,35.57,498,14
132,T131,T125,Tiger Woods,35.57,249,7
133,134,131,Corey Conners,35.58,676,19
134,135,T128,Charley Hoffman,35.59,605,17
135,T136,T139,J.B. Holmes,35.6,534,15
136,T136,999,Martin Piller,35.6,356,10
137,T136,T139,Danny Willett,35.6,534,15
138,139,T153,Stephan Jaeger,35.61,641,18
139,140,145,Brian Harman,35.62,748,21
140,141,146,Harold Varner III,35.63,677,19
141,T142,T135,Jon Rahm,35.67,428,12
142,T142,158,Justin Thomas,35.67,428,12
143,T142,134,Martin Trainer,35.67,642,18
144,T145,T139,Byeong Hun An,35.71,500,14
145,T145,T139,Rafa Cabrera Bello,35.71,500,14
146,T145,T139,Chez Reavie,35.71,607,17
147,148,144,C.T. Pan,35.72,643,18
148,149,T159,Zach Johnson,35.73,536,15
149,T150,T162,Austin Cook,35.75,572,16
150,T150,T137,Carlos Ortiz,35.75,715,20
151,T150,T153,Chris Thompson,35.75,429,12
152,153,T162,José de Jesús Rodríguez,35.76,608,17
153,154,T135,David Hearn,35.77,465,13
154,T155,T147,Kiradech Aphibarnrat,35.79,501,14
155,T155,T147,Patrick Rodgers,35.79,501,14
156,T157,T147,Sangmoon Bae,35.8,537,15
157,T157,T147,Roberto Castro,35.8,537,15
158,T157,T170,Hank Lebioda,35.8,537,15
159,T157,T151,Hunter Mahan,35.8,537,15
160,T157,T159,Ryan Palmer,35.8,537,15
161,162,T156,Robert Streb,35.85,717,20
162,163,T159,Aaron Wise,35.87,538,15
163,164,155,Billy Horschel,35.88,610,17
164,165,T156,Danny Lee,35.89,682,19
165,166,172,Ben Crane,35.92,467,13
166,T167,T181,Lucas Bjerregaard,36.0,324,9
167,T167,T162,Kramer Hickok,36.0,684,19
168,T167,189,Scott Langley,36.0,684,19
169,T167,T162,Kevin Na,36.0,504,14
170,171,169,Ryan Moore,36.06,577,16
171,T172,T162,Julián Etulain,36.07,541,15
172,T172,T170,Andrew Putnam,36.07,541,15
173,T172,194,Sepp Straka,36.07,541,15
174,T175,T162,Matt Every,36.09,397,11
175,T175,173,Grayson Murray,36.09,397,11
176,177,175,Emiliano Grillo,36.13,578,16
177,178,T162,Brady Schnell,36.14,506,14
178,179,176,John Huh,36.15,470,13
179,180,177,Kyle Jones,36.17,651,18
180,181,T181,Alex Prugh,36.18,615,17
181,182,T178,Keegan Bradley,36.19,579,16
182,183,T178,Satoshi Kodaira,36.2,543,15
183,T184,180,Chesson Hadley,36.21,688,19
184,T184,174,Richy Werenski,36.21,688,19
185,T186,T181,Branden Grace,36.25,580,16
186,T186,T187,Jim Herman,36.25,580,16
187,T186,999,Shane Lowry,36.25,290,8
188,T186,T181,D.A. Points,36.25,435,12
189,T186,T198,Seamus Power,36.25,725,20
190,T186,T181,John Senden,36.25,435,12
191,192,186,Adam Long,36.26,689,19
192,T193,T190,Bronson Burgoon,36.29,508,14
193,T193,T190,"Ted Potter, Jr.",36.29,617,17
194,195,193,Phil Mickelson,36.33,436,12
195,T196,T203,Tom Hoge,36.35,836,23
196,T196,192,Seth Reeves,36.35,618,17
197,T198,T187,Bill Haas,36.38,582,16
198,T198,T195,Kyle Stanley,36.38,582,16
199,T198,T195,Matt Wallace,36.38,291,8
200,T201,197,Michael Kim,36.4,728,20
201,T201,200,Rod Pampling,36.4,546,15
202,203,T198,Tyrrell Hatton,36.42,437,12
203,204,202,Joey Garber,36.43,510,14
204,T205,201,Jonathan Byrd,36.5,438,12
205,T205,T203,Haotong Li,36.5,292,8
206,207,205,Freddie Jacobson,36.54,475,13
207,208,206,Brendan Steele,36.94,591,16
208,209,207,Alex Cejka,37.07,519,14
