,Early_Par_3_Scoring_Average_RANK THIS WEEK,Early_Par_3_Scoring_Average_RANK LAST WEEK,Early_Par_3_Scoring_Average_PLAYER NAME,Early_Par_3_Scoring_Average_ROUNDS,Early_Par_3_Scoring_Average_AVG,Early_Par_3_Scoring_Average_TOTAL STROKES,Early_Par_3_Scoring_Average_TOTAL HOLES
171,T167,T160,Patrick Rodgers,44,3.1,304,98
172,T167,T160,Matt Wallace,31,3.1,186,60
173,T174,T170,Cameron Champ,58,3.11,336,108
174,T174,T141,J.B. Holmes,54,3.11,277,89
175,T174,T170,Martin Kaymer,38,3.11,199,64
176,T174,T160,Joaquin Niemann,68,3.11,467,150
177,T174,T170,Ian Poulter,49,3.11,205,66
178,T179,T176,Roberto Castro,54,3.12,343,110
179,T179,T191,Joey Garber,44,3.12,231,74
180,T179,T176,Max Homa,61,3.12,453,145
181,T179,T176,J.T. Poston,76,3.12,502,161
182,T183,T186,Wyndham Clark,61,3.13,373,119
183,T183,T176,Dylan Frittelli,55,3.13,344,110
184,T183,T170,Bill Haas,58,3.13,394,126
185,T183,T191,J.J. Henry,42,3.13,266,85
186,T183,T181,Zach Johnson,50,3.13,360,115
187,T183,T176,Kyle Jones,49,3.13,266,85
188,T183,T181,Kyle Stanley,53,3.13,350,112
189,T183,203,Bubba Watson,47,3.13,247,79
190,T191,T186,Sam Burns,66,3.14,434,138
191,T191,T186,Grayson Murray,36,3.14,267,85
192,T191,T204,Rod Pampling,40,3.14,254,81
193,T191,T181,Martin Trainer,51,3.14,308,98
194,T195,T200,Cody Gribble,52,3.15,347,110
195,T195,T191,Alex Prugh,54,3.15,321,102
196,T195,T191,Brendan Steele,50,3.15,356,113
197,T195,T186,Peter Uihlein,65,3.15,425,135
198,T199,T195,Rafa Cabrera Bello,57,3.16,367,116
199,T199,T195,Harris English,72,3.16,512,162
200,T199,T195,Brian Harman,67,3.16,408,129
201,T199,T195,Luke List,52,3.16,329,104
202,T199,T186,Alex Noren,49,3.16,329,104
203,T199,T195,Cameron Smith,55,3.16,367,116
204,205,T200,Byeong Hun An,54,3.17,368,116
205,206,T200,Jim Knous,55,3.18,337,106
206,T207,T204,"Ted Potter, Jr.",56,3.19,427,134
207,T207,206,Chris Thompson,34,3.19,220,69
208,209,207,Satoshi Kodaira,51,3.24,356,110
