,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
30,31,28,Johnson Wagner,45,69.73,767,11
31,32,29,Matt Wallace,31,69.75,279,4
32,33,30,Sam Ryder,52,69.78,628,9
33,34,31,Carlos Ortiz,60,69.79,977,14
34,T35,T32,Patrick Cantlay,49,69.8,349,5
35,T35,T32,Andrew Landry,56,69.8,698,10
36,37,34,Troy Merritt,42,69.82,768,11
37,T38,35,Joel Dahmen,78,69.83,838,12
38,T38,T56,Aaron Wise,52,69.83,419,6
39,T40,49,Brian Gay,79,69.9,1468,21
40,T40,38,Billy Horschel,73,69.9,699,10
41,42,39,J.T. Poston,76,69.92,839,12
42,T43,T40,Bryson DeChambeau,45,70.0,210,3
43,T43,T40,Tony Finau,61,70.0,350,5
44,T43,T66,Wes Roach,45,70.0,420,6
45,T43,T40,Bubba Watson,47,70.0,70,1
46,47,44,Sam Burns,66,70.06,1121,16
47,48,T45,Nick Taylor,70,70.07,1051,15
48,49,47,Jason Kokrak,68,70.08,911,13
49,50,T95,Scott Brown,66,70.1,701,10
50,T51,T45,Roberto Díaz,51,70.13,1052,15
51,T51,T50,James Hahn,34,70.13,561,8
52,T51,T50,Kelly Kraft,67,70.13,1052,15
53,T51,T50,Ryan Palmer,56,70.13,561,8
54,55,53,Sung Kang,67,70.14,982,14
55,56,54,Ryan Moore,54,70.15,912,13
56,57,48,Alex Noren,49,70.17,842,12
57,58,55,Emiliano Grillo,65,70.18,772,11
58,59,T56,Matthew Fitzpatrick,42,70.2,351,5
59,60,60,Justin Harding,31,70.25,281,4
60,T61,T61,Sungjae Im,88,70.27,773,11
61,T61,T61,Si Woo Kim,65,70.27,773,11
62,T61,T78,Kevin Tway,62,70.27,773,11
63,64,63,Martin Kaymer,38,70.29,492,7
64,65,58,Keegan Bradley,65,70.3,703,10
65,66,64,Hunter Mahan,45,70.33,633,9
66,T67,98,Roberto Castro,54,70.38,915,13
67,T67,65,Gary Woodland,63,70.38,563,8
68,T69,T66,Brandon Harkins,67,70.4,1056,15
69,T69,T66,Mackenzie Hughes,58,70.4,704,10
70,71,69,Marc Leishman,52,70.43,493,7
71,T72,59,Brice Garnett,63,70.44,1268,18
72,T72,70,Max Homa,61,70.44,634,9
73,T72,T88,Cameron Tringale,52,70.44,634,9
74,75,71,Joaquin Niemann,68,70.46,916,13
75,T76,T72,Matt Jones,67,70.5,846,12
76,T76,T72,Haotong Li,32,70.5,282,4
77,T76,T72,Michael Thompson,56,70.5,564,8
78,79,77,Bud Cauley,61,70.55,776,11
79,80,91,Jonas Blixt,66,70.59,1200,17
80,81,T78,Stephan Jaeger,59,70.6,706,10
81,82,80,Harold Varner III,62,70.63,565,8
82,T83,T81,Ernie Els,43,70.67,848,12
83,T83,T40,Julián Etulain,55,70.67,636,9
84,T83,T81,Hideki Matsuyama,59,70.67,212,3
85,T83,T81,Chez Reavie,67,70.67,848,12
86,87,84,Andrew Putnam,57,70.7,707,10
87,T88,T85,Adam Hadwin,66,70.71,990,14
88,T88,T85,Beau Hossler,66,70.71,990,14
89,T88,T85,Charl Schwartzel,34,70.71,495,7
90,91,90,Alex Prugh,54,70.73,1061,15
91,T92,99,Kyle Jones,49,70.75,1132,16
92,T92,76,Seth Reeves,52,70.75,1132,16
93,T92,T88,Brandt Snedeker,68,70.75,566,8
94,95,113,Harris English,72,70.76,1203,17
95,96,T101,Chris Thompson,34,70.8,708,10
96,T97,T101,Alex Cejka,41,70.83,425,6
97,T97,T92,Denny McCarthy,63,70.83,1275,18
98,T97,T92,Patrick Rodgers,44,70.83,425,6
99,100,T101,Tyler Duncan,66,70.87,1063,15
100,T101,T95,Charles Howell III,64,70.89,638,9
101,T101,T95,Sebastián Muñoz,58,70.89,638,9
102,103,T126,Brian Harman,67,70.94,1135,16
103,T104,T101,Byeong Hun An,54,71.0,497,7
104,T104,T101,Jason Day,45,71.0,71,1
105,T104,T101,Patton Kizzire,58,71.0,639,9
106,T104,T101,Matt Kuchar,65,71.0,142,2
107,T104,T101,Rory McIlroy,50,71.0,284,4
108,T104,T101,C.T. Pan,64,71.0,852,12
109,T104,T101,Adam Schenk,80,71.0,994,14
110,T104,T101,Jimmy Walker,61,71.0,1278,18
111,T104,T101,Tiger Woods,31,71.0,71,1
112,113,100,Hudson Swafford,59,71.05,1492,21
113,114,143,José de Jesús Rodríguez,51,71.08,853,12
114,115,114,Branden Grace,62,71.09,782,11
115,116,144,Hank Lebioda,55,71.1,711,10
116,117,115,Josh Teater,47,71.13,569,8
117,118,116,John Huh,35,71.14,498,7
118,T119,150,Russell Henley,56,71.15,925,13
119,T119,117,Scott Stallings,63,71.15,925,13
