,Par_4_Scoring_Average_RANK THIS WEEK,Par_4_Scoring_Average_RANK LAST WEEK,Par_4_Scoring_Average_PLAYER NAME,Par_4_Scoring_Average_ROUNDS,Par_4_Scoring_Average_AVG,Par_4_Scoring_Average_TOTAL STROKES,Par_4_Scoring_Average_TOTAL HOLES
48,T41,T39,Keith Mitchell,64,4.01,2613,651
49,T41,T66,Joaquin Niemann,68,4.01,2841,708
50,T41,T39,Louis Oosthuizen,43,4.01,1482,370
51,T41,T39,C.T. Pan,64,4.01,2620,654
52,T41,T39,Alex Prugh,54,4.01,2117,528
53,T41,T39,Patrick Reed,53,4.01,2027,505
54,T41,T39,Sam Ryder,52,4.01,2165,540
55,T41,T39,Adam Scott,41,4.01,1639,409
56,T41,T39,Cameron Smith,55,4.01,2142,534
57,T41,T85,Brandt Snedeker,68,4.01,2764,689
58,T41,T39,J.J. Spaun,68,4.01,2740,683
59,T41,T39,Kevin Streelman,63,4.01,2576,643
60,T41,T39,Vaughn Taylor,69,4.01,2853,711
61,T41,T39,Nick Taylor,70,4.01,2811,701
62,T41,T39,Michael Thompson,56,4.01,2396,597
63,T41,T39,Harold Varner III,62,4.01,2581,644
64,T41,T39,Jhonattan Vegas,60,4.01,2479,618
65,T41,T31,Johnson Wagner,45,4.01,1834,457
66,T67,T66,Scott Brown,66,4.02,2687,669
67,T67,T66,Roberto Castro,54,4.02,2129,529
68,T67,T66,Wyndham Clark,61,4.02,2515,625
69,T67,T66,Ernie Els,43,4.02,1758,437
70,T67,T39,Matt Every,38,4.02,1460,363
71,T67,T66,Tony Finau,61,4.02,2402,597
72,T67,T66,Brice Garnett,63,4.02,2636,655
73,T67,T39,David Hearn,41,4.02,1562,389
74,T67,T66,Matt Jones,67,4.02,2666,663
75,T67,T66,Kyoung-Hoon Lee,72,4.02,2896,721
76,T67,T66,Peter Malnati,64,4.02,2588,644
77,T67,T66,J.T. Poston,76,4.02,3095,770
78,T67,T66,Andrew Putnam,57,4.02,2221,553
79,T67,T85,José de Jesús Rodríguez,51,4.02,2177,541
80,T67,T66,Rory Sabbatini,71,4.02,2847,709
81,T67,T66,Adam Schenk,80,4.02,3322,827
82,T67,T66,Shawn Stefani,57,4.02,2252,560
83,T67,T113,Henrik Stenson,46,4.02,1625,404
84,T67,T85,Peter Uihlein,65,4.02,2683,667
85,T86,T85,Kiradech Aphibarnrat,49,4.03,1976,490
86,T86,T85,Daniel Berger,48,4.03,2118,526
87,T86,T85,Keegan Bradley,65,4.03,2500,620
88,T86,T85,Bud Cauley,61,4.03,2625,652
89,T86,T85,Stewart Cink,33,4.03,1409,350
90,T86,T85,Corey Conners,62,4.03,2496,619
91,T86,T85,Joel Dahmen,78,4.03,3166,786
92,T86,T85,Cameron Davis,54,4.03,2215,549
93,T86,T85,Bryson DeChambeau,45,4.03,1830,454
94,T86,T85,Dylan Frittelli,55,4.03,2259,561
95,T86,T66,Brian Gay,79,4.03,3259,809
96,T86,T85,Chesson Hadley,58,4.03,2376,589
97,T86,T85,James Hahn,34,4.03,1430,355
98,T86,T85,Billy Horschel,73,4.03,2835,704
99,T86,T66,Martin Laird,60,4.03,2403,597
100,T86,T85,Luke List,52,4.03,2114,524
101,T86,T85,Curtis Luck,51,4.03,1962,487
102,T86,T85,Hunter Mahan,45,4.03,1881,467
103,T86,T85,Denny McCarthy,63,4.03,2528,628
104,T86,T85,Francesco Molinari,41,4.03,1474,366
105,T86,T85,Sebastián Muñoz,58,4.03,2411,599
106,T86,T85,Carlos Ortiz,60,4.03,2492,618
107,T86,T85,Ian Poulter,49,4.03,1820,452
108,T86,T85,Jordan Spieth,57,4.03,2340,581
109,T86,T85,Josh Teater,47,4.03,1937,481
110,T111,T125,Austin Cook,50,4.04,1969,487
111,T111,T125,Ben Crane,41,4.04,1777,440
112,T111,T125,Joey Garber,44,4.04,1708,423
113,T111,T85,Kramer Hickok,59,4.04,2533,627
114,T111,T113,Patton Kizzire,58,4.04,2424,600
115,T111,T125,Jim Knous,55,4.04,2179,539
116,T111,T125,Hank Lebioda,55,4.04,2186,541
117,T111,T113,Ryan Moore,54,4.04,2270,562
118,T111,T113,Trey Mullinax,67,4.04,2730,675
119,T111,T113,Kevin Na,54,4.04,2116,524
120,T111,T113,Pat Perez,52,4.04,2137,529
121,T111,T125,Sam Saunders,53,4.04,2265,560
122,T111,T125,Roger Sloan,62,4.04,2684,664
123,T111,T113,Sepp Straka,48,4.04,1935,479
124,T111,T113,Kevin Tway,62,4.04,2529,626
125,T111,T113,Matt Wallace,31,4.04,1219,302
126,T111,T113,Richy Werenski,63,4.04,2632,651
127,T111,T85,Aaron Wise,52,4.04,2131,528
128,T129,T125,Sam Burns,66,4.05,2771,684
129,T129,T125,Cameron Champ,58,4.05,2466,609
130,T129,T125,Roberto Díaz,51,4.05,1990,491
131,T129,T113,Julián Etulain,55,4.05,2169,535
132,T129,T125,Sergio Garcia,39,4.05,1312,324
133,T129,T125,Fabián Gómez,44,4.05,1881,465
134,T129,T125,Emiliano Grillo,65,4.05,2687,664
135,T129,T150,Adam Hadwin,66,4.05,2676,661
136,T129,T125,Brian Harman,67,4.05,2845,702
137,T129,T125,Tyrrell Hatton,46,4.05,1800,444
138,T129,T113,J.J. Henry,42,4.05,1650,407
139,T129,T125,Charley Hoffman,58,4.05,2281,563
140,T129,T125,Beau Hossler,66,4.05,2820,697
141,T129,T162,Mackenzie Hughes,58,4.05,2347,579
142,T129,T162,Zach Johnson,50,4.05,2214,546
143,T129,T125,Sung Kang,67,4.05,2789,689
144,T129,T150,Danny Lee,66,4.05,2822,696
145,T129,999,Shane Lowry,30,4.05,1107,273
146,T129,T125,Patrick Rodgers,44,4.05,1890,467
147,T129,T125,Brady Schnell,38,4.05,1625,401
148,T129,T150,Ben Silverman,54,4.05,2345,579
149,T129,T125,Robert Streb,60,4.05,2405,594
150,T129,T125,Adam Svensson,51,4.05,2093,517
151,T129,T125,Nick Watney,67,4.05,2700,667
152,T129,T66,Bubba Watson,47,4.05,1733,428
153,T129,T125,Chase Wright,53,4.05,2228,550
154,T155,T150,Jason Dufner,56,4.06,2355,580
155,T155,T150,Tyler Duncan,66,4.06,2772,683
156,T155,T150,Justin Harding,31,4.06,1032,254
157,T155,T162,Brandon Harkins,67,4.06,2717,669
158,T155,T150,Tom Hoge,70,4.06,2854,703
159,T155,T150,Max Homa,61,4.06,2567,633
160,T155,T150,Chris Kirk,47,4.06,1931,476
161,T155,T150,Anirban Lahiri,54,4.06,2167,534
162,T155,T150,Andrew Landry,56,4.06,2233,550
163,T155,999,Martin Piller,30,4.06,1270,313
164,T155,T150,Scott Stallings,63,4.06,2483,611
165,T155,T125,Chris Stroud,54,4.06,2125,524
166,T155,T162,Chris Thompson,34,4.06,1448,357
167,T168,T162,Anders Albertson,48,4.07,1991,489
168,T168,T162,Ryan Blaum,67,4.07,2719,668
169,T168,T162,John Huh,35,4.07,1518,373
170,T168,T162,Scott Langley,60,4.07,2537,623
171,T168,T162,Haotong Li,32,4.07,1188,292
172,T168,T162,Adam Long,52,4.07,2258,555
173,T168,T162,John Senden,39,4.07,1544,379
174,T168,T162,Brendan Steele,50,4.07,2017,496
175,T168,T175,Hudson Swafford,59,4.07,2501,614
176,T168,999,Tyrone Van Aswegen,30,4.07,1291,317
177,T168,T175,Jimmy Walker,61,4.07,2681,659
178,T168,T184,Danny Willett,47,4.07,2010,494
179,T180,T184,Sangmoon Bae,42,4.08,1732,425
180,T180,T175,Bronson Burgoon,37,4.08,1625,398
181,T180,T162,John Chin,38,4.08,1621,397
182,T180,T175,Matthew Fitzpatrick,42,4.08,1684,413
183,T180,T175,Bill Haas,58,4.08,2352,577
184,T180,T192,Stephan Jaeger,59,4.08,2404,589
185,T180,T184,Kyle Jones,49,4.08,2036,499
186,T180,T184,Alex Noren,49,4.08,2026,496
187,T180,T175,"Ted Potter, Jr.",56,4.08,2347,575
188,T180,T184,Wes Roach,45,4.08,1868,458
189,T180,T175,Ollie Schniederjans,63,4.08,2654,651
190,T180,T175,Kyle Stanley,53,4.08,2074,508
191,T192,T184,Branden Grace,62,4.09,2319,567
192,T192,T184,Jim Herman,37,4.09,1619,396
193,T192,T184,Whee Kim,57,4.09,2308,564
194,T192,T175,Seth Reeves,52,4.09,2170,531
195,T196,T192,Kelly Kraft,67,4.1,2766,675
196,T196,T195,Rod Pampling,40,4.1,1662,405
197,T196,T192,Martin Trainer,51,4.1,2187,534
198,T199,T195,Grayson Murray,36,4.11,1537,374
199,T199,T195,Seamus Power,58,4.11,2369,577
200,T199,T195,Charl Schwartzel,34,4.11,1359,331
201,T202,T201,Lucas Bjerregaard,37,4.12,1344,326
202,T202,T201,Alex Cejka,41,4.12,1577,383
203,T202,200,Satoshi Kodaira,51,4.12,2103,510
204,205,203,Martin Kaymer,38,4.14,1689,408
205,T206,T204,Freddie Jacobson,37,4.15,1547,373
206,T206,T204,Michael Kim,51,4.15,2136,515
207,208,206,Cody Gribble,52,4.16,2140,515
208,209,207,D.A. Points,33,4.18,1434,343
