,Scoring_Average_Before_Cut_RANK THIS WEEK,Scoring_Average_Before_Cut_RANK LAST WEEK,Scoring_Average_Before_Cut_PLAYER NAME,Scoring_Average_Before_Cut_AVG,Scoring_Average_Before_Cut_TOTAL STROKES,Scoring_Average_Before_Cut_TOTAL ROUNDS
167,T166,179,Alex Noren,71.38,1856,26
168,169,167,Branden Grace,71.39,2356,33
169,T170,180,Robert Streb,71.41,2928,41
170,T170,T155,Chris Stroud,71.41,2642,37
171,172,T169,Chris Kirk,71.42,2357,33
172,T173,178,J.B. Holmes,71.44,2286,32
173,T173,172,Hunter Mahan,71.44,2286,32
174,T173,157,Seth Reeves,71.44,2572,36
175,176,173,Tyrrell Hatton,71.46,1715,24
176,177,182,Alex Cejka,71.47,2144,30
177,178,175,Brady Schnell,71.53,2146,30
178,179,T176,Charley Hoffman,71.56,2576,36
179,180,183,John Chin,71.57,2147,30
180,T181,188,Cody Gribble,71.58,2577,36
181,T181,999,Tyrone Van Aswegen,71.58,1718,24
182,183,999,Shane Lowry,71.59,1217,17
183,184,181,Adam Long,71.6,2864,40
184,T185,187,Jim Herman,71.61,2363,33
185,T185,T195,Danny Willett,71.61,2220,31
186,T187,T176,Anders Albertson,71.64,2579,36
187,T187,999,Martin Piller,71.64,1576,22
188,189,184,Chesson Hadley,71.65,2866,40
189,190,185,Martin Trainer,71.67,2795,39
190,191,186,Matt Wallace,71.69,1147,16
191,192,T192,Joey Garber,71.7,2151,30
192,193,189,Whee Kim,71.73,2941,41
193,194,190,Brendan Steele,71.85,2371,33
194,195,T195,J.J. Henry,71.87,2156,30
195,196,191,Haotong Li,71.88,1150,16
196,197,T192,Freddie Jacobson,71.89,1941,27
197,198,194,Kyle Stanley,71.91,2301,32
198,199,197,Charl Schwartzel,71.96,1727,24
199,200,199,Seamus Power,71.98,2951,41
200,201,198,Grayson Murray,72.0,1872,26
201,202,203,Chris Thompson,72.04,1873,26
202,203,201,Kyle Jones,72.05,2738,38
203,204,200,"Ted Potter, Jr.",72.17,2526,35
204,205,202,Lucas Bjerregaard,72.22,1300,18
205,206,204,D.A. Points,72.52,1958,27
206,207,205,Satoshi Kodaira,72.53,2176,30
207,208,207,Rod Pampling,72.69,2326,32
208,209,206,Michael Kim,72.73,2982,41
