,Tenth_Tee_Early_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Scoring_Average_ROUNDS,Tenth_Tee_Early_Scoring_Average_AVG,Tenth_Tee_Early_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Scoring_Average_TOTAL 10TH TEE EARLY RDS.
76,77,71,Cameron Davis,54,69.92,839,12
77,78,T64,Danny Lee,66,69.93,1049,15
78,79,72,Max Homa,61,69.94,1259,18
79,T80,T73,Brice Garnett,63,70.0,490,7
80,T80,T73,Justin Harding,31,70.0,350,5
81,T80,T73,Chris Kirk,47,70.0,630,9
82,T80,T73,Curtis Luck,51,70.0,630,9
83,T80,T73,Trey Mullinax,67,70.0,840,12
84,T80,T73,Brian Stuard,76,70.0,1260,18
85,T80,T88,Josh Teater,47,70.0,910,13
86,87,83,Ryan Moore,54,70.08,841,12
87,88,99,Roger Sloan,62,70.09,771,11
88,T89,T84,Bronson Burgoon,37,70.1,701,10
89,T89,T84,Jonathan Byrd,43,70.1,701,10
90,91,86,Jason Day,45,70.11,631,9
91,T92,94,Brandon Harkins,67,70.13,1052,15
92,T92,T73,Nate Lashley,44,70.13,561,8
93,T92,87,Adam Svensson,51,70.13,1122,16
94,T95,T90,J.T. Poston,76,70.19,1123,16
95,T95,T90,Cameron Tringale,52,70.19,1123,16
96,T97,T92,Jonas Blixt,66,70.2,702,10
97,T97,T101,Bill Haas,58,70.2,1053,15
98,T97,T92,Jon Rahm,51,70.2,702,10
99,100,T117,Bubba Watson,47,70.22,632,9
100,101,95,Kramer Hickok,59,70.25,843,12
101,102,96,Fabián Gómez,44,70.27,1054,15
102,T103,T97,Cameron Champ,58,70.29,984,14
103,T103,T97,Tom Hoge,70,70.29,1195,17
104,T103,T117,Sebastián Muñoz,58,70.29,1195,17
105,106,100,José de Jesús Rodríguez,51,70.33,844,12
106,107,T107,Peter Malnati,64,70.35,1196,17
107,T108,T101,Bryson DeChambeau,45,70.36,774,11
108,T108,T101,Branden Grace,62,70.36,774,11
109,110,T104,Vaughn Taylor,69,70.38,915,13
110,111,106,Louis Oosthuizen,43,70.43,493,7
