,Birdie_or_Better_Percentage_-_175-200_ya_RANK THIS WEEK,Birdie_or_Better_Percentage_-_175-200_ya_RANK LAST WEEK,Birdie_or_Better_Percentage_-_175-200_ya_PLAYER NAME,Birdie_or_Better_Percentage_-_175-200_ya_ROUNDS,Birdie_or_Better_Percentage_-_175-200_ya_%,Birdie_or_Better_Percentage_-_175-200_ya_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_175-200_ya_TOTAL HOLES
152,153,156,Andrew Putnam,57,10.32,13,126
153,T154,T157,Anirban Lahiri,54,10.27,15,146
154,T154,T157,Brian Stuard,76,10.27,23,224
155,156,167,Nick Taylor,70,10.26,20,195
156,157,159,Chez Reavie,67,10.22,14,137
157,158,T142,Brady Schnell,38,10.11,9,89
158,159,155,Julián Etulain,55,10.08,13,129
159,T160,164,Mackenzie Hughes,58,10.07,15,149
160,T160,154,Seamus Power,58,10.07,15,149
161,T162,173,Adam Hadwin,66,10.0,15,150
162,T162,160,Henrik Stenson,46,10.0,13,130
163,164,161,Richy Werenski,63,9.82,16,163
164,165,198,Ben Crane,41,9.71,10,103
165,166,168,Satoshi Kodaira,51,9.48,11,116
166,167,T171,Cody Gribble,52,9.35,13,139
167,168,T171,Brendan Steele,50,9.23,12,130
168,169,163,Tyler Duncan,66,9.2,15,163
169,T170,175,Ryan Blaum,67,9.09,17,187
170,T170,165,Alex Cejka,41,9.09,9,99
171,T170,T187,Kyle Jones,49,9.09,12,132
172,173,T176,Dylan Frittelli,55,9.03,13,144
173,174,180,Ben Silverman,54,8.97,13,145
174,175,170,Alex Prugh,54,8.91,9,101
175,176,174,Jim Herman,37,8.89,8,90
176,T177,169,Jim Furyk,53,8.82,15,170
177,T177,T176,Xander Schauffele,55,8.82,9,102
178,T179,181,Kelly Kraft,67,8.79,16,182
179,T179,178,Phil Mickelson,41,8.79,8,91
180,181,166,Roger Sloan,62,8.78,13,148
181,182,179,D.A. Points,33,8.75,7,80
182,183,182,Roberto Castro,54,8.63,12,139
183,184,186,Roberto Díaz,51,8.62,10,116
184,185,193,Brice Garnett,63,8.05,12,149
185,186,T187,Kiradech Aphibarnrat,49,8.0,8,100
186,187,190,Kyle Stanley,53,7.96,9,113
187,188,191,Jason Dufner,56,7.94,10,126
188,189,184,Lucas Bjerregaard,37,7.89,6,76
189,190,183,Brandt Snedeker,68,7.84,12,153
190,191,185,Brian Gay,79,7.66,17,222
191,192,T187,Brian Harman,67,7.61,14,184
192,193,192,Martin Trainer,51,7.5,9,120
193,194,194,C.T. Pan,64,7.45,12,161
194,195,204,Rod Pampling,40,7.29,7,96
195,196,195,Russell Knox,65,7.19,12,167
196,197,207,David Hearn,41,6.9,6,87
197,198,196,Harris English,72,6.8,14,206
198,199,197,Fabián Gómez,44,6.67,6,90
199,200,200,Chris Kirk,47,6.5,8,123
200,201,199,J.B. Holmes,54,6.49,5,77
201,202,999,Tyrone Van Aswegen,30,6.35,4,63
202,203,203,Scott Langley,60,6.25,11,176
203,T204,201,J.J. Henry,42,6.12,6,98
204,T204,202,John Huh,35,6.12,6,98
205,206,999,Martin Piller,30,5.56,3,54
206,207,205,Bill Haas,58,5.33,9,169
207,208,206,Chris Thompson,34,4.55,3,66
208,209,999,Shane Lowry,30,3.64,2,55
