,Par_5_Performance_RANK THIS WEEK,Par_5_Performance_RANK LAST WEEK,Par_5_Performance_PLAYER NAME,Par_5_Performance_ROUNDS,Par_5_Performance_STATUS,Par_5_Performance_PAR 5 AVG,Par_5_Performance_TOTAL PAR
185,T186,T185,Tyrrell Hatton,46,-38,4.73,710
186,T186,T185,Kyle Jones,49,-38,4.76,780
187,T186,999,Martin Piller,30,-38,4.64,530
188,T186,T185,D.A. Points,33,-38,4.67,580
189,190,189,Lucas Bjerregaard,37,-36,4.62,470
190,T191,194,Ben Crane,41,-35,4.74,665
191,T191,T190,David Hearn,41,-35,4.72,630
192,T191,T190,Haotong Li,32,-35,4.65,500
193,T191,T190,Phil Mickelson,41,-35,4.73,660
194,195,195,Alex Cejka,41,-33,4.75,650
195,196,T196,Jim Herman,37,-32,4.73,600
196,197,T196,Joey Garber,44,-30,4.78,670
197,198,198,Freddie Jacobson,37,-28,4.75,570
198,T199,T200,J.J. Henry,42,-27,4.78,620
199,T199,T204,Chris Thompson,34,-27,4.77,590
200,201,199,Justin Harding,31,-25,4.7,410
201,T202,T200,John Huh,35,-24,4.79,580
202,T202,T200,Francesco Molinari,41,-24,4.79,570
203,T202,T200,Matt Wallace,31,-24,4.73,450
204,T205,T204,Stewart Cink,33,-23,4.79,550
205,T205,206,Rod Pampling,40,-23,4.81,620
206,207,999,Tyrone Van Aswegen,30,-22,4.78,510
207,208,999,Shane Lowry,30,-21,4.72,380
208,209,207,Michael Kim,51,-16,4.91,860
