,Tenth_Tee_Early_Round_3_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Round_3_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Round_3_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Round_3_Scoring_Average_AVG,Tenth_Tee_Early_Round_3_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Round_3_Scoring_Average_TOTAL ROUNDS
62,T57,T56,Jim Knous,69.0,69,1
63,T57,T56,Scott Langley,69.0,345,5
64,T57,T56,Denny McCarthy,69.0,69,1
65,T57,T56,Robert Streb,69.0,207,3
66,T57,T56,Kevin Tway,69.0,69,1
67,68,67,Kyle Stanley,69.25,277,4
68,T69,T68,Scott Brown,69.33,208,3
69,T69,T68,Freddie Jacobson,69.33,208,3
70,T69,T68,Alex Noren,69.33,208,3
71,T72,T71,Bronson Burgoon,69.5,139,2
72,T72,T71,Ernie Els,69.5,139,2
73,T72,T71,Fabián Gómez,69.5,278,4
74,T72,T71,Bill Haas,69.5,139,2
75,T72,T71,Hank Lebioda,69.5,139,2
76,T72,T71,Patrick Rodgers,69.5,139,2
77,T72,T71,Vaughn Taylor,69.5,139,2
78,T79,T78,Kyle Jones,69.67,209,3
79,T79,T78,Hunter Mahan,69.67,209,3
80,T79,T78,Peter Malnati,69.67,209,3
81,T79,T78,Joaquin Niemann,69.67,209,3
82,T79,T78,C.T. Pan,69.67,209,3
83,84,84,Sungjae Im,69.8,349,5
84,T85,T85,Jonathan Byrd,70.0,140,2
85,T85,T85,Ben Crane,70.0,70,1
86,T85,T85,Jason Dufner,70.0,210,3
87,T85,T85,Matthew Fitzpatrick,70.0,70,1
88,T85,T85,Brian Gay,70.0,140,2
89,T85,T85,John Huh,70.0,140,2
90,T85,T85,Kevin Kisner,70.0,70,1
91,T85,T85,Russell Knox,70.0,70,1
92,T85,T85,Brooks Koepka,70.0,140,2
93,T85,T85,Matt Wallace,70.0,70,1
94,T85,T85,Danny Willett,70.0,140,2
95,96,96,James Hahn,70.2,351,5
96,97,97,Nick Taylor,70.25,281,4
97,T98,T98,Abraham Ancer,70.33,211,3
98,T98,T98,Grayson Murray,70.33,211,3
99,T98,T98,J.T. Poston,70.33,211,3
100,T98,T98,Seamus Power,70.33,211,3
101,T98,T98,Brady Schnell,70.33,211,3
102,T98,T98,Nick Watney,70.33,211,3
103,104,104,Brian Stuard,70.4,352,5
104,T105,T105,Roberto Díaz,70.5,141,2
105,T105,T105,Tommy Fleetwood,70.5,141,2
106,T105,T105,Ryan Moore,70.5,282,4
107,T105,T105,"Ted Potter, Jr.",70.5,282,4
108,T105,T105,Wes Roach,70.5,141,2
109,T110,T110,Cameron Davis,70.67,212,3
110,T110,T110,Max Homa,70.67,212,3
111,T110,T110,Cameron Smith,70.67,212,3
112,T113,T113,Kiradech Aphibarnrat,71.0,71,1
113,T113,T113,Aaron Baddeley,71.0,71,1
114,T113,T113,Alex Cejka,71.0,213,3
115,T113,T113,John Chin,71.0,142,2
116,T113,T113,Wyndham Clark,71.0,284,4
117,T113,T113,Harris English,71.0,426,6
118,T113,T113,Brandon Harkins,71.0,213,3
119,T113,T113,Beau Hossler,71.0,213,3
120,T113,T113,Whee Kim,71.0,142,2
121,T113,T113,Patton Kizzire,71.0,142,2
122,T113,T113,Ryan Palmer,71.0,71,1
123,T113,T113,Pat Perez,71.0,71,1
124,T113,T113,Alex Prugh,71.0,142,2
125,T113,T113,Sam Ryder,71.0,284,4
126,T113,T113,Adam Svensson,71.0,71,1
127,T113,T113,Josh Teater,71.0,71,1
128,T113,T113,Johnson Wagner,71.0,142,2
129,T113,T113,Richy Werenski,71.0,71,1
130,131,131,Cameron Champ,71.33,214,3
131,T132,T132,Stewart Cink,71.5,143,2
132,T132,T132,Russell Henley,71.5,286,4
133,T132,T132,J.B. Holmes,71.5,143,2
134,T132,T132,Billy Horschel,71.5,143,2
135,T132,T132,Phil Mickelson,71.5,143,2
136,T132,T132,Charl Schwartzel,71.5,143,2
137,T132,T132,Ben Silverman,71.5,286,4
138,T139,T139,Sebastián Muñoz,71.67,215,3
139,T139,T139,Rory Sabbatini,71.67,215,3
140,T141,T141,Jason Day,72.0,72,1
141,T141,T141,Trey Mullinax,72.0,216,3
142,T141,T141,Jon Rahm,72.0,72,1
143,T141,T141,Roger Sloan,72.0,72,1
144,T141,T141,Brandt Snedeker,72.0,72,1
145,T141,T141,Scott Stallings,72.0,288,4
146,T141,T141,Jimmy Walker,72.0,72,1
147,T148,T148,Cody Gribble,72.25,289,4
148,T148,T148,Mackenzie Hughes,72.25,289,4
149,150,150,José de Jesús Rodríguez,72.33,217,3
150,T151,T151,Dylan Frittelli,72.5,145,2
151,T151,T151,Sung Kang,72.5,290,4
152,T151,T151,Andrew Landry,72.5,145,2
153,T151,T151,Marc Leishman,72.5,145,2
154,T151,T151,John Senden,72.5,145,2
155,T156,T156,Sam Burns,73.0,73,1
156,T156,T156,Tyler Duncan,73.0,73,1
157,T156,T156,Dustin Johnson,73.0,73,1
158,T156,T156,Kelly Kraft,73.0,73,1
159,T156,T156,Luke List,73.0,73,1
160,T156,T156,Graeme McDowell,73.0,73,1
161,T156,T156,Martin Trainer,73.0,73,1
162,163,163,Adam Hadwin,73.33,220,3
163,T164,T164,Byeong Hun An,74.0,74,1
164,T164,T164,Kyoung-Hoon Lee,74.0,74,1
165,T164,T164,Sepp Straka,74.0,74,1
166,T167,T167,Martin Kaymer,75.0,75,1
167,T167,T167,Jordan Spieth,75.0,75,1
168,T169,T169,Chris Thompson,76.0,76,1
169,T169,T169,Gary Woodland,76.0,76,1
170,171,171,Michael Kim,76.5,153,2
171,172,172,Satoshi Kodaira,77.0,77,1
172,173,173,Brian Harman,78.0,156,2
