,Tenth_Tee_Early_Par_4_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Par_4_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Par_4_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Par_4_Scoring_Average_ROUNDS,Tenth_Tee_Early_Par_4_Scoring_Average_AVG,Tenth_Tee_Early_Par_4_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Par_4_Scoring_Average_TOTAL HOLES
49,T40,T60,Brandt Snedeker,68,3.96,708,179
50,T40,T60,Nick Taylor,70,3.96,677,171
51,T40,T49,Josh Teater,47,3.96,546,138
52,T40,T39,Gary Woodland,63,3.96,559,141
53,T54,T49,Byeong Hun An,54,3.97,575,145
54,T54,T71,Dylan Frittelli,55,3.97,584,147
55,T54,T49,Jim Furyk,53,3.97,421,106
56,T54,T49,Marc Leishman,52,3.97,425,107
57,T54,T49,Trey Mullinax,67,3.97,496,125
58,T54,T49,J.T. Poston,76,3.97,671,169
59,T54,T49,Patrick Rodgers,44,3.97,532,134
60,T61,T49,Sangmoon Bae,42,3.98,398,100
61,T61,T60,Julián Etulain,55,3.98,454,114
62,T61,T60,Tommy Fleetwood,43,3.98,334,84
63,T61,T60,Emiliano Grillo,65,3.98,589,148
64,T61,T60,Kevin Kisner,65,3.98,510,128
65,T61,T60,Haotong Li,32,3.98,199,50
66,T61,T60,"Ted Potter, Jr.",56,3.98,490,123
67,T61,T60,Chris Stroud,54,3.98,486,122
68,T61,T49,Jimmy Walker,61,3.98,326,82
69,T61,T60,Tiger Woods,31,3.98,378,95
70,T71,T71,Kramer Hickok,59,3.99,515,129
71,T71,T71,Max Homa,61,3.99,747,187
72,T71,T71,Hideki Matsuyama,59,3.99,643,161
73,T71,T88,Ben Silverman,54,3.99,590,148
74,T71,T71,Cameron Tringale,52,3.99,654,164
75,T76,T76,Patrick Cantlay,49,4.0,332,83
76,T76,T60,Talor Gooch,37,4.0,264,66
77,T76,T76,J.B. Holmes,54,4.0,440,110
78,T76,T76,Hank Lebioda,55,4.0,516,129
79,T76,T76,Luke List,52,4.0,384,96
80,T76,T76,Shawn Stefani,57,4.0,616,154
81,T76,T76,Michael Thompson,56,4.0,564,141
82,T76,T76,D.J. Trahan,33,4.0,208,52
83,T76,999,Tyrone Van Aswegen,30,4.0,244,61
84,T76,T76,Matt Wallace,31,4.0,216,54
85,T76,T76,Richy Werenski,63,4.0,372,93
86,T87,T88,Joel Dahmen,78,4.01,765,191
87,T87,T88,Ernie Els,43,4.01,373,93
88,T87,T88,Harris English,72,4.01,777,194
89,T87,T88,Tony Finau,61,4.01,601,150
90,T87,T88,Fabián Gómez,44,4.01,637,159
91,T87,T114,Bill Haas,58,4.01,653,163
92,T87,T88,Beau Hossler,66,4.01,505,126
93,T87,T88,Si Woo Kim,65,4.01,381,95
94,T87,T101,Sebastián Muñoz,58,4.01,730,182
95,T87,T88,Louis Oosthuizen,43,4.01,289,72
96,T87,T88,Ryan Palmer,56,4.01,481,120
97,T87,T88,Pat Perez,52,4.01,638,159
98,T87,T88,Justin Rose,42,4.01,301,75
99,T87,T145,Sepp Straka,48,4.01,357,89
100,T87,T88,Adam Svensson,51,4.01,685,171
101,T87,T76,Bubba Watson,47,4.01,393,98
102,T103,T76,Anders Albertson,48,4.02,555,138
103,T103,T101,Ryan Armour,66,4.02,531,132
104,T103,T101,Dominic Bozzelli,53,4.02,390,97
105,T103,T101,Roberto Castro,54,4.02,426,106
106,T103,T101,Jason Day,45,4.02,366,91
107,T103,T76,J.J. Henry,42,4.02,257,64
108,T103,T101,Tom Hoge,70,4.02,719,179
109,T103,T101,Chris Kirk,47,4.02,386,96
110,T103,T114,Jim Knous,55,4.02,527,131
111,T103,T101,Peter Malnati,64,4.02,743,185
112,T103,T101,Ryan Moore,54,4.02,502,125
113,T103,T101,Ian Poulter,49,4.02,358,89
114,T103,T101,Alex Prugh,54,4.02,418,104
115,T103,T101,Cameron Smith,55,4.02,462,115
116,T103,T101,Robert Streb,60,4.02,511,127
117,T118,T114,John Chin,38,4.03,508,126
118,T118,T114,Chesson Hadley,58,4.03,471,117
119,T118,T114,James Hahn,34,4.03,552,137
120,T118,T114,Brandon Harkins,67,4.03,640,159
121,T118,T114,Charley Hoffman,58,4.03,467,116
122,T118,T114,Russell Knox,65,4.03,347,86
123,T118,T114,Danny Lee,66,4.03,665,165
124,T118,T114,Roger Sloan,62,4.03,459,114
125,T118,T114,Hudson Swafford,59,4.03,258,64
126,T127,T171,Graeme McDowell,61,4.04,307,76
127,T127,T125,Jon Rahm,51,4.04,432,107
128,T127,T125,Seth Reeves,52,4.04,456,113
129,T127,T145,Adam Schenk,80,4.04,747,185
130,T127,T125,Harold Varner III,62,4.04,465,115
131,T127,T125,Aaron Wise,52,4.04,436,108
132,T127,T125,Chase Wright,53,4.04,436,108
133,T134,T133,Cameron Champ,58,4.05,608,150
134,T134,T133,Jason Dufner,56,4.05,466,115
135,T134,T133,Kyle Jones,49,4.05,433,107
136,T134,T133,Patton Kizzire,58,4.05,429,106
137,T134,T133,Kyoung-Hoon Lee,72,4.05,498,123
138,T134,999,Shane Lowry,30,4.05,170,42
139,T134,T133,Francesco Molinari,41,4.05,227,56
140,T134,T133,Rory Sabbatini,71,4.05,583,144
141,T134,T133,Sam Saunders,53,4.05,742,183
142,T134,T133,Vaughn Taylor,69,4.05,559,138
143,T134,T133,Kevin Tway,62,4.05,393,97
144,T134,T133,Nick Watney,67,4.05,680,168
145,T134,T133,Danny Willett,47,4.05,251,62
146,T147,T145,Brian Harman,67,4.06,609,150
147,T147,T171,Stephan Jaeger,59,4.06,735,181
148,T147,T145,Zach Johnson,50,4.06,268,66
149,T147,T145,Phil Mickelson,41,4.06,605,149
150,T147,T145,Wes Roach,45,4.06,641,158
151,T147,T145,José de Jesús Rodríguez,51,4.06,515,127
152,T147,T125,Scott Stallings,63,4.06,601,148
153,T147,T145,Henrik Stenson,46,4.06,345,85
154,T147,T125,Johnson Wagner,45,4.06,438,108
155,T156,T154,Kiradech Aphibarnrat,49,4.07,484,119
156,T156,T187,Lucas Bjerregaard,37,4.07,224,55
157,T156,T154,Scott Brown,66,4.07,749,184
158,T156,T154,Bryson DeChambeau,45,4.07,493,121
159,T156,T145,Joey Garber,44,4.07,330,81
160,T156,T178,David Hearn,41,4.07,289,71
161,T156,T154,Russell Henley,56,4.07,643,158
162,T156,T154,Hunter Mahan,45,4.07,557,137
163,T156,T154,John Senden,39,4.07,415,102
164,T165,T160,Aaron Baddeley,51,4.08,302,74
165,T165,T160,Bronson Burgoon,37,4.08,424,104
166,T165,T160,Corey Conners,62,4.08,526,129
167,T165,T178,Mackenzie Hughes,58,4.08,640,157
168,T165,T160,John Huh,35,4.08,432,106
169,T165,T160,Michael Kim,51,4.08,457,112
170,T165,T160,Scott Langley,60,4.08,788,193
171,T165,T160,Kevin Na,54,4.08,257,63
172,T165,T160,Carlos Ortiz,60,4.08,424,104
173,T165,T160,Rod Pampling,40,4.08,208,51
174,T165,T160,Kyle Stanley,53,4.08,571,140
175,T165,T160,Brendan Steele,50,4.08,494,121
176,T177,T171,Sam Burns,66,4.09,409,100
177,T177,T171,Brian Gay,79,4.09,650,159
178,T177,T198,Adam Hadwin,66,4.09,454,111
179,T177,T171,Martin Kaymer,38,4.09,364,89
180,T177,T178,Whee Kim,57,4.09,687,168
181,T177,T187,Kelly Kraft,67,4.09,520,127
182,T177,T171,Seamus Power,58,4.09,699,171
183,T177,T171,Ollie Schniederjans,63,4.09,470,115
184,T185,T178,Ryan Blaum,67,4.1,751,183
185,T185,T187,Matt Every,38,4.1,357,87
186,T185,T178,Justin Harding,31,4.1,209,51
187,T185,T178,Sam Ryder,52,4.1,680,166
188,T185,T178,Martin Trainer,51,4.1,353,86
189,T190,T185,Sung Kang,67,4.11,620,151
190,T190,T185,Alex Noren,49,4.11,366,89
191,T192,T187,Alex Cejka,41,4.12,503,122
192,T192,T187,Stewart Cink,33,4.12,305,74
193,T192,T187,Wyndham Clark,61,4.12,572,139
194,T192,T187,Jim Herman,37,4.12,177,43
195,T192,T187,Adam Long,52,4.12,305,74
196,T192,T187,Grayson Murray,36,4.12,342,83
197,T192,T187,Brady Schnell,38,4.12,568,138
198,T192,T187,Chris Thompson,34,4.12,313,76
199,T200,T198,Roberto Díaz,51,4.13,260,63
200,T200,T198,Satoshi Kodaira,51,4.13,351,85
201,T200,999,Martin Piller,30,4.13,260,63
202,203,201,Sergio Garcia,39,4.14,319,77
203,T204,T202,Tyler Duncan,66,4.16,795,191
204,T204,T202,Andrew Landry,56,4.16,532,128
205,T206,T204,Cody Gribble,52,4.18,472,113
206,T206,T204,D.A. Points,33,4.18,92,22
207,208,206,Freddie Jacobson,37,4.19,486,116
208,209,207,Charl Schwartzel,34,4.25,302,71
