,Tenth_Tee_Early_Par_5_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Par_5_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Par_5_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Par_5_Scoring_Average_ROUNDS,Tenth_Tee_Early_Par_5_Scoring_Average_AVG,Tenth_Tee_Early_Par_5_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Par_5_Scoring_Average_TOTAL HOLES
36,T36,T34,Andrew Putnam,57,4.49,193,43
37,T38,T36,Emiliano Grillo,65,4.5,216,48
38,T38,T36,Sung Kang,67,4.5,198,44
39,T38,T36,Adam Long,52,4.5,108,24
40,T41,T39,Patrick Cantlay,49,4.52,131,29
41,T41,T39,Stewart Cink,33,4.52,104,23
42,T41,T46,Sungjae Im,88,4.52,348,77
43,T41,T39,Martin Kaymer,38,4.52,104,23
44,T41,T39,Seamus Power,58,4.52,235,52
45,T41,T39,Wes Roach,45,4.52,235,52
46,T41,T39,Martin Trainer,51,4.52,113,25
47,T48,T46,Ryan Armour,66,4.53,163,36
48,T48,T46,Hank Lebioda,55,4.53,172,38
49,T50,T50,Abraham Ancer,69,4.55,264,58
50,T50,T50,Roberto Castro,54,4.55,150,33
51,T50,T55,Bill Haas,58,4.55,214,47
52,T50,T55,Adam Hadwin,66,4.55,132,29
53,T50,T50,Max Homa,61,4.55,291,64
54,T50,T50,Grayson Murray,36,4.55,132,29
55,T50,T50,Chez Reavie,67,4.55,173,38
56,T50,T55,J.J. Spaun,68,4.55,173,38
57,T50,T61,Nick Taylor,70,4.55,241,53
58,T59,T55,Brian Gay,79,4.56,228,50
59,T59,T55,Matt Jones,67,4.56,246,54
60,T59,49,Martin Laird,60,4.56,246,54
61,T62,T61,Cameron Davis,54,4.57,192,42
62,T62,T74,Brandon Harkins,67,4.57,233,51
63,T62,T61,Freddie Jacobson,37,4.57,169,37
64,T62,T61,Si Woo Kim,65,4.57,137,30
65,T62,T61,Justin Rose,42,4.57,105,23
66,T62,T61,Kyle Stanley,53,4.57,192,42
67,T68,T67,Cameron Champ,58,4.58,206,45
68,T68,T67,Jason Day,45,4.58,151,33
69,T68,T67,Kevin Kisner,65,4.58,183,40
70,T68,T67,Trey Mullinax,67,4.58,197,43
71,T68,T67,José de Jesús Rodríguez,51,4.58,183,40
72,T73,T74,Keegan Bradley,65,4.59,124,27
73,T73,T74,Harris English,72,4.59,266,58
74,T73,T74,Tony Finau,61,4.59,211,46
75,T73,T74,Chris Kirk,47,4.59,133,29
76,T73,T55,Nate Lashley,44,4.59,124,27
77,T73,T74,Ryan Palmer,56,4.59,156,34
78,T73,T99,Roger Sloan,62,4.59,179,39
79,T73,T83,Johnson Wagner,45,4.59,147,32
80,T73,T74,Aaron Wise,52,4.59,147,32
81,T82,T83,Ryan Blaum,67,4.6,253,55
82,T82,T67,Bud Cauley,61,4.6,184,40
83,T82,T83,Joel Dahmen,78,4.6,276,60
84,T82,T83,Julián Etulain,55,4.6,184,40
85,T82,T92,Matt Every,38,4.6,115,25
86,T82,T83,Matthew Fitzpatrick,42,4.6,92,20
87,T82,T83,James Hahn,34,4.6,207,45
88,T82,T83,Mackenzie Hughes,58,4.6,239,52
89,T82,T83,Ryan Moore,54,4.6,193,42
90,T82,T83,Louis Oosthuizen,43,4.6,115,25
91,T92,T92,Byeong Hun An,54,4.61,235,51
92,T92,T92,Scott Brown,66,4.61,249,54
93,T92,T92,Chesson Hadley,58,4.61,166,36
94,T92,T112,Brooks Koepka,49,4.61,143,31
95,T92,T92,Alex Noren,49,4.61,106,23
96,T92,T92,Ollie Schniederjans,63,4.61,175,38
97,T92,T92,Cameron Tringale,52,4.61,272,59
98,T99,T116,Sangmoon Bae,42,4.62,120,26
99,T99,T99,Jim Herman,37,4.62,60,13
100,T99,T67,Graeme McDowell,61,4.62,97,21
101,T99,T103,Joaquin Niemann,68,4.62,194,42
102,T99,T99,Seth Reeves,52,4.62,180,39
103,T99,T99,Xander Schauffele,55,4.62,180,39
104,T99,T74,Jimmy Walker,61,4.62,134,29
105,T106,T103,Tommy Fleetwood,43,4.63,125,27
106,T106,T103,Fabián Gómez,44,4.63,236,51
107,T106,T103,Branden Grace,62,4.63,190,41
108,T106,T131,Scott Piercy,70,4.63,111,24
109,T110,T107,Tom Hoge,70,4.64,269,58
110,T110,T74,Kelly Kraft,67,4.64,181,39
111,T110,T112,Sebastián Muñoz,58,4.64,255,55
112,T110,T116,Adam Svensson,51,4.64,246,53
113,T110,T107,Richy Werenski,63,4.64,153,33
114,T115,T110,Sam Burns,66,4.65,121,26
115,T115,T116,Talor Gooch,37,4.65,79,17
116,T115,T110,Satoshi Kodaira,51,4.65,121,26
117,T115,T134,Brandt Snedeker,68,4.65,265,57
118,T119,T116,Jim Furyk,53,4.66,149,32
119,T119,T144,Joey Garber,44,4.66,135,29
120,T119,T116,Danny Lee,66,4.66,205,44
121,T119,T112,Hunter Mahan,45,4.66,205,44
122,T119,T112,Rory Sabbatini,71,4.66,233,50
123,T119,T116,Harold Varner III,62,4.66,177,38
124,T125,T116,Jonas Blixt,66,4.67,168,36
125,T125,T116,John Chin,38,4.67,196,42
126,T125,T116,Roberto Díaz,51,4.67,98,21
127,T125,T116,Kramer Hickok,59,4.67,182,39
128,T125,T116,Billy Horschel,73,4.67,210,45
129,T125,T107,Dustin Johnson,47,4.67,140,30
130,T125,T116,Marc Leishman,52,4.67,154,33
131,T125,T116,Kevin Na,54,4.67,98,21
132,T133,T131,Brice Garnett,63,4.68,103,22
133,T133,T144,Stephan Jaeger,59,4.68,262,56
134,T133,T131,Sam Saunders,53,4.68,248,53
135,T133,T116,Brady Schnell,38,4.68,206,44
136,T133,T134,Webb Simpson,53,4.68,173,37
137,T138,T144,Corey Conners,62,4.69,183,39
138,T138,T134,Ben Crane,41,4.69,150,32
139,T138,T134,Jason Dufner,56,4.69,183,39
140,T138,T134,Tyrrell Hatton,46,4.69,75,16
141,T138,T134,Russell Knox,65,4.69,122,26
142,T138,T144,Peter Malnati,64,4.69,244,52
143,T138,T134,J.T. Poston,76,4.69,253,54
144,T138,T134,Alex Prugh,54,4.69,164,35
145,T138,T172,Ben Silverman,54,4.69,225,48
146,T138,T134,Henrik Stenson,46,4.69,122,26
147,T138,T134,Chase Wright,53,4.69,150,32
148,T149,T154,Sergio Garcia,39,4.7,94,20
149,T149,T144,Brian Harman,67,4.7,216,46
150,T149,T144,Russell Henley,56,4.7,235,50
151,T149,T144,Luke List,52,4.7,141,30
152,T149,T144,Hudson Swafford,59,4.7,94,20
153,T154,T169,Wyndham Clark,61,4.71,198,42
154,T154,T152,Beau Hossler,66,4.71,198,42
155,T154,T152,Curtis Luck,51,4.71,160,34
156,T154,T116,Scott Stallings,63,4.71,226,48
157,T158,T154,Rod Pampling,40,4.72,85,18
158,T158,T154,Patrick Rodgers,44,4.72,222,47
159,T158,T154,Vaughn Taylor,69,4.72,203,43
160,T161,T158,Alex Cejka,41,4.73,213,45
161,T161,T158,Ernie Els,43,4.73,156,33
162,T161,T172,Dylan Frittelli,55,4.73,227,48
163,T161,T164,Jim Knous,55,4.73,175,37
164,T161,T158,Troy Merritt,42,4.73,71,15
165,T161,T158,Patrick Reed,53,4.73,213,45
166,T161,T158,John Senden,39,4.73,175,37
167,T168,T164,Kiradech Aphibarnrat,49,4.74,166,35
168,T168,T164,Tyler Duncan,66,4.74,289,61
169,T168,T172,Sepp Straka,48,4.74,109,23
170,T168,T164,Kevin Streelman,63,4.74,199,42
171,T168,T158,Josh Teater,47,4.74,204,43
172,T173,T172,Anders Albertson,48,4.75,209,44
173,T173,T169,Anirban Lahiri,54,4.75,114,24
174,T173,T169,Andrew Landry,56,4.75,190,40
175,T176,T172,Rafa Cabrera Bello,57,4.76,195,41
176,T176,T164,David Hearn,41,4.76,119,25
177,T176,T172,Jason Kokrak,68,4.76,233,49
178,T176,T172,Pat Perez,52,4.76,243,51
179,T176,T172,Kevin Tway,62,4.76,138,29
180,T181,T180,Cameron Smith,55,4.77,186,39
181,T181,T180,Chris Thompson,34,4.77,105,22
182,T183,T182,Scott Langley,60,4.78,282,59
183,T183,T182,Robert Streb,60,4.78,196,41
184,T185,T190,J.J. Henry,42,4.8,96,20
185,T185,184,Whee Kim,57,4.8,264,55
186,T185,T185,Kyoung-Hoon Lee,72,4.8,211,44
187,T185,T185,Shawn Stefani,57,4.8,264,55
188,T185,T185,Brian Stuard,76,4.8,307,64
189,T190,T188,Patton Kizzire,58,4.82,164,34
190,T190,T188,Peter Uihlein,65,4.82,188,39
191,192,T190,D.A. Points,33,4.83,29,6
192,193,192,Chris Stroud,54,4.84,213,44
193,194,193,Charl Schwartzel,34,4.85,126,26
194,195,T194,Kyle Jones,49,4.88,156,32
195,196,T194,Carlos Ortiz,60,4.89,171,35
196,197,196,Haotong Li,32,4.9,98,20
197,198,197,Charley Hoffman,58,4.92,187,38
198,199,198,Francesco Molinari,41,4.93,69,14
199,T200,T199,J.B. Holmes,54,4.95,213,43
200,T200,T199,"Ted Potter, Jr.",56,4.95,213,43
201,202,201,Jonathan Byrd,43,4.97,174,35
202,203,202,Phil Mickelson,41,4.98,234,47
203,T204,T204,John Huh,35,5.06,172,34
204,T204,T204,Matt Wallace,31,5.06,81,16
205,206,203,Lucas Bjerregaard,37,5.07,76,15
206,207,206,Aaron Baddeley,51,5.08,122,24
207,208,999,Tyrone Van Aswegen,30,5.09,117,23
208,209,207,Michael Kim,51,5.1,209,41
