,Tenth_Tee_Late_Par_5_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Par_5_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Par_5_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Par_5_Scoring_Average_ROUNDS,Tenth_Tee_Late_Par_5_Scoring_Average_AVG,Tenth_Tee_Late_Par_5_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Par_5_Scoring_Average_TOTAL HOLES
181,T182,T175,Tom Hoge,70,4.82,236,49
182,T182,T181,John Huh,35,4.82,106,22
183,T182,T175,Zach Johnson,50,4.82,135,28
184,T182,T181,Hideki Matsuyama,59,4.82,53,11
185,T182,T175,Chris Thompson,34,4.82,183,38
186,T187,T185,Kevin Kisner,65,4.83,145,30
187,T187,T185,Roger Sloan,62,4.83,256,53
188,189,999,Shane Lowry,30,4.84,92,19
189,T190,T187,Corey Conners,62,4.85,126,26
190,T190,T191,Russell Henley,56,4.85,194,40
191,T192,T189,Stewart Cink,33,4.86,141,29
192,T192,T189,Matt Kuchar,65,4.86,34,7
193,194,T191,Rory McIlroy,50,4.87,73,15
194,T195,T193,Michael Kim,51,4.88,205,42
195,T195,T193,Jim Knous,55,4.88,166,34
196,197,195,Joey Garber,44,4.91,162,33
197,T198,T196,J.J. Henry,42,4.93,148,30
198,T198,T196,Sepp Straka,48,4.93,202,41
199,200,198,Adam Long,52,4.95,188,38
200,T201,T199,Bronson Burgoon,37,4.96,114,23
201,T201,T199,Talor Gooch,37,4.96,119,24
202,T203,T201,Jason Day,45,5.0,20,4
203,T203,T201,Brooks Koepka,49,5.0,20,4
204,T203,T201,Phil Mickelson,41,5.0,15,3
205,T203,T201,Adam Scott,41,5.0,15,3
206,207,205,Martin Laird,60,5.06,91,18
207,208,206,Rickie Fowler,54,5.25,21,4
