,Late_Par_5_Scoring_Average_RANK THIS WEEK,Late_Par_5_Scoring_Average_RANK LAST WEEK,Late_Par_5_Scoring_Average_PLAYER NAME,Late_Par_5_Scoring_Average_ROUNDS,Late_Par_5_Scoring_Average_AVG,Late_Par_5_Scoring_Average_TOTAL STROKES,Late_Par_5_Scoring_Average_TOTAL HOLES
82,T80,T80,Joel Dahmen,78,4.62,578,125
83,T84,T80,Roberto Díaz,51,4.63,389,84
84,T84,T97,Tyler Duncan,66,4.63,449,97
85,T84,T86,Tommy Fleetwood,43,4.63,352,76
86,T84,T76,Nate Lashley,44,4.63,338,73
87,T84,T86,Phil Mickelson,41,4.63,278,60
88,T84,T86,Kevin Na,54,4.63,366,79
89,T84,T86,"Ted Potter, Jr.",56,4.63,310,67
90,T84,T86,Jordan Spieth,57,4.63,431,93
91,T84,T86,Jhonattan Vegas,60,4.63,486,105
92,T93,T97,Byeong Hun An,54,4.64,348,75
93,T93,T97,Scott Brown,66,4.64,413,89
94,T93,T97,Rickie Fowler,54,4.64,445,96
95,T93,T86,Mackenzie Hughes,58,4.64,357,77
96,T93,T97,Scott Piercy,70,4.64,473,102
97,T93,T97,J.T. Poston,76,4.64,487,105
98,T93,T86,Ollie Schniederjans,63,4.64,408,88
99,T93,T97,Henrik Stenson,46,4.64,297,64
100,T93,T80,Martin Trainer,51,4.64,445,96
101,T102,T109,Cameron Davis,54,4.65,377,81
102,T102,T119,Jim Knous,55,4.65,414,89
103,T102,T105,Russell Knox,65,4.65,409,88
104,T102,T105,Pat Perez,52,4.65,400,86
105,T102,999,Martin Piller,30,4.65,251,54
106,T102,T97,Seamus Power,58,4.65,363,78
107,T102,T105,Brady Schnell,38,4.65,288,62
108,T109,T109,Aaron Baddeley,51,4.66,443,95
109,T109,T109,Sangmoon Bae,42,4.66,312,67
110,T109,T135,John Chin,38,4.66,261,56
111,T109,T109,Jason Dufner,56,4.66,382,82
112,T109,T109,Matthew Fitzpatrick,42,4.66,219,47
113,T109,T109,Chesson Hadley,58,4.66,438,94
114,T109,999,Shane Lowry,30,4.66,205,44
115,T109,T119,Peter Malnati,64,4.66,443,95
116,T109,T109,Adam Schenk,80,4.66,634,136
117,T109,T109,Kyle Stanley,53,4.66,317,68
118,T109,T105,Josh Teater,47,4.66,317,68
119,T109,T109,Johnson Wagner,45,4.66,326,70
120,T109,T127,Richy Werenski,63,4.66,499,107
121,T109,T127,Aaron Wise,52,4.66,317,68
122,T123,T86,Anders Albertson,48,4.67,378,81
123,T123,T127,Brian Gay,79,4.67,607,130
124,T123,T135,Jim Herman,37,4.67,285,61
125,T123,T119,Beau Hossler,66,4.67,448,96
126,T123,T119,John Huh,35,4.67,243,52
127,T123,T119,Kevin Kisner,65,4.67,392,84
128,T123,T119,Danny Lee,66,4.67,420,90
129,T123,T119,Patrick Reed,53,4.67,392,84
130,T123,T119,Kevin Streelman,63,4.67,448,96
131,T123,T135,Adam Svensson,51,4.67,383,82
132,T123,T109,Chase Wright,53,4.67,397,85
133,T134,T145,Daniel Berger,48,4.68,337,72
134,T134,T135,Julián Etulain,55,4.68,342,73
135,T134,T127,Jason Kokrak,68,4.68,520,111
136,T134,T127,Andrew Putnam,57,4.68,426,91
137,T134,T127,Roger Sloan,62,4.68,505,108
138,T134,T127,Brendan Steele,50,4.68,337,72
139,T134,T135,Peter Uihlein,65,4.68,454,97
140,T141,T135,Justin Harding,31,4.69,150,32
141,T141,T135,Charley Hoffman,58,4.69,460,98
142,T141,T135,Kelly Kraft,67,4.69,488,104
143,T141,T135,Grayson Murray,36,4.69,244,52
144,T141,T135,Justin Rose,42,4.69,417,89
145,T141,T160,Danny Willett,47,4.69,366,78
146,T147,T145,Ryan Blaum,67,4.7,517,110
147,T147,T145,Ernie Els,43,4.7,287,61
148,T147,T127,Jim Furyk,53,4.7,362,77
149,T147,T145,Lucas Glover,62,4.7,517,110
150,T147,T160,Joaquin Niemann,68,4.7,437,93
151,T147,T145,Robert Streb,60,4.7,432,92
152,T147,T145,Jimmy Walker,61,4.7,442,94
153,T154,T145,David Hearn,41,4.71,292,62
154,T154,T152,Billy Horschel,73,4.71,593,126
155,T154,T152,Martin Laird,60,4.71,419,89
156,T154,T152,Andrew Landry,56,4.71,306,65
157,T154,T152,Graeme McDowell,61,4.71,372,79
158,T154,T152,C.T. Pan,64,4.71,429,91
159,T154,T152,Alex Prugh,54,4.71,396,84
160,T154,T152,Shawn Stefani,57,4.71,471,100
161,T154,T170,Cameron Tringale,52,4.71,367,78
162,T163,T160,Jonathan Byrd,43,4.72,340,72
163,T163,T175,J.B. Holmes,54,4.72,411,87
164,T163,T160,Charles Howell III,64,4.72,505,107
165,T163,T152,Kyle Jones,49,4.72,420,89
166,T163,T160,Satoshi Kodaira,51,4.72,302,64
167,T163,T160,Keith Mitchell,64,4.72,486,103
168,T163,T160,D.A. Points,33,4.72,222,47
169,T163,T160,Vaughn Taylor,69,4.72,538,114
170,T163,999,Tyrone Van Aswegen,30,4.72,217,46
171,T172,T175,Jonas Blixt,66,4.73,426,90
172,T172,T170,Tyrrell Hatton,46,4.73,284,60
173,T172,T170,Zach Johnson,50,4.73,303,64
174,T172,T170,Patton Kizzire,58,4.73,355,75
175,T172,T170,Adam Long,52,4.73,374,79
176,T172,T160,Sepp Straka,48,4.73,464,98
177,T172,T160,Harold Varner III,62,4.73,430,91
178,T179,T175,Ryan Armour,66,4.74,493,104
179,T179,T181,Corey Conners,62,4.74,412,87
180,T179,T181,Kramer Hickok,59,4.74,427,90
181,T179,T186,Whee Kim,57,4.74,379,80
182,T179,T175,Anirban Lahiri,54,4.74,351,74
183,T179,T175,Cameron Smith,55,4.74,322,68
184,T185,T181,Alex Cejka,41,4.75,261,55
185,T185,T181,Ben Crane,41,4.75,290,61
186,T185,T186,Russell Henley,56,4.75,380,80
187,T185,T181,Michael Thompson,56,4.75,437,92
188,T189,T186,Austin Cook,50,4.76,362,76
189,T189,T186,Jason Day,45,4.76,390,82
190,T189,T175,Brice Garnett,63,4.76,414,87
191,T189,194,Fabián Gómez,44,4.76,257,54
192,T189,T186,Francesco Molinari,41,4.76,295,62
193,T189,T186,Louis Oosthuizen,43,4.76,295,62
194,T189,T186,Brian Stuard,76,4.76,566,119
195,T196,T198,Roberto Castro,54,4.77,358,75
196,T196,T186,Curtis Luck,51,4.77,415,87
197,T196,T195,José de Jesús Rodríguez,51,4.77,420,88
198,T199,T195,Rod Pampling,40,4.78,282,59
199,T199,T198,Chris Thompson,34,4.78,287,60
200,201,T195,Joey Garber,44,4.79,369,77
201,T202,T198,Stewart Cink,33,4.8,259,54
202,T202,203,J.J. Henry,42,4.8,269,56
203,T202,T198,Tom Hoge,70,4.8,528,110
204,T205,T204,Brian Harman,67,4.81,500,104
205,T205,202,Sam Saunders,53,4.81,428,89
206,207,T204,Michael Kim,51,4.85,383,79
207,208,206,Freddie Jacobson,37,4.86,238,49
208,209,207,Bronson Burgoon,37,4.88,249,51
