,Round_2_Scoring_Average_RANK THIS WEEK,Round_2_Scoring_Average_RANK LAST WEEK,Round_2_Scoring_Average_PLAYER NAME,Round_2_Scoring_Average_AVG,Round_2_Scoring_Average_TOTAL STROKES,Round_2_Scoring_Average_TOTAL ROUNDS
112,T113,T108,Rafa Cabrera Bello,70.79,991,14
113,T113,T111,Richy Werenski,70.79,1345,19
114,115,110,Keegan Bradley,70.81,1133,16
115,116,T117,Harold Varner III,70.84,1346,19
116,117,114,Kevin Na,70.86,992,14
117,118,T108,Julián Etulain,70.87,1063,15
118,T119,T115,Russell Knox,70.88,1134,16
119,T119,T115,Sam Saunders,70.88,1205,17
120,T121,T120,Joaquin Niemann,70.89,1347,19
121,T121,T117,C.T. Pan,70.89,1276,18
122,123,152,Bubba Watson,70.91,780,11
123,124,T147,J.B. Holmes,70.93,1064,15
124,T125,T120,Si Woo Kim,70.94,1277,18
125,T125,T120,Martin Trainer,70.94,1277,18
126,T127,126,Ryan Blaum,70.95,1419,20
127,T127,T127,Whee Kim,70.95,1348,19
128,T129,140,Corey Conners,71.0,1349,19
129,T129,T127,Roberto Díaz,71.0,1065,15
130,T129,T141,Jim Knous,71.0,1136,16
131,T129,T127,Nate Lashley,71.0,852,12
132,T129,T127,Andrew Putnam,71.0,1065,15
133,T129,163,Chris Thompson,71.0,852,12
134,T129,T127,Peter Uihlein,71.0,1349,19
135,T129,T127,Jhonattan Vegas,71.0,1207,17
136,137,134,Sam Burns,71.05,1350,19
137,T138,T135,Patton Kizzire,71.06,1208,17
138,T138,T135,Anirban Lahiri,71.06,1137,16
139,T138,T120,Chase Wright,71.06,1279,18
140,141,138,John Senden,71.08,853,12
141,T142,139,Matt Every,71.09,782,11
142,T142,153,Tom Hoge,71.09,1635,23
143,T144,149,Kramer Hickok,71.11,1351,19
144,T144,T135,Danny Lee,71.11,1351,19
145,T146,T158,Austin Cook,71.13,1138,16
146,T146,T141,Hunter Mahan,71.13,1067,15
147,T146,156,Danny Willett,71.13,1067,15
148,149,144,Ollie Schniederjans,71.15,1423,20
149,150,T120,Scott Stallings,71.16,1352,19
150,151,T166,Mackenzie Hughes,71.17,1281,18
151,T152,T141,Anders Albertson,71.18,1210,17
152,T152,T145,Charl Schwartzel,71.18,783,11
153,154,T161,Sangmoon Bae,71.2,1068,15
154,T155,T147,Patrick Rodgers,71.21,997,14
155,T155,T164,Cameron Tringale,71.21,997,14
156,157,T145,Shawn Stefani,71.22,1282,18
157,T158,T158,Tyler Duncan,71.24,1496,21
158,T158,171,Brian Harman,71.24,1496,21
159,T158,150,Chez Reavie,71.24,1211,17
160,161,999,Tyrone Van Aswegen,71.27,784,11
161,162,151,Jimmy Walker,71.29,1212,17
162,163,185,Ben Crane,71.31,927,13
163,T164,T182,Stephan Jaeger,71.33,1284,18
164,T164,154,Luke List,71.33,1070,15
165,T166,155,Billy Horschel,71.35,1213,17
166,T166,T166,Robert Streb,71.35,1427,20
167,168,157,John Chin,71.36,999,14
168,169,T161,Roberto Castro,71.4,1071,15
169,170,160,Charley Hoffman,71.41,1214,17
170,171,168,Alex Prugh,71.47,1215,17
171,172,T164,Brady Schnell,71.5,1001,14
172,173,T169,Freddie Jacobson,71.54,930,13
173,174,172,Byeong Hun An,71.57,1002,14
174,175,175,Chesson Hadley,71.63,1361,19
175,T176,186,Alex Cejka,71.64,1003,14
176,T176,T169,J.J. Henry,71.64,1003,14
177,178,188,Cody Gribble,71.65,1218,17
178,179,177,Kyle Jones,71.67,1290,18
179,180,174,Hudson Swafford,71.68,1362,19
180,181,193,Sepp Straka,71.73,1076,15
181,T182,T178,Branden Grace,71.75,1148,16
182,T182,173,Bill Haas,71.75,1148,16
183,T182,T178,Ryan Moore,71.75,1148,16
184,T182,T178,Matt Wallace,71.75,574,8
185,186,T182,"Ted Potter, Jr.",71.76,1220,17
186,187,999,Martin Piller,71.8,718,10
187,188,184,Kyle Stanley,71.81,1149,16
188,189,187,Bronson Burgoon,71.86,1006,14
189,190,191,Jim Herman,71.88,1150,16
190,191,176,David Hearn,71.92,935,13
191,192,192,Scott Langley,71.95,1367,19
192,193,T199,Lucas Bjerregaard,72.0,648,9
193,T194,T189,John Huh,72.08,937,13
194,T194,T189,Phil Mickelson,72.08,865,12
195,T196,T194,Haotong Li,72.25,578,8
196,T196,T194,Brendan Steele,72.25,1156,16
197,198,196,Adam Long,72.26,1373,19
198,199,203,Joey Garber,72.29,1012,14
199,200,T201,Seamus Power,72.3,1446,20
200,201,198,Satoshi Kodaira,72.33,1085,15
201,202,197,Seth Reeves,72.41,1231,17
202,203,T201,Tyrrell Hatton,72.42,869,12
203,204,T199,Chris Stroud,72.47,1232,17
204,205,204,D.A. Points,72.5,870,12
205,206,999,Shane Lowry,73.0,584,8
206,T207,205,Michael Kim,73.2,1464,20
207,T207,207,Rod Pampling,73.2,1098,15
208,209,206,Grayson Murray,73.27,806,11
