,Front_9_Par_3_Scoring_Average_RANK THIS WEEK,Front_9_Par_3_Scoring_Average_RANK LAST WEEK,Front_9_Par_3_Scoring_Average_PLAYER NAME,Front_9_Par_3_Scoring_Average_ROUNDS,Front_9_Par_3_Scoring_Average_AVG,Front_9_Par_3_Scoring_Average_TOTAL STROKES,Front_9_Par_3_Scoring_Average_TOTAL HOLES
76,T75,T75,Jason Day,45,3.04,246,81
77,T75,T75,Bryson DeChambeau,45,3.04,255,84
78,T75,T75,Jason Dufner,56,3.04,328,108
79,T75,T75,Ernie Els,43,3.04,252,83
80,T75,T93,Tom Hoge,70,3.04,404,133
81,T75,T75,Billy Horschel,73,3.04,401,132
82,T75,T75,Pat Perez,52,3.04,307,101
83,T75,T75,D.A. Points,33,3.04,204,67
84,T75,T64,Ben Silverman,54,3.04,331,109
85,T75,T75,Gary Woodland,63,3.04,365,120
86,T87,T93,Joel Dahmen,78,3.05,452,148
87,T87,T64,Brian Gay,79,3.05,460,151
88,T87,T93,Branden Grace,62,3.05,332,109
89,T87,T93,Adam Hadwin,66,3.05,381,125
90,T87,T75,Jim Herman,37,3.05,226,74
91,T87,T93,Max Homa,61,3.05,363,119
92,T87,T93,Mackenzie Hughes,58,3.05,332,109
93,T87,T93,Russell Knox,65,3.05,357,117
94,T87,T54,Shawn Stefani,57,3.05,323,106
95,T87,T93,Hudson Swafford,59,3.05,348,114
96,T97,T104,Byeong Hun An,54,3.06,312,102
97,T97,T104,Aaron Baddeley,51,3.06,315,103
98,T97,T104,Ryan Blaum,67,3.06,385,126
99,T97,T75,Jonathan Byrd,43,3.06,254,83
100,T97,T104,Patrick Cantlay,49,3.06,269,88
101,T97,T104,Stewart Cink,33,3.06,202,66
102,T97,T104,Rickie Fowler,54,3.06,330,108
103,T97,T104,Bill Haas,58,3.06,331,108
104,T97,T104,Justin Harding,31,3.06,147,48
105,T97,T104,Kevin Kisner,65,3.06,334,109
106,T97,T64,Hank Lebioda,55,3.06,315,103
107,T97,T104,Kyoung-Hoon Lee,72,3.06,419,137
108,T97,T119,Curtis Luck,51,3.06,291,95
109,T97,T104,Francesco Molinari,41,3.06,208,68
110,T97,T119,Seamus Power,58,3.06,331,108
111,T97,T104,Jon Rahm,51,3.06,269,88
112,T97,T93,Adam Schenk,80,3.06,480,157
113,T97,T75,Adam Svensson,51,3.06,303,99
114,T97,T75,Peter Uihlein,65,3.06,386,126
115,T97,T104,Jhonattan Vegas,60,3.06,355,116
116,T117,T119,Abraham Ancer,69,3.07,393,128
117,T117,T155,Sangmoon Bae,42,3.07,249,81
118,T117,T119,Bronson Burgoon,37,3.07,227,74
119,T117,T133,Roberto Díaz,51,3.07,292,95
120,T117,T119,Tommy Fleetwood,43,3.07,224,73
121,T117,T133,Brice Garnett,63,3.07,378,123
122,T117,T119,Charles Howell III,64,3.07,374,122
123,T117,T119,Graeme McDowell,61,3.07,353,115
124,T117,T119,Carlos Ortiz,60,3.07,356,116
125,T117,T93,José de Jesús Rodríguez,51,3.07,316,103
126,T117,T133,Webb Simpson,53,3.07,307,100
127,T117,T119,Brendan Steele,50,3.07,295,96
128,T117,T119,Kevin Streelman,63,3.07,378,123
129,T117,T104,Chris Stroud,54,3.07,310,101
130,T117,T119,Jimmy Walker,61,3.07,377,123
131,T132,T133,Sam Burns,66,3.08,394,128
132,T132,T146,Jim Furyk,53,3.08,299,97
133,T132,T119,Brandon Harkins,67,3.08,391,127
134,T132,T133,Beau Hossler,66,3.08,409,133
135,T132,T104,Nate Lashley,44,3.08,262,85
136,T132,T133,Adam Long,52,3.08,323,105
137,T132,T133,Louis Oosthuizen,43,3.08,222,72
138,T132,999,Martin Piller,30,3.08,188,61
139,T132,T133,Patrick Reed,53,3.08,299,97
140,T132,T133,Patrick Rodgers,44,3.08,274,89
141,T132,T133,Brady Schnell,38,3.08,237,77
142,T132,T133,Cameron Smith,55,3.08,308,100
143,T132,T119,Brandt Snedeker,68,3.08,403,131
144,T132,T146,Scott Stallings,63,3.08,367,119
145,T146,T164,John Chin,38,3.09,238,77
146,T146,T119,Tyler Duncan,66,3.09,399,129
147,T146,T133,Julián Etulain,55,3.09,318,103
148,T146,T146,Matthew Fitzpatrick,42,3.09,244,79
149,T146,T146,Chesson Hadley,58,3.09,349,113
150,T146,T146,Dustin Johnson,47,3.09,275,89
151,T146,T146,Keith Mitchell,64,3.09,380,123
152,T146,T175,Rod Pampling,40,3.09,238,77
153,T146,T146,Kyle Stanley,53,3.09,297,96
154,T155,T155,Kiradech Aphibarnrat,49,3.1,285,92
155,T155,T155,Cameron Davis,54,3.1,326,105
156,T155,T146,Sergio Garcia,39,3.1,186,60
157,T155,T155,Whee Kim,57,3.1,332,107
158,T155,999,Shane Lowry,30,3.1,158,51
159,T155,T155,Adam Scott,41,3.1,245,79
160,T155,T164,D.J. Trahan,33,3.1,195,63
161,T155,999,Tyrone Van Aswegen,30,3.1,189,61
162,T155,T183,Bubba Watson,47,3.1,248,80
163,T164,T164,Wyndham Clark,61,3.11,370,119
164,T164,T175,Joey Garber,44,3.11,252,81
165,T164,T183,Cody Gribble,52,3.11,302,97
166,T164,T164,David Hearn,41,3.11,233,75
167,T164,T155,Zach Johnson,50,3.11,311,100
168,T164,T146,Kyle Jones,49,3.11,295,95
169,T164,T164,Martin Kaymer,38,3.11,236,76
170,T164,T164,Kevin Na,54,3.11,305,98
171,T164,T133,Ryan Palmer,56,3.11,327,105
172,T164,T164,"Ted Potter, Jr.",56,3.11,339,109
173,T164,T164,Sam Saunders,53,3.11,333,107
174,T164,T164,Charl Schwartzel,34,3.11,199,64
175,T164,T175,J.J. Spaun,68,3.11,401,129
176,T164,T155,Nick Taylor,70,3.11,413,133
177,T178,T164,Dylan Frittelli,55,3.12,334,107
178,T178,T164,Fabián Gómez,44,3.12,278,89
179,T178,T155,Talor Gooch,37,3.12,234,75
180,T178,T175,Matt Jones,67,3.12,396,127
181,T178,T175,Jim Knous,55,3.12,321,103
182,T178,T155,Martin Trainer,51,3.12,321,103
183,T184,T175,Brian Harman,67,3.13,407,130
184,T184,T183,Andrew Landry,56,3.13,326,104
185,T184,T183,Luke List,52,3.13,307,98
186,T187,T183,Daniel Berger,48,3.14,301,96
187,T187,T189,Kramer Hickok,59,3.14,374,119
188,T187,T189,Freddie Jacobson,37,3.14,223,71
189,T187,T189,Haotong Li,32,3.14,176,56
190,T187,T189,Phil Mickelson,41,3.14,242,77
191,T187,T189,Grayson Murray,36,3.14,229,73
192,T187,T175,Alex Noren,49,3.14,289,92
193,T187,T183,Alex Prugh,54,3.14,317,101
194,T187,T197,Chris Thompson,34,3.14,217,69
195,T196,T189,Harris English,72,3.15,441,140
196,T196,T195,Joaquin Niemann,68,3.15,416,132
197,T198,T197,Chris Kirk,47,3.16,284,90
198,T198,T197,Sepp Straka,48,3.16,294,93
199,T198,T175,Danny Willett,47,3.16,297,94
200,T201,T202,J.J. Henry,42,3.17,244,77
201,T201,T200,Brooks Koepka,49,3.17,266,84
202,T201,T200,John Senden,39,3.17,238,75
203,T204,T202,Hunter Mahan,45,3.18,289,91
204,T204,T195,Roger Sloan,62,3.18,397,125
205,T206,T204,Rafa Cabrera Bello,57,3.2,349,109
206,T206,T204,Matt Wallace,31,3.2,179,56
207,208,206,Satoshi Kodaira,51,3.21,308,96
208,209,207,Lucas Bjerregaard,37,3.23,194,60
