,Birdie_to_Bogey_Ratio_RANK THIS WEEK,Birdie_to_Bogey_Ratio_RANK LAST WEEK,Birdie_to_Bogey_Ratio_PLAYER NAME,Birdie_to_Bogey_Ratio_ROUNDS,Birdie_to_Bogey_Ratio_BIRDIE TO BOGEY RATIO,Birdie_to_Bogey_Ratio_TOTAL BIRDIES AND BETTER,Birdie_to_Bogey_Ratio_TOTAL BOGEYS AND WORSE
68,T66,T69,Keith Mitchell,64,1.38,256,186
69,T66,T69,Ryan Moore,54,1.38,213,154
70,T66,T84,Sebastián Muñoz,58,1.38,226,164
71,T66,T90,Brandt Snedeker,68,1.38,248,180
72,T66,T69,Brian Stuard,76,1.38,260,189
73,T66,T69,Harold Varner III,62,1.38,224,162
74,T75,T75,Rafa Cabrera Bello,57,1.37,223,163
75,T75,T58,Cameron Davis,54,1.37,204,149
76,T75,T75,Kevin Kisner,65,1.37,204,149
77,T75,T66,Martin Laird,60,1.37,214,156
78,T79,T82,Keegan Bradley,65,1.36,221,163
79,T79,T78,Cameron Champ,58,1.36,246,181
80,T79,T69,Sergio Garcia,39,1.36,114,84
81,T79,T78,Emiliano Grillo,65,1.36,249,183
82,T79,T84,Peter Malnati,64,1.36,228,168
83,T84,T95,Harris English,72,1.35,252,187
84,T84,T101,Adam Hadwin,66,1.35,252,187
85,T84,T78,Trey Mullinax,67,1.35,239,177
86,T84,T61,Bubba Watson,47,1.35,152,113
87,88,T84,Patrick Reed,53,1.34,188,140
88,T89,89,Ryan Armour,66,1.33,228,172
89,T89,T101,Hank Lebioda,55,1.33,211,159
90,T89,T129,Henrik Stenson,46,1.33,130,98
91,T89,T90,Nick Taylor,70,1.33,250,188
92,T93,T90,Ernie Els,43,1.32,135,102
93,T93,T82,Dylan Frittelli,55,1.32,189,143
94,T93,T90,Cameron Smith,55,1.32,195,148
95,T96,T95,Byeong Hun An,54,1.31,211,161
