,Tenth_Tee_Late_Round_4_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Round_4_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Round_4_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Round_4_Scoring_Average_AVG,Tenth_Tee_Late_Round_4_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Round_4_Scoring_Average_TOTAL ROUNDS
122,T117,T116,Rory McIlroy,74.0,74,1
123,T117,T116,Alex Noren,74.0,148,2
124,T117,T116,J.T. Poston,74.0,74,1
125,T117,T116,Shawn Stefani,74.0,74,1
126,127,126,Seth Reeves,74.33,223,3
127,T128,T127,Emiliano Grillo,74.5,149,2
128,T128,T127,Michael Kim,74.5,149,2
129,T130,T129,John Chin,75.0,75,1
130,T130,T129,Cameron Davis,75.0,150,2
131,T130,T129,Stephan Jaeger,75.0,150,2
132,T130,999,Shane Lowry,75.0,75,1
133,T130,T129,Nick Watney,75.0,75,1
134,T135,T133,Brian Harman,76.0,152,2
135,T135,T133,Russell Knox,76.0,76,1
136,T135,T133,Pat Perez,76.0,76,1
137,138,136,Scott Stallings,77.0,77,1
