,Front_9_Round_4_Scoring_Average_RANK THIS WEEK,Front_9_Round_4_Scoring_Average_RANK LAST WEEK,Front_9_Round_4_Scoring_Average_PLAYER NAME,Front_9_Round_4_Scoring_Average_AVG,Front_9_Round_4_Scoring_Average_TOTAL STROKES,Front_9_Round_4_Scoring_Average_TOTAL ROUNDS
131,T132,T171,Cody Gribble,35.43,248,7
132,T132,T131,Chris Stroud,35.43,248,7
133,T134,T133,Satoshi Kodaira,35.44,319,9
134,T134,T133,Justin Rose,35.44,319,9
135,T134,T137,Henrik Stenson,35.44,319,9
136,137,136,Branden Grace,35.45,390,11
137,T138,T137,David Hearn,35.5,142,4
138,T138,T137,Beau Hossler,35.5,426,12
139,T138,T149,Mackenzie Hughes,35.5,284,8
140,T138,T137,John Huh,35.5,142,4
141,T138,T137,Kevin Na,35.5,355,10
142,T138,T137,Adam Scott,35.5,284,8
143,T138,T161,Chris Thompson,35.5,142,4
144,145,144,Chez Reavie,35.54,462,13
145,T146,T145,Tyrrell Hatton,35.56,320,9
146,T146,T145,Charley Hoffman,35.56,320,9
147,T146,T145,Luke List,35.56,320,9
148,T149,T149,J.B. Holmes,35.57,249,7
149,T149,T149,Alex Prugh,35.57,249,7
150,T149,T149,Adam Svensson,35.57,249,7
151,152,153,Kyoung-Hoon Lee,35.58,427,12
152,T153,T154,Aaron Baddeley,35.6,356,10
153,T153,T120,Tyler Duncan,35.6,356,10
154,T153,T199,Joey Garber,35.6,178,5
155,T153,T154,John Senden,35.6,178,5
156,157,T129,Danny Lee,35.62,463,13
157,T158,T131,Jonathan Byrd,35.63,285,8
158,T158,T157,Sam Saunders,35.63,285,8
159,T158,T157,Shawn Stefani,35.63,285,8
160,161,160,Brandon Harkins,35.64,392,11
161,T162,T161,Emiliano Grillo,35.67,535,15
162,T162,T161,Matt Wallace,35.67,214,6
163,T162,174,Bubba Watson,35.67,321,9
164,165,T161,J.J. Spaun,35.69,464,13
165,166,165,Seth Reeves,35.71,250,7
166,T167,T166,John Chin,35.75,143,4
167,T167,T166,Joel Dahmen,35.75,572,16
168,T167,T166,Michael Kim,35.75,143,4
169,T167,999,Martin Piller,35.75,143,4
170,T167,T176,José de Jesús Rodríguez,35.75,286,8
171,172,169,Adam Hadwin,35.79,501,14
172,173,170,Wyndham Clark,35.82,394,11
173,174,T171,Whee Kim,35.83,215,6
174,T175,173,Curtis Luck,35.86,251,7
175,T175,T137,Sepp Straka,35.86,251,7
176,T177,T157,Kelly Kraft,35.89,323,9
177,T177,T195,Ben Silverman,35.89,323,9
178,179,175,Ollie Schniederjans,35.9,359,10
179,T180,T176,Lucas Bjerregaard,36.0,216,6
180,T180,T176,Ryan Blaum,36.0,396,11
181,T180,T176,Alex Cejka,36.0,144,4
182,T180,T176,Tommy Fleetwood,36.0,324,9
183,T180,T176,Bill Haas,36.0,360,10
184,T180,T193,Martin Laird,36.0,360,10
185,T180,T190,Joaquin Niemann,36.0,468,13
186,T180,T176,Ian Poulter,36.0,360,10
187,T180,T176,Cameron Smith,36.0,396,11
188,189,185,Patrick Reed,36.09,397,11
189,T190,T186,Julián Etulain,36.1,361,10
190,T190,T186,Scott Stallings,36.1,361,10
191,192,188,Matthew Fitzpatrick,36.11,325,9
192,193,189,Brendan Steele,36.13,289,8
193,194,T202,Wes Roach,36.14,253,7
194,195,T190,Martin Trainer,36.17,217,6
195,196,192,Pat Perez,36.2,362,10
196,197,T193,Tom Hoge,36.22,326,9
197,198,T195,Charl Schwartzel,36.25,145,4
198,T199,T154,Josh Teater,36.33,218,6
199,T199,999,Tyrone Van Aswegen,36.33,109,3
200,T201,197,Daniel Berger,36.4,364,10
201,T201,198,Justin Harding,36.4,182,5
202,203,T199,Jordan Spieth,36.5,438,12
203,204,201,Martin Kaymer,36.63,293,8
204,205,T202,D.A. Points,36.67,110,3
205,206,204,Freddie Jacobson,36.75,147,4
206,207,206,Louis Oosthuizen,36.88,295,8
207,T208,207,Grayson Murray,37.0,185,5
208,T208,205,Alex Noren,37.0,370,10
