,Early_Round_3_Scoring_Average_RANK THIS WEEK,Early_Round_3_Scoring_Average_RANK LAST WEEK,Early_Round_3_Scoring_Average_PLAYER NAME,Early_Round_3_Scoring_Average_AVG,Early_Round_3_Scoring_Average_TOTAL STROKES,Early_Round_3_Scoring_Average_TOTAL ROUNDS
38,T36,T38,Carlos Ortiz,68.83,413,6
39,T40,T41,Scott Langley,68.86,482,7
40,T40,T41,Ollie Schniederjans,68.86,482,7
41,T40,T41,Webb Simpson,68.86,482,7
42,T43,T44,Chesson Hadley,69.0,276,4
43,T43,T44,John Huh,69.0,207,3
44,T43,17,Martin Laird,69.0,414,6
45,T43,T57,Danny Lee,69.0,552,8
46,T43,T44,Keith Mitchell,69.0,345,5
47,T43,T59,Roger Sloan,69.0,276,4
48,T43,T44,J.J. Spaun,69.0,759,11
49,T43,T44,Robert Streb,69.0,276,4
50,T43,T44,D.J. Trahan,69.0,138,2
51,T43,T25,Harold Varner III,69.0,483,7
52,T53,T50,Cameron Davis,69.14,484,7
53,T53,T50,Chez Reavie,69.14,484,7
54,55,52,Luke List,69.17,415,6
55,T56,T53,Matt Kuchar,69.2,346,5
56,T56,T53,Patrick Reed,69.2,346,5
57,T56,T53,Jhonattan Vegas,69.2,346,5
58,59,T62,Joaquin Niemann,69.27,762,11
59,60,T57,Bill Haas,69.29,485,7
60,61,T59,Chase Wright,69.33,208,3
61,62,61,Russell Knox,69.38,555,8
62,63,64,Adam Schenk,69.43,486,7
63,T64,T65,Bronson Burgoon,69.5,139,2
64,T64,T65,Tiger Woods,69.5,278,4
65,66,T67,Rory Sabbatini,69.57,487,7
66,67,69,Denny McCarthy,69.63,557,8
67,T68,T70,Kyle Jones,69.67,209,3
68,T68,T70,Nate Lashley,69.67,209,3
69,T68,T70,Andrew Putnam,69.67,209,3
70,T68,T70,Seth Reeves,69.67,209,3
71,T68,T70,Nick Watney,69.67,627,9
72,T73,T75,Stewart Cink,69.75,279,4
73,T73,T75,Bryson DeChambeau,69.75,279,4
74,T73,T75,J.B. Holmes,69.75,279,4
75,T76,T78,Ben Crane,69.83,419,6
76,T76,T78,Julián Etulain,69.83,419,6
77,T76,T78,Justin Thomas,69.83,419,6
78,T79,T81,Ryan Armour,69.86,489,7
79,T79,T81,Scott Brown,69.86,489,7
80,T79,T81,Vaughn Taylor,69.86,489,7
81,T79,T85,Cameron Tringale,69.86,489,7
82,83,T67,Ryan Palmer,69.88,559,8
83,T84,T85,Sangmoon Bae,70.0,280,4
84,T84,T85,Rafa Cabrera Bello,70.0,560,8
85,T84,T85,Harris English,70.0,840,12
86,T84,T85,Rickie Fowler,70.0,350,5
87,T84,T85,Dylan Frittelli,70.0,350,5
88,T84,T85,Matt Jones,70.0,280,4
89,T84,T85,Louis Oosthuizen,70.0,280,4
90,T84,T85,Alex Prugh,70.0,210,3
91,T84,T85,Jon Rahm,70.0,140,2
92,T84,T85,Brady Schnell,70.0,280,4
93,T84,T85,Brandt Snedeker,70.0,560,8
94,T84,T85,Henrik Stenson,70.0,280,4
95,T84,T85,Sepp Straka,70.0,210,3
96,T84,56,Bubba Watson,70.0,350,5
97,T98,100,Kevin Streelman,70.13,561,8
98,T98,T121,Peter Uihlein,70.13,561,8
99,T100,T101,Jonas Blixt,70.14,491,7
100,T100,T101,Fabián Gómez,70.14,491,7
101,T100,T101,Peter Malnati,70.14,491,7
102,103,104,Kyle Stanley,70.17,421,6
103,104,105,James Hahn,70.2,351,5
104,105,84,Brian Gay,70.22,632,9
105,T106,T106,Freddie Jacobson,70.25,281,4
106,T106,T106,C.T. Pan,70.25,562,8
107,T106,T106,Johnson Wagner,70.25,281,4
108,109,109,Adam Hadwin,70.3,703,10
109,T110,T110,Tommy Fleetwood,70.33,211,3
110,T110,T110,Tyrrell Hatton,70.33,422,6
111,T110,T110,Grayson Murray,70.33,211,3
112,T113,T113,Sam Burns,70.38,563,8
113,T113,T113,J.T. Poston,70.38,563,8
114,115,115,Adam Long,70.4,352,5
115,T116,T116,Emiliano Grillo,70.5,423,6
116,T116,T116,Justin Harding,70.5,282,4
117,T116,T116,Mackenzie Hughes,70.5,423,6
118,T116,T116,Pat Perez,70.5,282,4
119,T116,T116,Sam Saunders,70.5,282,4
120,T121,T121,Joel Dahmen,70.57,494,7
121,T121,T121,Hank Lebioda,70.57,494,7
122,T121,T121,Cameron Smith,70.57,494,7
123,T121,T121,Brendan Steele,70.57,494,7
124,125,126,Aaron Baddeley,70.6,353,5
125,126,T85,Josh Teater,70.67,212,3
126,127,127,Branden Grace,70.71,495,7
127,T128,T128,Ryan Blaum,70.75,283,4
128,T128,T128,Ernie Els,70.75,283,4
129,T128,T128,Stephan Jaeger,70.75,283,4
130,T128,T172,Dustin Johnson,70.75,283,4
131,T132,T135,Zach Johnson,70.8,354,5
132,T132,T131,Marc Leishman,70.8,354,5
133,T132,T131,Chris Stroud,70.8,354,5
134,135,133,Nick Taylor,70.88,567,8
135,136,134,Brandon Harkins,70.9,709,10
136,T137,T135,Alex Cejka,71.0,213,3
137,T137,T135,Hunter Mahan,71.0,497,7
138,T137,T135,Ryan Moore,71.0,497,7
139,T137,T195,Rod Pampling,71.0,142,2
140,T137,T135,Seamus Power,71.0,426,6
141,T137,T135,Patrick Rodgers,71.0,355,5
142,T137,T135,José de Jesús Rodríguez,71.0,497,7
143,T137,T135,Charl Schwartzel,71.0,213,3
144,T137,T135,Richy Werenski,71.0,426,6
145,T137,T135,Danny Willett,71.0,284,4
146,147,146,Sam Ryder,71.13,569,8
147,T148,T147,Matthew Fitzpatrick,71.17,427,6
148,T148,T147,Kyoung-Hoon Lee,71.17,427,6
149,T148,T149,Jimmy Walker,71.17,427,6
150,T151,T149,Russell Henley,71.2,356,5
151,T151,T149,Haotong Li,71.2,356,5
152,T151,T149,Gary Woodland,71.2,356,5
153,154,153,Brian Stuard,71.22,641,9
154,155,T135,Alex Noren,71.25,570,8
155,T156,T154,Byeong Hun An,71.29,499,7
156,T156,T154,Keegan Bradley,71.29,499,7
157,T158,T156,Jason Dufner,71.33,428,6
158,T158,T156,Billy Horschel,71.33,428,6
159,T158,T156,Matt Wallace,71.33,214,3
160,161,T159,Adam Svensson,71.4,357,5
161,162,T180,Wes Roach,71.43,500,7
162,T163,T159,Cody Gribble,71.5,429,6
163,T163,T161,Brooks Koepka,71.5,286,4
164,T163,T161,Phil Mickelson,71.5,143,2
165,T163,T178,Sebastián Muñoz,71.5,429,6
166,T163,999,Martin Piller,71.5,143,2
167,T163,T161,Adam Scott,71.5,143,2
168,T169,T165,Abraham Ancer,71.57,501,7
169,T169,T165,Sung Kang,71.57,501,7
170,T169,T165,Scott Stallings,71.57,501,7
171,T172,T168,J.J. Henry,71.6,358,5
172,T172,T175,Jim Knous,71.6,358,5
173,T172,T168,Kevin Na,71.6,358,5
174,T172,T168,Ben Silverman,71.6,358,5
175,176,171,Beau Hossler,71.63,573,8
176,T177,T172,Martin Kaymer,71.67,215,3
177,T177,T172,Francesco Molinari,71.67,215,3
178,179,T175,Roberto Díaz,71.75,287,4
179,180,177,Graeme McDowell,71.78,646,9
180,181,T178,Cameron Champ,71.8,359,5
181,182,T180,Kevin Kisner,71.83,431,6
182,T183,T182,Whee Kim,72.0,360,5
183,T183,T182,"Ted Potter, Jr.",72.0,648,9
184,T183,T182,Ian Poulter,72.0,72,1
185,T183,T182,John Senden,72.0,288,4
186,T183,T161,Kevin Tway,72.0,360,5
187,188,187,Patton Kizzire,72.14,505,7
188,189,188,Wyndham Clark,72.33,434,6
189,T190,T190,Jim Herman,72.5,145,2
190,T190,T190,Max Homa,72.5,580,8
191,T190,T190,D.A. Points,72.5,290,4
192,193,193,Trey Mullinax,72.57,508,7
193,194,194,Satoshi Kodaira,72.6,363,5
194,195,189,Tyler Duncan,72.67,436,6
195,T196,T195,Andrew Landry,73.0,438,6
196,T196,T195,Hudson Swafford,73.0,219,3
197,T196,T195,Martin Trainer,73.0,219,3
198,T196,999,Tyrone Van Aswegen,73.0,292,4
199,200,199,John Chin,73.2,366,5
200,T201,T182,Kelly Kraft,73.33,220,3
201,T201,200,Curtis Luck,73.33,220,3
202,203,201,Jordan Spieth,73.67,221,3
203,204,202,Justin Rose,74.0,74,1
204,205,203,Brian Harman,74.2,371,5
205,206,204,Chris Thompson,74.5,149,2
206,207,205,Anirban Lahiri,75.0,375,5
207,208,206,Michael Kim,76.5,153,2
