,Par_3_Scoring_Average_RANK THIS WEEK,Par_3_Scoring_Average_RANK LAST WEEK,Par_3_Scoring_Average_PLAYER NAME,Par_3_Scoring_Average_ROUNDS,Par_3_Scoring_Average_AVG,Par_3_Scoring_Average_TOTAL STROKES,Par_3_Scoring_Average_TOTAL HOLES
130,T116,T121,Adam Scott,41,3.07,482,157
131,T116,T121,Robert Streb,60,3.07,693,226
132,T116,T121,Kevin Streelman,63,3.07,759,247
133,T116,T139,Cameron Tringale,52,3.07,599,195
134,T116,T100,Peter Uihlein,65,3.07,787,256
135,T116,T121,Jhonattan Vegas,60,3.07,712,232
136,T137,T152,Daniel Berger,48,3.08,592,192
137,T137,T121,Dylan Frittelli,55,3.08,668,217
138,T137,T121,Sergio Garcia,39,3.08,382,124
139,T137,T139,Matt Jones,67,3.08,792,257
140,T137,T139,Chris Kirk,47,3.08,560,182
141,T137,T139,C.T. Pan,64,3.08,776,252
142,T137,T139,J.T. Poston,76,3.08,893,290
143,T137,T139,Ian Poulter,49,3.08,505,164
144,T137,T139,Sam Ryder,52,3.08,646,210
145,T137,T121,Brady Schnell,38,3.08,471,153
146,T137,T139,Scott Stallings,63,3.08,742,241
147,T137,T152,Henrik Stenson,46,3.08,481,156
148,T137,999,Tyrone Van Aswegen,30,3.08,373,121
149,T150,T152,Kiradech Aphibarnrat,49,3.09,568,184
150,T150,T152,Paul Casey,51,3.09,584,189
151,T150,T152,Branden Grace,62,3.09,676,219
152,T150,T139,Brandon Harkins,67,3.09,794,257
153,T150,T121,Nate Lashley,44,3.09,522,169
154,T150,T152,Keith Mitchell,64,3.09,757,245
155,T150,T139,Trey Mullinax,67,3.09,793,257
156,T150,T139,Joaquin Niemann,68,3.09,829,268
157,T150,999,Martin Piller,30,3.09,374,121
158,T150,T152,Brandt Snedeker,68,3.09,807,261
159,T150,T152,J.J. Spaun,68,3.09,793,257
160,T150,T139,Nick Taylor,70,3.09,830,269
161,T162,T171,Sangmoon Bae,42,3.1,506,163
162,T162,T162,Scott Brown,66,3.1,778,251
163,T162,T162,Sam Burns,66,3.1,807,260
164,T162,T171,Wyndham Clark,61,3.1,748,241
165,T162,T179,Joey Garber,44,3.1,505,163
166,T162,T162,Brian Gay,79,3.1,946,305
167,T162,T152,Brooks Koepka,49,3.1,508,164
168,T162,T162,Curtis Luck,51,3.1,598,193
169,T162,T162,Louis Oosthuizen,43,3.1,459,148
170,T162,T171,Carlos Ortiz,60,3.1,726,234
171,T162,T162,Kyle Stanley,53,3.1,595,192
172,T162,T162,Sepp Straka,48,3.1,586,189
173,T162,T152,Danny Willett,47,3.1,595,192
174,T175,T186,John Chin,38,3.11,476,153
175,T175,T171,Matthew Fitzpatrick,42,3.11,489,157
176,T175,T162,Kramer Hickok,59,3.11,749,241
177,T175,T171,Kyle Jones,49,3.11,594,191
178,T175,T171,Haotong Li,32,3.11,348,112
179,T175,T171,Adam Long,52,3.11,649,209
180,T175,T179,Seamus Power,58,3.11,679,218
181,T175,T196,Bubba Watson,47,3.11,498,160
182,T183,T179,Chesson Hadley,58,3.12,714,229
183,T183,T192,David Hearn,41,3.12,471,151
184,T183,T186,J.J. Henry,42,3.12,478,153
185,T183,T162,Jim Knous,55,3.12,645,207
186,T183,T171,Alex Noren,49,3.12,574,184
187,T183,T179,Charl Schwartzel,34,3.12,406,130
188,T183,T179,John Senden,39,3.12,471,151
189,T190,T186,Byeong Hun An,54,3.13,638,204
190,T190,T186,Cody Gribble,52,3.13,611,195
191,T190,T179,Bill Haas,58,3.13,689,220
192,T190,T186,Brian Harman,67,3.13,821,262
193,T190,T186,Grayson Murray,36,3.13,460,147
194,T190,T192,Seth Reeves,52,3.13,636,203
195,T190,T179,Roger Sloan,62,3.13,792,253
196,T197,T192,Hunter Mahan,45,3.14,575,183
197,T197,T198,Rod Pampling,40,3.14,486,155
198,T197,T192,Alex Prugh,54,3.14,638,203
199,200,T196,Brendan Steele,50,3.15,611,194
200,T201,T198,Harris English,72,3.16,898,284
201,T201,T198,Luke List,52,3.16,619,196
202,T201,T198,"Ted Potter, Jr.",56,3.16,679,215
203,T201,T204,Chris Thompson,34,3.16,433,137
204,T201,T198,Matt Wallace,31,3.16,354,112
205,T206,T204,Satoshi Kodaira,51,3.17,609,192
206,T206,T198,Martin Trainer,51,3.17,656,207
207,208,206,Rafa Cabrera Bello,57,3.18,702,221
208,209,207,Lucas Bjerregaard,37,3.21,385,120
