,Par_4_Performance_RANK THIS WEEK,Par_4_Performance_RANK LAST WEEK,Par_4_Performance_PLAYER NAME,Par_4_Performance_ROUNDS,Par_4_Performance_STATUS,Par_4_Performance_PAR 4 AVG,Par_4_Performance_TOTAL PAR
53,T52,T49,Cameron Smith,55,+6,4.01,2136
54,T52,T31,Johnson Wagner,45,+6,4.01,1828
55,T56,T63,J.B. Holmes,54,+7,4.01,1960
56,T56,T55,Russell Knox,65,+7,4.01,2468
57,T56,T55,Patrick Reed,53,+7,4.01,2020
58,T56,T63,Nick Taylor,70,+7,4.01,2804
59,T56,T55,Jhonattan Vegas,60,+7,4.01,2472
60,T61,T60,Byeong Hun An,54,+8,4.01,2172
61,T61,T46,Matt Every,38,+8,4.02,1452
62,T61,T124,Brandt Snedeker,68,+8,4.01,2756
63,T61,T49,J.J. Spaun,68,+8,4.01,2732
64,T61,T60,Michael Thompson,56,+8,4.01,2388
65,T66,T63,Stewart Cink,33,+9,4.03,1400
66,T66,T63,Keith Mitchell,64,+9,4.01,2604
67,T66,T77,Joaquin Niemann,68,+9,4.01,2832
68,T66,T63,Andrew Putnam,57,+9,4.02,2212
69,T66,T97,Henrik Stenson,46,+9,4.02,1616
70,T66,T63,Vaughn Taylor,69,+9,4.01,2844
71,T72,T71,Ernie Els,43,+10,4.02,1748
72,T72,T71,James Hahn,34,+10,4.03,1420
73,T72,T71,Francesco Molinari,41,+10,4.03,1464
74,T75,T84,Scott Brown,66,+11,4.02,2676
75,T75,T74,Rory Sabbatini,71,+11,4.02,2836
76,T75,T74,Matt Wallace,31,+11,4.04,1208
77,T78,T77,Kyoung-Hoon Lee,72,+12,4.02,2884
78,T78,T84,Peter Malnati,64,+12,4.02,2576
79,T78,T77,Ian Poulter,49,+12,4.03,1808
80,T78,T63,Shawn Stefani,57,+12,4.02,2240
81,T82,T74,Roberto Castro,54,+13,4.02,2116
82,T82,T81,Hunter Mahan,45,+13,4.03,1868
83,T82,T97,José de Jesús Rodríguez,51,+13,4.02,2164
84,T82,T84,Josh Teater,47,+13,4.03,1924
85,T86,T84,Daniel Berger,48,+14,4.03,2104
86,T86,T84,Bryson DeChambeau,45,+14,4.03,1816
87,T86,T84,Tony Finau,61,+14,4.02,2388
88,T86,T84,Matt Jones,67,+14,4.02,2652
89,T86,T81,Curtis Luck,51,+14,4.03,1948
90,T86,T107,Adam Schenk,80,+14,4.02,3308
91,T92,T81,Wyndham Clark,61,+15,4.02,2500
92,T92,T84,Dylan Frittelli,55,+15,4.03,2244
93,T92,T77,Martin Laird,60,+15,4.03,2388
94,T92,999,Shane Lowry,30,+15,4.05,1092
95,T92,T97,Sebastián Muñoz,58,+15,4.03,2396
96,T92,T92,J.T. Poston,76,+15,4.02,3080
97,T92,T117,Peter Uihlein,65,+15,4.02,2668
98,T99,T97,Kiradech Aphibarnrat,49,+16,4.03,1960
99,T99,T117,Joey Garber,44,+16,4.04,1692
100,T99,T92,Sergio Garcia,39,+16,4.05,1296
101,T99,T92,Brice Garnett,63,+16,4.02,2620
102,T99,T97,Justin Harding,31,+16,4.06,1016
103,T99,T107,Denny McCarthy,63,+16,4.03,2512
104,T99,T97,Jordan Spieth,57,+16,4.03,2324
105,T106,T103,Bud Cauley,61,+17,4.03,2608
106,T106,T112,Ben Crane,41,+17,4.04,1760
107,T108,T107,Luke List,52,+18,4.03,2096
108,T108,999,Martin Piller,30,+18,4.06,1252
109,T110,T92,Cameron Davis,54,+19,4.03,2196
110,T110,T112,Billy Horschel,73,+19,4.03,2816
111,T110,T112,Sepp Straka,48,+19,4.04,1916
112,T110,T92,Aaron Wise,52,+19,4.04,2112
113,T114,T103,Keegan Bradley,65,+20,4.03,2480
114,T114,T112,Corey Conners,62,+20,4.03,2476
115,T114,T117,Chesson Hadley,58,+20,4.03,2356
116,T114,T117,Haotong Li,32,+20,4.07,1168
117,T114,T117,Kevin Na,54,+20,4.04,2096
118,T114,T103,Carlos Ortiz,60,+20,4.03,2472
119,T114,T126,Chris Thompson,34,+20,4.06,1428
120,T121,130,Austin Cook,50,+21,4.04,1948
121,T121,T117,Fabián Gómez,44,+21,4.05,1860
122,T121,T124,Pat Perez,52,+21,4.04,2116
123,T121,T112,Brady Schnell,38,+21,4.05,1604
124,T121,T63,Bubba Watson,47,+21,4.05,1712
125,T126,T126,Joel Dahmen,78,+22,4.03,3144
126,T126,T103,J.J. Henry,42,+22,4.05,1628
127,T126,T136,Hank Lebioda,55,+22,4.04,2164
128,T126,T126,Ryan Moore,54,+22,4.04,2248
129,T126,T126,Patrick Rodgers,44,+22,4.05,1868
130,T131,T107,Brian Gay,79,+23,4.03,3236
131,T131,T131,Jim Knous,55,+23,4.04,2156
132,T131,999,Tyrone Van Aswegen,30,+23,4.07,1268
133,T134,T131,Tyrrell Hatton,46,+24,4.05,1776
134,T134,T131,Patton Kizzire,58,+24,4.04,2400
135,T136,T117,Kramer Hickok,59,+25,4.04,2508
136,T136,T139,Sam Saunders,53,+25,4.04,2240
137,T136,T139,Adam Svensson,51,+25,4.05,2068
138,T136,T131,Kevin Tway,62,+25,4.04,2504
139,T140,T136,Roberto Díaz,51,+26,4.05,1964
140,T140,T139,John Huh,35,+26,4.07,1492
141,142,T143,Chris Kirk,47,+27,4.06,1904
142,T143,145,John Senden,39,+28,4.07,1516
143,T143,T148,Roger Sloan,62,+28,4.04,2656
144,T143,T136,Richy Werenski,63,+28,4.04,2604
145,T143,T131,Chase Wright,53,+28,4.05,2200
146,T147,T107,Julián Etulain,55,+29,4.05,2140
147,T147,T146,Charley Hoffman,58,+29,4.05,2252
148,T147,T148,Ben Silverman,54,+29,4.05,2316
149,T147,T148,Robert Streb,60,+29,4.05,2376
150,T147,T139,Chris Stroud,54,+29,4.06,2096
151,T152,T148,Cameron Champ,58,+30,4.05,2436
152,T152,T158,Zach Johnson,50,+30,4.05,2184
153,T152,T146,Trey Mullinax,67,+30,4.04,2700
154,T155,T152,Emiliano Grillo,65,+31,4.05,2656
155,T155,172,Mackenzie Hughes,58,+31,4.05,2316
156,T155,T152,Anirban Lahiri,54,+31,4.06,2136
157,T158,T158,Sangmoon Bae,42,+32,4.08,1700
158,T158,T155,Matthew Fitzpatrick,42,+32,4.08,1652
159,T158,T174,Adam Hadwin,66,+32,4.05,2644
160,T158,T155,Beau Hossler,66,+32,4.05,2788
161,T158,T158,Nick Watney,67,+32,4.05,2668
162,T163,T158,Bronson Burgoon,37,+33,4.08,1592
163,T163,T143,John Chin,38,+33,4.08,1588
164,T163,T158,Sung Kang,67,+33,4.05,2756
165,T163,T158,Andrew Landry,56,+33,4.06,2200
166,T163,T158,Brendan Steele,50,+33,4.07,1984
167,168,T182,Danny Willett,47,+34,4.07,1976
168,T169,T155,Anders Albertson,48,+35,4.07,1956
169,T169,T165,Sam Burns,66,+35,4.05,2736
170,T169,T165,Jason Dufner,56,+35,4.06,2320
171,T169,T165,Jim Herman,37,+35,4.09,1584
172,T169,T165,Max Homa,61,+35,4.06,2532
173,T169,T165,Charl Schwartzel,34,+35,4.11,1324
174,175,173,Wes Roach,45,+36,4.08,1832
175,176,T165,Brian Harman,67,+37,4.05,2808
176,T177,T182,Danny Lee,66,+38,4.05,2784
177,T177,T174,Adam Long,52,+38,4.07,2220
178,179,T165,Scott Stallings,63,+39,4.06,2444
179,T180,T176,Lucas Bjerregaard,37,+40,4.12,1304
180,T180,T176,Tyler Duncan,66,+40,4.06,2732
181,T180,T182,Kyle Jones,49,+40,4.08,1996
182,T183,T182,Brandon Harkins,67,+41,4.06,2676
183,T183,T180,Grayson Murray,36,+41,4.11,1496
184,T185,T182,Tom Hoge,70,+42,4.06,2812
185,T185,T180,Alex Noren,49,+42,4.08,1984
186,T185,179,Rod Pampling,40,+42,4.1,1620
187,T185,T182,Kyle Stanley,53,+42,4.08,2032
188,189,189,Bill Haas,58,+44,4.08,2308
189,T190,190,Alex Cejka,41,+45,4.12,1532
190,T190,T182,Scott Langley,60,+45,4.07,2492
191,T190,T191,Hudson Swafford,59,+45,4.07,2456
192,T190,T191,Jimmy Walker,61,+45,4.07,2636
193,194,T176,Seth Reeves,52,+46,4.09,2124
194,T195,T193,Ryan Blaum,67,+47,4.07,2672
195,T195,T193,"Ted Potter, Jr.",56,+47,4.08,2300
196,197,T198,Stephan Jaeger,59,+48,4.08,2356
197,198,195,Ollie Schniederjans,63,+50,4.08,2604
198,T199,197,Branden Grace,62,+51,4.09,2268
199,T199,T198,Martin Trainer,51,+51,4.1,2136
200,201,196,Whee Kim,57,+52,4.09,2256
201,202,200,Freddie Jacobson,37,+55,4.15,1492
202,203,201,Martin Kaymer,38,+57,4.14,1632
203,204,202,Seamus Power,58,+61,4.11,2308
204,205,204,D.A. Points,33,+62,4.18,1372
205,206,205,Satoshi Kodaira,51,+63,4.12,2040
206,207,203,Kelly Kraft,67,+66,4.1,2700
207,208,206,Michael Kim,51,+76,4.15,2060
208,209,207,Cody Gribble,52,+80,4.16,2060
