,First_Tee_Early_Round_2_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Round_2_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Round_2_Scoring_Average_PLAYER NAME,First_Tee_Early_Round_2_Scoring_Average_AVG,First_Tee_Early_Round_2_Scoring_Average_TOTAL STROKES,First_Tee_Early_Round_2_Scoring_Average_TOTAL ROUNDS
57,T58,58,Corey Conners,69.83,419,6
58,T58,82,Austin Cook,69.83,419,6
59,T60,T28,John Chin,70.0,140,2
60,T60,T59,Dylan Frittelli,70.0,210,3
61,T60,T59,Fabián Gómez,70.0,280,4
62,T60,T59,Freddie Jacobson,70.0,280,4
63,T60,T59,Stephan Jaeger,70.0,280,4
64,T60,T59,Chris Kirk,70.0,420,6
65,T60,T59,Kevin Kisner,70.0,280,4
66,T60,T59,Louis Oosthuizen,70.0,70,1
67,T60,T59,J.T. Poston,70.0,490,7
68,T60,T59,Ian Poulter,70.0,140,2
69,T60,T59,Seth Reeves,70.0,280,4
70,T60,T59,Kevin Tway,70.0,420,6
71,T60,T59,Danny Willett,70.0,420,6
72,T60,T59,Aaron Wise,70.0,210,3
73,T60,T59,Gary Woodland,70.0,140,2
74,75,T75,Ryan Armour,70.11,631,9
75,76,74,Bronson Burgoon,70.2,351,5
76,77,T99,Tom Hoge,70.22,632,9
77,T78,T75,Daniel Berger,70.25,281,4
78,T78,73,Cameron Davis,70.25,562,8
79,T78,T75,Emiliano Grillo,70.25,281,4
80,T78,T75,Patrick Rodgers,70.25,281,4
81,82,79,Keegan Bradley,70.29,492,7
82,T83,93,Brice Garnett,70.33,633,9
83,T83,T80,Wes Roach,70.33,211,3
84,T83,T80,J.J. Spaun,70.33,211,3
85,86,T47,Russell Henley,70.4,352,5
86,T87,T94,Kramer Hickok,70.43,493,7
87,T87,T107,Hank Lebioda,70.43,493,7
88,T89,T84,Scott Brown,70.5,282,4
89,T89,T84,Brooks Koepka,70.5,141,2
90,T89,T84,Hideki Matsuyama,70.5,141,2
91,T89,T84,Keith Mitchell,70.5,282,4
92,T89,T84,Brandt Snedeker,70.5,141,2
93,94,89,Kevin Na,70.57,494,7
94,T95,T90,Patton Kizzire,70.6,353,5
95,T95,T90,Ben Silverman,70.6,353,5
96,T95,T90,Scott Stallings,70.6,706,10
97,T98,T94,Rafa Cabrera Bello,70.67,212,3
98,T98,T94,Nate Lashley,70.67,212,3
99,T98,T94,Charl Schwartzel,70.67,212,3
100,T101,98,Adam Hadwin,70.71,495,7
101,T101,T107,Robert Streb,70.71,495,7
102,T103,T99,Abraham Ancer,70.75,283,4
103,T103,T99,Mackenzie Hughes,70.75,283,4
104,T103,T99,Anirban Lahiri,70.75,283,4
105,T103,T99,Andrew Landry,70.75,283,4
106,T103,T99,Chez Reavie,70.75,283,4
107,T103,T99,Kevin Streelman,70.75,566,8
108,T103,83,Chase Wright,70.75,566,8
109,110,106,Adam Schenk,70.8,354,5
110,T111,T107,Ben Crane,71.0,142,2
111,T111,T107,Joel Dahmen,71.0,568,8
112,T111,T107,James Hahn,71.0,213,3
113,T111,T107,David Hearn,71.0,284,4
114,T111,T107,Peter Malnati,71.0,213,3
115,T111,T107,Phil Mickelson,71.0,142,2
116,T111,T107,Francesco Molinari,71.0,213,3
117,T111,T107,Sebastián Muñoz,71.0,142,2
118,T111,T107,John Senden,71.0,213,3
119,T111,T107,Shawn Stefani,71.0,71,1
120,T111,T168,Chris Thompson,71.0,284,4
121,T111,T142,D.J. Trahan,71.0,284,4
122,T111,999,Tyrone Van Aswegen,71.0,284,4
123,124,119,Si Woo Kim,71.2,356,5
124,T125,T120,Kiradech Aphibarnrat,71.33,214,3
125,T125,T120,Hunter Mahan,71.33,214,3
126,T127,122,Dominic Bozzelli,71.4,357,5
127,T127,T160,Zach Johnson,71.4,357,5
128,T129,T123,Branden Grace,71.5,429,6
129,T129,T129,Peter Uihlein,71.5,429,6
130,T129,T123,Harold Varner III,71.5,286,4
131,T132,T125,Anders Albertson,71.57,501,7
132,T132,T125,Sam Burns,71.57,501,7
133,T132,T125,Bud Cauley,71.57,501,7
134,T132,T125,Ollie Schniederjans,71.57,501,7
135,T136,T129,J.J. Henry,71.6,358,5
136,T136,T129,Adam Long,71.6,358,5
137,T136,T129,C.T. Pan,71.6,358,5
138,T139,T133,Martin Kaymer,71.67,215,3
139,T139,T133,Matt Kuchar,71.67,215,3
140,T141,T136,Paul Casey,71.8,359,5
141,T141,T136,Roberto Díaz,71.8,359,5
142,T141,T171,Cody Gribble,71.8,359,5
143,T141,T136,Ryan Palmer,71.8,359,5
144,T141,T136,"Ted Potter, Jr.",71.8,359,5
145,T141,T136,Andrew Putnam,71.8,359,5
146,147,141,Trey Mullinax,71.86,503,7
147,T148,T142,Matthew Fitzpatrick,72.0,360,5
148,T148,T142,Max Homa,72.0,288,4
149,T148,T142,John Huh,72.0,288,4
150,T148,T142,Russell Knox,72.0,432,6
151,T148,T142,Joaquin Niemann,72.0,432,6
152,T148,T142,Scott Piercy,72.0,216,3
153,T148,T142,Rory Sabbatini,72.0,216,3
154,T148,T142,Brady Schnell,72.0,72,1
155,T148,T142,Kyle Stanley,72.0,360,5
156,T148,T142,Sepp Straka,72.0,144,2
157,T148,T142,Adam Svensson,72.0,144,2
158,159,154,Jimmy Walker,72.13,577,8
159,160,155,Matt Jones,72.25,289,4
160,161,156,Ryan Moore,72.29,506,7
161,162,157,Danny Lee,72.33,217,3
162,163,158,Seamus Power,72.4,362,5
163,164,159,D.A. Points,72.43,507,7
164,T165,190,Alex Cejka,72.5,290,4
165,T165,T160,Talor Gooch,72.5,145,2
166,T165,T160,Justin Harding,72.5,145,2
167,T165,T160,Satoshi Kodaira,72.5,435,6
168,T165,T160,Cameron Smith,72.5,290,4
169,T170,T165,Chesson Hadley,72.6,363,5
170,T170,T165,Brian Harman,72.6,363,5
171,T170,T165,Carlos Ortiz,72.6,363,5
172,173,176,Kyle Jones,72.63,581,8
173,T174,T168,Tyrrell Hatton,72.67,218,3
174,T174,T168,José de Jesús Rodríguez,72.67,218,3
175,T176,T171,Jim Herman,72.75,291,4
176,T176,T171,Billy Horschel,72.75,291,4
177,T178,T174,Chris Stroud,72.8,364,5
178,T178,T174,Hudson Swafford,72.8,364,5
179,180,T185,Roberto Castro,72.83,437,6
180,T181,T177,Lucas Bjerregaard,73.0,146,2
181,T181,T177,Charley Hoffman,73.0,219,3
182,T181,T177,Marc Leishman,73.0,73,1
183,T181,T177,Haotong Li,73.0,146,2
184,T181,T177,Justin Rose,73.0,73,1
185,T181,T177,Josh Teater,73.0,146,2
186,T181,T177,Jhonattan Vegas,73.0,219,3
187,T181,T177,Matt Wallace,73.0,146,2
188,T189,T185,Cameron Champ,73.2,366,5
189,T189,T185,Michael Kim,73.2,366,5
190,T189,T185,Alex Noren,73.2,366,5
191,192,189,Brendan Steele,73.4,367,5
192,193,192,Rod Pampling,73.5,441,6
193,194,191,Jonathan Byrd,74.0,148,2
194,T195,T193,Bryson DeChambeau,75.0,75,1
195,T195,T193,Bill Haas,75.0,225,3
196,T195,999,Shane Lowry,75.0,150,2
197,198,195,Grayson Murray,75.67,227,3
198,199,196,Joey Garber,76.67,230,3
199,200,197,Rory McIlroy,77.0,77,1
