,Bounce_Back_RANK THIS WEEK,Bounce_Back_RANK LAST WEEK,Bounce_Back_PLAYER NAME,Bounce_Back_ROUNDS,Bounce_Back_%
95,T96,T97,Freddie Jacobson,37,20.66
96,T96,T97,Chris Kirk,47,20.66
97,T98,T101,Hideki Matsuyama,59,20.45
98,T98,T101,Andrew Putnam,57,20.45
99,100,T99,Kyle Jones,49,20.44
100,101,108,Jonathan Byrd,43,20.37
101,102,T111,Richy Werenski,63,20.35
102,103,T115,Joaquin Niemann,68,20.34
103,104,85,Chase Wright,53,20.29
104,105,107,Max Homa,61,20.25
105,106,109,Grayson Murray,36,20.16
106,T107,131,Robert Streb,60,20.14
107,T107,T99,Danny Willett,47,20.14
108,109,106,Tyler Duncan,66,20.11
109,T110,T111,Bronson Burgoon,37,20.0
110,T110,136,Cody Gribble,52,20.0
111,112,T115,Vaughn Taylor,69,19.88
112,113,T111,Ben Silverman,54,19.87
113,T114,T87,Julián Etulain,55,19.86
114,T114,137,Graeme McDowell,61,19.86
115,116,120,Rickie Fowler,54,19.85
116,117,T104,Bubba Watson,47,19.81
117,118,119,Ryan Armour,66,19.75
118,119,121,Byeong Hun An,54,19.74
119,120,122,Joel Dahmen,78,19.7
120,T121,T160,Lucas Bjerregaard,37,19.61
121,T121,154,Jim Furyk,53,19.61
122,123,103,Austin Cook,50,19.58
123,124,T132,Curtis Luck,51,19.57
124,125,T115,Peter Uihlein,65,19.55
125,126,125,Matt Wallace,31,19.54
126,T127,127,Roberto Díaz,51,19.53
127,T127,126,Kevin Na,54,19.53
128,T129,T115,Trey Mullinax,67,19.39
129,T129,129,Adam Scott,41,19.39
130,131,130,Patrick Reed,53,19.38
131,132,T104,Kelly Kraft,67,19.31
132,133,T132,Brian Stuard,76,19.23
133,134,134,Adam Long,52,19.21
134,135,T111,Shawn Stefani,57,19.15
135,136,T144,Daniel Berger,48,19.12
136,137,138,Jason Dufner,56,19.02
137,138,139,Paul Casey,51,18.97
138,139,T142,Nick Taylor,70,18.75
139,140,T149,Seamus Power,58,18.71
140,141,128,Jim Herman,37,18.64
141,142,135,Scott Stallings,63,18.6
142,143,123,Martin Trainer,51,18.59
143,144,T144,Hunter Mahan,45,18.55
144,T145,162,J.B. Holmes,54,18.52
145,T145,T149,Wes Roach,45,18.52
146,147,146,Tony Finau,61,18.44
147,148,T147,Satoshi Kodaira,51,18.42
148,149,124,Chris Stroud,54,18.31
149,150,151,Anirban Lahiri,54,18.12
150,151,T142,Bill Haas,58,18.06
151,152,152,Patton Kizzire,58,18.01
152,T153,140,Sebastián Muñoz,58,17.95
153,T153,153,C.T. Pan,64,17.95
154,T153,T147,Hudson Swafford,59,17.95
155,156,167,Zach Johnson,50,17.91
156,157,155,Scott Langley,60,17.9
157,T158,156,Tommy Fleetwood,43,17.86
158,T158,157,Denny McCarthy,63,17.86
159,160,158,Russell Henley,56,17.83
160,161,163,Lucas Glover,62,17.65
161,T162,159,Kramer Hickok,59,17.58
162,T162,164,Justin Rose,42,17.58
163,164,141,David Hearn,41,17.53
164,T165,172,Joey Garber,44,17.43
165,T165,166,John Senden,39,17.43
