,Round_3_Scoring_Average_RANK THIS WEEK,Round_3_Scoring_Average_RANK LAST WEEK,Round_3_Scoring_Average_PLAYER NAME,Round_3_Scoring_Average_AVG,Round_3_Scoring_Average_TOTAL STROKES,Round_3_Scoring_Average_TOTAL ROUNDS
113,T111,T123,Mackenzie Hughes,70.4,704,10
114,T115,T112,Byeong Hun An,70.42,845,12
115,T115,T112,Brandon Harkins,70.42,845,12
116,117,T100,Talor Gooch,70.43,493,7
117,T118,T114,Jason Day,70.44,634,9
118,T118,T114,Hunter Mahan,70.44,634,9
119,T118,T114,Patrick Rodgers,70.44,634,9
120,T121,T128,Sangmoon Bae,70.5,423,6
121,T121,106,Brian Gay,70.5,1269,18
122,T121,T117,Ian Poulter,70.5,705,10
123,T121,T117,Hudson Swafford,70.5,705,10
124,T125,136,Joaquin Niemann,70.53,1058,15
125,T125,120,Gary Woodland,70.53,1058,15
126,127,121,Ryan Armour,70.54,917,13
127,128,T123,Tyrrell Hatton,70.56,635,9
128,129,127,Kyle Jones,70.57,494,7
129,130,T132,Sebastián Muñoz,70.58,847,12
130,T131,T128,Bronson Burgoon,70.6,353,5
131,T131,T128,Vaughn Taylor,70.6,1059,15
132,133,131,Martin Kaymer,70.63,565,8
133,T134,T134,J.B. Holmes,70.67,636,9
134,T134,T134,Brian Stuard,70.67,1060,15
135,136,137,Sam Ryder,70.73,778,11
136,T137,T132,Ryan Palmer,70.75,849,12
137,T137,138,Brendan Steele,70.75,566,8
138,T139,T149,Danny Willett,70.78,637,9
139,T139,139,Chase Wright,70.78,637,9
140,141,T164,Rod Pampling,70.8,354,5
141,T142,T140,Branden Grace,70.82,779,11
142,T142,T140,Pat Perez,70.82,779,11
143,144,142,Matt Wallace,70.83,425,6
144,T145,143,Sung Kang,70.86,992,14
145,T145,T147,Graeme McDowell,70.86,992,14
146,T147,144,José de Jesús Rodríguez,70.89,638,9
147,T147,145,Justin Rose,70.89,638,9
148,149,T147,Wyndham Clark,70.92,851,12
149,T150,T149,Freddie Jacobson,71.0,355,5
150,T150,T149,Adam Long,71.0,568,8
151,T150,T149,Kevin Na,71.0,781,11
152,T150,T149,Brady Schnell,71.0,426,6
153,154,156,Jason Dufner,71.09,782,11
154,155,T123,Kelly Kraft,71.1,711,10
155,156,157,Roberto Díaz,71.11,640,9
156,157,158,Ernie Els,71.13,569,8
157,T158,T159,J.J. Henry,71.17,427,6
158,T158,T159,Jordan Spieth,71.17,854,12
159,T160,162,Jim Knous,71.18,783,11
160,T160,146,Kevin Tway,71.18,783,11
161,T162,T149,Alex Noren,71.2,712,10
162,T162,T177,Wes Roach,71.2,712,10
163,164,163,Beau Hossler,71.21,997,14
164,T165,T149,Tyler Duncan,71.25,855,12
165,T165,T164,Seamus Power,71.25,570,8
166,T165,T164,Kyle Stanley,71.25,570,8
167,T165,T164,Adam Svensson,71.25,570,8
168,169,169,Tom Hoge,71.27,784,11
169,T170,T170,David Hearn,71.29,499,7
170,T170,T170,Phil Mickelson,71.29,499,7
171,T170,T159,Josh Teater,71.29,499,7
172,T173,176,Jonas Blixt,71.31,927,13
173,T173,T164,Keegan Bradley,71.31,927,13
174,175,172,Ryan Blaum,71.33,856,12
175,176,173,Scott Stallings,71.36,785,11
176,T177,T174,Matthew Fitzpatrick,71.4,714,10
177,T177,T174,Charl Schwartzel,71.4,357,5
178,179,T177,Tommy Fleetwood,71.44,643,9
179,180,179,Ryan Moore,71.45,786,11
180,T181,T180,Billy Horschel,71.5,1144,16
181,T181,T180,Whee Kim,71.5,572,8
182,T181,T180,Francesco Molinari,71.5,572,8
183,184,T180,Ben Silverman,71.55,787,11
184,T185,T184,Alex Cejka,71.6,358,5
185,T185,T184,Sam Saunders,71.6,716,10
186,187,186,Trey Mullinax,71.62,931,13
187,188,191,Jimmy Walker,71.64,1003,14
188,T189,T187,Max Homa,71.67,860,12
189,T189,T187,Patton Kizzire,71.67,860,12
190,T189,T187,Haotong Li,71.67,430,6
191,192,T187,Cody Gribble,71.71,502,7
192,193,192,Fabián Gómez,71.78,646,9
193,194,T193,John Senden,71.88,575,8
194,195,T193,Sepp Straka,71.89,647,9
195,T196,T195,Lucas Bjerregaard,72.0,432,6
196,T196,199,Chris Thompson,72.0,432,6
197,T196,T195,Martin Trainer,72.0,576,8
198,199,197,"Ted Potter, Jr.",72.09,793,11
199,200,198,Andrew Landry,72.11,649,9
200,201,999,Tyrone Van Aswegen,72.2,361,5
201,202,200,Satoshi Kodaira,72.22,650,9
202,203,201,D.A. Points,72.4,362,5
203,T204,T202,John Chin,72.67,436,6
204,T204,T202,Jim Herman,72.67,218,3
205,206,204,Brian Harman,72.75,873,12
206,T207,T205,Anirban Lahiri,73.0,730,10
207,T207,T205,Curtis Luck,73.0,584,8
208,209,207,Michael Kim,75.0,375,5
