,First_Tee_Early_Round_1_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Round_1_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Round_1_Scoring_Average_PLAYER NAME,First_Tee_Early_Round_1_Scoring_Average_AVG,First_Tee_Early_Round_1_Scoring_Average_TOTAL STROKES,First_Tee_Early_Round_1_Scoring_Average_TOTAL ROUNDS
54,T49,T48,Matt Wallace,69.67,209,3
55,56,999,Martin Piller,69.75,279,4
56,57,55,Aaron Baddeley,69.88,559,8
57,T58,T56,Joel Dahmen,70.0,70,1
58,T58,T56,Bryson DeChambeau,70.0,70,1
59,T58,T56,Tyler Duncan,70.0,140,2
60,T58,T56,Ernie Els,70.0,210,3
61,T58,T56,Rickie Fowler,70.0,70,1
62,T58,T56,James Hahn,70.0,210,3
63,T58,T56,Zach Johnson,70.0,280,4
64,T58,T56,Matt Kuchar,70.0,140,2
65,T58,T78,Trey Mullinax,70.0,280,4
66,T58,T56,Kevin Na,70.0,210,3
67,T58,T56,C.T. Pan,70.0,280,4
68,T58,T56,J.T. Poston,70.0,210,3
69,T58,T56,Alex Prugh,70.0,280,4
70,T58,T56,Sepp Straka,70.0,350,5
71,T58,T56,Adam Svensson,70.0,140,2
72,T58,T56,Johnson Wagner,70.0,280,4
73,T58,T56,Tiger Woods,70.0,140,2
74,75,72,Jhonattan Vegas,70.17,421,6
75,T76,T115,Daniel Berger,70.2,351,5
76,T76,T73,David Hearn,70.2,351,5
77,T76,T73,Charley Hoffman,70.2,351,5
78,T79,T75,Jason Dufner,70.25,562,8
79,T79,T75,Marc Leishman,70.25,281,4
80,81,77,Beau Hossler,70.29,492,7
81,T82,T78,Kiradech Aphibarnrat,70.33,211,3
82,T82,T78,Pat Perez,70.33,211,3
83,T84,82,Tyrrell Hatton,70.4,352,5
84,T84,T134,José de Jesús Rodríguez,70.4,352,5
85,T86,T83,Abraham Ancer,70.5,423,6
86,T86,T83,Lucas Bjerregaard,70.5,141,2
87,T86,T83,Roberto Castro,70.5,423,6
88,T86,T83,Emiliano Grillo,70.5,141,2
89,T86,T83,Bill Haas,70.5,282,4
90,T86,T100,Brian Harman,70.5,564,8
91,T86,T83,Hank Lebioda,70.5,141,2
92,T86,T83,Patrick Reed,70.5,141,2
93,T86,T83,Adam Schenk,70.5,423,6
94,T86,T83,Jordan Spieth,70.5,141,2
95,T86,113,Hudson Swafford,70.5,564,8
96,97,93,Sam Ryder,70.57,494,7
97,T98,94,Harris English,70.6,353,5
98,T98,T102,Nick Watney,70.6,353,5
99,T100,T95,Tom Hoge,70.67,212,3
100,T100,T95,Max Homa,70.67,212,3
101,T100,T95,Anirban Lahiri,70.67,424,6
102,T100,999,Shane Lowry,70.67,212,3
103,T100,T95,Keith Mitchell,70.67,212,3
104,T100,T95,Ryan Palmer,70.67,212,3
105,T106,T102,Brandon Harkins,70.75,283,4
106,T106,T100,Curtis Luck,70.75,566,8
107,T106,T102,Brady Schnell,70.75,283,4
108,T106,T102,Michael Thompson,70.75,283,4
109,T110,T106,Talor Gooch,70.8,354,5
110,T110,T106,Scott Piercy,70.8,708,10
111,T110,T106,Chez Reavie,70.8,354,5
112,T110,T106,Cameron Smith,70.8,354,5
113,T110,T83,Chris Stroud,70.8,354,5
114,T115,T110,Danny Lee,70.83,425,6
115,T115,T110,Carlos Ortiz,70.83,425,6
116,T115,T115,Ollie Schniederjans,70.83,425,6
117,T115,T110,Richy Werenski,70.83,425,6
118,119,114,Kyoung-Hoon Lee,70.88,567,8
119,T120,T115,Ryan Armour,71.0,568,8
120,T120,T115,Sangmoon Bae,71.0,568,8
121,T120,T143,Dominic Bozzelli,71.0,355,5
122,T120,T115,Matthew Fitzpatrick,71.0,71,1
123,T120,T115,Tommy Fleetwood,71.0,71,1
124,T120,T115,Fabián Gómez,71.0,213,3
125,T120,T115,Mackenzie Hughes,71.0,355,5
126,T120,T115,Sungjae Im,71.0,71,1
127,T120,T115,Si Woo Kim,71.0,284,4
128,T120,T115,Scott Langley,71.0,213,3
129,T120,T115,Seamus Power,71.0,213,3
130,T120,T115,Xander Schauffele,71.0,142,2
131,T120,T115,J.J. Spaun,71.0,355,5
132,T120,T115,Kevin Streelman,71.0,142,2
133,T120,T115,Nick Taylor,71.0,213,3
134,T120,T155,Danny Willett,71.0,426,6
135,T136,T131,Corey Conners,71.2,356,5
136,T136,T170,Alex Noren,71.2,356,5
137,T136,T131,Ben Silverman,71.2,356,5
138,T136,T131,Kevin Tway,71.2,356,5
139,140,T134,Robert Streb,71.25,285,4
140,T141,T137,John Chin,71.33,214,3
141,T141,T137,Sung Kang,71.33,428,6
142,T141,T137,Haotong Li,71.33,214,3
143,T144,T140,Troy Merritt,71.4,357,5
144,T144,T140,Brendan Steele,71.4,357,5
145,T146,T143,Rafa Cabrera Bello,71.5,143,2
146,T146,T143,Cameron Champ,71.5,286,4
147,T146,T140,J.B. Holmes,71.5,429,6
148,149,149,Jim Herman,71.56,644,9
149,150,146,Cody Gribble,71.57,501,7
150,T151,T147,Chesson Hadley,71.6,358,5
151,T151,T147,Jason Kokrak,71.6,358,5
152,T151,T134,Seth Reeves,71.6,358,5
153,T154,T150,Hunter Mahan,71.67,215,3
154,T154,T150,Kyle Stanley,71.67,430,6
155,156,T152,Julián Etulain,71.75,287,4
156,157,154,Grayson Murray,71.86,503,7
157,T158,T155,Sam Burns,72.0,576,8
158,T158,T155,Adam Hadwin,72.0,360,5
159,T158,T155,Patton Kizzire,72.0,360,5
160,T158,T155,Peter Malnati,72.0,144,2
161,T158,T155,Louis Oosthuizen,72.0,216,3
162,T158,T155,Webb Simpson,72.0,72,1
163,T158,T155,Roger Sloan,72.0,432,6
164,T158,T155,Henrik Stenson,72.0,144,2
165,T158,T155,Vaughn Taylor,72.0,360,5
166,T167,T166,Charles Howell III,72.17,433,6
167,T167,T166,Rod Pampling,72.17,433,6
168,169,T152,Aaron Wise,72.2,361,5
169,T170,T168,Michael Kim,72.22,650,9
170,T170,T168,Adam Long,72.22,650,9
171,T172,T170,Bronson Burgoon,72.25,289,4
172,T172,T170,Lucas Glover,72.25,289,4
173,T172,T170,Peter Uihlein,72.25,289,4
174,175,174,Billy Horschel,72.33,217,3
175,T176,T175,Brice Garnett,72.38,579,8
176,T176,T175,Kelly Kraft,72.38,579,8
177,T178,177,Chris Kirk,72.4,362,5
178,T178,T155,Shawn Stefani,72.4,362,5
179,T180,178,"Ted Potter, Jr.",72.43,507,7
180,T180,T179,Martin Trainer,72.43,507,7
181,T182,T179,Byeong Hun An,72.5,290,4
182,T182,T183,Brian Gay,72.5,290,4
183,T182,T179,Rory McIlroy,72.5,145,2
184,T182,T179,Sebastián Muñoz,72.5,145,2
185,T186,T183,Cameron Davis,72.67,218,3
186,T186,T183,Matt Every,72.67,218,3
187,188,186,D.A. Points,72.75,291,4
188,T189,T187,Anders Albertson,73.0,73,1
189,T189,T187,Austin Cook,73.0,292,4
190,T189,T187,Sergio Garcia,73.0,73,1
191,T189,T187,Justin Harding,73.0,219,3
192,T189,T187,Patrick Rodgers,73.0,73,1
193,T189,T187,Brandt Snedeker,73.0,219,3
194,195,193,Satoshi Kodaira,73.2,366,5
195,T196,T194,Charl Schwartzel,73.25,293,4
196,T196,T194,Josh Teater,73.25,293,4
197,T198,T196,J.J. Henry,73.5,294,4
198,T198,T196,Kyle Jones,73.5,147,2
199,T198,T196,Hideki Matsuyama,73.5,147,2
200,201,199,Stewart Cink,73.67,221,3
201,T202,T200,Freddie Jacobson,74.0,222,3
202,T202,T200,Joaquin Niemann,74.0,222,3
203,T202,T200,Chris Thompson,74.0,222,3
204,T202,999,Tyrone Van Aswegen,74.0,148,2
205,206,203,Patrick Cantlay,75.0,75,1
