,Tenth_Tee_Late_Round_2_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Round_2_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Round_2_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Round_2_Scoring_Average_AVG,Tenth_Tee_Late_Round_2_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Round_2_Scoring_Average_TOTAL ROUNDS
84,T84,T113,Cameron Tringale,70.6,353,5
85,T86,T82,Tom Hoge,70.67,212,3
86,T86,T82,Jason Kokrak,70.67,424,6
87,T86,T82,Joaquin Niemann,70.67,212,3
88,T86,T82,Charl Schwartzel,70.67,212,3
89,T86,T82,Chris Thompson,70.67,212,3
90,T86,T82,Kevin Tway,70.67,212,3
91,92,88,Ryan Armour,70.71,495,7
92,T93,T89,Jason Dufner,70.75,566,8
93,T93,T89,Joey Garber,70.75,283,4
94,T93,T89,Russell Knox,70.75,566,8
95,T96,T89,Daniel Berger,70.8,354,5
96,T96,94,Harris English,70.8,354,5
97,T98,T95,Anders Albertson,71.0,71,1
98,T98,T95,Rafa Cabrera Bello,71.0,142,2
99,T98,T95,Patrick Cantlay,71.0,71,1
100,T98,T95,Roberto Castro,71.0,426,6
101,T98,T95,Alex Cejka,71.0,142,2
102,T98,T95,John Chin,71.0,213,3
103,T98,T95,J.J. Henry,71.0,355,5
104,T98,T95,Max Homa,71.0,213,3
105,T98,T95,Marc Leishman,71.0,142,2
106,T98,T95,Denny McCarthy,71.0,426,6
107,T98,T95,Kevin Na,71.0,213,3
108,T98,T95,Sam Saunders,71.0,355,5
109,T98,T95,Josh Teater,71.0,284,4
110,T98,T95,D.J. Trahan,71.0,142,2
111,T98,T95,Peter Uihlein,71.0,355,5
112,T98,T95,Tiger Woods,71.0,71,1
113,114,T73,Seth Reeves,71.2,356,5
114,T115,T115,Keegan Bradley,71.25,285,4
115,T115,T113,Jimmy Walker,71.25,285,4
116,T117,T115,Kiradech Aphibarnrat,71.33,214,3
117,T117,T115,Bud Cauley,71.33,214,3
118,T117,T115,Freddie Jacobson,71.33,214,3
119,T117,T115,Chez Reavie,71.33,428,6
120,T117,T115,Jhonattan Vegas,71.33,428,6
121,T117,T115,Gary Woodland,71.33,214,3
122,T123,122,Charley Hoffman,71.4,357,5
123,T123,T123,Ollie Schniederjans,71.4,357,5
124,T125,T123,Cameron Champ,71.5,143,2
125,T125,T123,Danny Lee,71.5,429,6
126,T125,T123,Scott Stallings,71.5,143,2
127,T125,T123,Chase Wright,71.5,143,2
128,T129,130,Sung Kang,71.6,358,5
129,T129,T123,Shawn Stefani,71.6,358,5
130,T131,161,Jim Herman,71.67,645,9
131,T131,T131,Kevin Kisner,71.67,215,3
132,T131,T131,D.A. Points,71.67,215,3
133,T131,T131,Kevin Streelman,71.67,215,3
134,T131,T131,Johnson Wagner,71.67,215,3
135,T136,T136,Charles Howell III,71.75,287,4
136,T136,T136,Zach Johnson,71.75,287,4
137,T136,T136,Satoshi Kodaira,71.75,287,4
138,T136,T136,Nate Lashley,71.75,287,4
139,T136,129,Hudson Swafford,71.75,574,8
140,T136,T136,Richy Werenski,71.75,574,8
141,142,141,Kyle Stanley,71.8,359,5
142,T143,T142,Ryan Blaum,72.0,144,2
143,T143,T142,Tyler Duncan,72.0,144,2
144,T143,T142,Matt Every,72.0,216,3
145,T143,T142,Dylan Frittelli,72.0,144,2
146,T143,T142,Branden Grace,72.0,72,1
147,T143,T142,Cody Gribble,72.0,504,7
148,T143,T142,Russell Henley,72.0,216,3
149,T143,T142,Patton Kizzire,72.0,288,4
150,T143,T142,Matt Kuchar,72.0,72,1
151,T143,T142,Hank Lebioda,72.0,72,1
152,T143,T142,Luke List,72.0,360,5
153,T143,168,Curtis Luck,72.0,576,8
154,T143,T142,Troy Merritt,72.0,288,4
155,T143,T142,Ryan Moore,72.0,216,3
156,T143,T142,"Ted Potter, Jr.",72.0,432,6
157,T143,T142,John Senden,72.0,72,1
158,T143,T142,Brian Stuard,72.0,216,3
159,T143,T142,Adam Svensson,72.0,144,2
160,161,160,Sangmoon Bae,72.11,649,9
161,162,162,Roger Sloan,72.17,433,6
162,163,T185,Ben Crane,72.2,361,5
163,T164,T163,Graeme McDowell,72.25,289,4
164,T164,T163,Alex Prugh,72.25,289,4
165,T164,T131,Chris Stroud,72.25,289,4
166,167,165,Jim Furyk,72.33,217,3
167,168,T180,Danny Willett,72.4,362,5
168,T169,T166,Austin Cook,72.5,290,4
169,T169,T166,Keith Mitchell,72.5,145,2
170,171,169,J.J. Spaun,72.6,363,5
171,T172,T170,Stewart Cink,72.67,218,3
172,T172,T170,Hunter Mahan,72.67,218,3
173,T172,T170,Grayson Murray,72.67,436,6
174,T172,T170,Pat Perez,72.67,218,3
175,T172,999,Martin Piller,72.67,218,3
176,T172,T170,Brady Schnell,72.67,218,3
177,178,183,Nick Watney,72.8,364,5
178,T179,T175,Dustin Johnson,73.0,73,1
179,T179,T175,Adam Long,73.0,584,8
180,T179,999,Tyrone Van Aswegen,73.0,146,2
181,182,177,Tyrrell Hatton,73.2,366,5
182,T183,T178,Corey Conners,73.33,220,3
183,T183,T178,Anirban Lahiri,73.33,440,6
184,T185,T180,John Huh,73.5,147,2
185,T185,999,Shane Lowry,73.5,147,2
186,187,182,Rod Pampling,73.67,442,6
187,188,184,Sepp Straka,73.8,369,5
188,189,T189,Martin Trainer,73.86,517,7
189,190,T185,Martin Laird,74.0,74,1
190,191,187,Byeong Hun An,74.25,297,4
191,192,188,Michael Kim,74.29,520,7
192,193,T189,Chesson Hadley,74.33,223,3
193,T194,T191,Bronson Burgoon,74.5,298,4
194,T194,T191,Jim Knous,74.5,298,4
195,T194,T191,Robert Streb,74.5,298,4
196,197,194,Patrick Rodgers,75.0,75,1
197,198,195,Scott Langley,75.33,226,3
