,First_Tee_Late_Round_2_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Round_2_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Round_2_Scoring_Average_PLAYER NAME,First_Tee_Late_Round_2_Scoring_Average_AVG,First_Tee_Late_Round_2_Scoring_Average_TOTAL STROKES,First_Tee_Late_Round_2_Scoring_Average_TOTAL ROUNDS
57,T57,T56,Max Homa,70.0,560,8
58,T57,T56,Nate Lashley,70.0,140,2
59,T57,T56,Alex Noren,70.0,210,3
60,T57,T56,Sam Saunders,70.0,280,4
61,T57,T56,Martin Trainer,70.0,280,4
62,T57,999,Tyrone Van Aswegen,70.0,210,3
63,T57,T56,Jimmy Walker,70.0,140,2
64,T65,64,Billy Horschel,70.17,421,6
65,T65,79,Josh Teater,70.17,421,6
66,T67,T65,Jason Day,70.2,351,5
67,T67,T65,Adam Scott,70.2,351,5
68,T69,T67,Xander Schauffele,70.25,281,4
69,T69,T67,Scott Stallings,70.25,281,4
70,71,70,Joel Dahmen,70.29,492,7
71,72,T125,Nick Taylor,70.33,422,6
72,73,71,Brian Stuard,70.38,563,8
73,T74,T72,J.T. Poston,70.4,352,5
74,T74,T72,Henrik Stenson,70.4,352,5
75,76,T90,Dylan Frittelli,70.43,493,7
76,T77,T74,Abraham Ancer,70.5,282,4
77,T77,T74,Matthew Fitzpatrick,70.5,141,2
78,T77,T74,Hank Lebioda,70.5,282,4
79,T77,T74,Robert Streb,70.5,282,4
80,T81,80,J.B. Holmes,70.67,212,3
81,T81,T143,Webb Simpson,70.67,424,6
82,83,T93,Martin Laird,70.71,495,7
83,T84,T81,Sam Burns,70.75,283,4
84,T84,T81,Hunter Mahan,70.75,283,4
85,T84,T81,Ryan Palmer,70.75,283,4
86,T84,T81,Ollie Schniederjans,70.75,283,4
87,T84,T81,Brandt Snedeker,70.75,566,8
88,T84,T81,Chris Stroud,70.75,283,4
89,90,110,Sungjae Im,70.78,637,9
90,T91,T87,Kyle Stanley,70.8,354,5
91,T91,T87,Kevin Streelman,70.8,354,5
92,T91,T87,Vaughn Taylor,70.8,354,5
93,T94,T93,Sergio Garcia,70.83,425,6
94,T94,T90,Keith Mitchell,70.83,425,6
95,T94,T90,Jon Rahm,70.83,425,6
96,T97,T93,Aaron Baddeley,71.0,142,2
97,T97,T93,Paul Casey,71.0,71,1
98,T97,T93,Harris English,71.0,426,6
99,T97,T93,Tony Finau,71.0,213,3
100,T97,T93,Chesson Hadley,71.0,284,4
101,T97,T23,J.J. Henry,71.0,142,2
102,T97,T93,Beau Hossler,71.0,497,7
103,T97,T93,Charles Howell III,71.0,213,3
104,T97,T93,Kelly Kraft,71.0,355,5
105,T97,T93,Marc Leishman,71.0,213,3
106,T97,T93,Carlos Ortiz,71.0,142,2
107,T97,T93,Rod Pampling,71.0,142,2
108,T97,T93,"Ted Potter, Jr.",71.0,284,4
109,T97,T93,Hudson Swafford,71.0,71,1
110,T97,T93,Tiger Woods,71.0,213,3
111,T112,T111,Patton Kizzire,71.17,427,6
112,T112,T111,Scott Langley,71.17,427,6
113,T112,T111,Shawn Stefani,71.17,427,6
114,T115,T74,Bill Haas,71.2,356,5
115,T115,114,Si Woo Kim,71.2,356,5
116,T117,T115,Byeong Hun An,71.25,285,4
117,T117,T115,Ernie Els,71.25,285,4
118,T117,T115,Joey Garber,71.25,285,4
119,T117,T115,Cody Gribble,71.25,285,4
120,T117,T115,Matt Jones,71.25,285,4
121,T117,T115,Wes Roach,71.25,285,4
122,T117,T115,Charl Schwartzel,71.25,285,4
123,T117,T115,Richy Werenski,71.25,285,4
124,T125,123,Patrick Reed,71.29,499,7
125,T125,142,Adam Schenk,71.29,499,7
126,127,124,Zach Johnson,71.33,214,3
127,T128,T125,Patrick Rodgers,71.4,357,5
128,T128,T125,José de Jesús Rodríguez,71.4,357,5
129,T128,T125,Adam Svensson,71.4,357,5
130,T131,T129,Rafa Cabrera Bello,71.5,143,2
131,T131,T129,Jason Dufner,71.5,143,2
132,T131,T129,Graeme McDowell,71.5,143,2
133,T131,T129,Joaquin Niemann,71.5,429,6
134,T131,T129,John Senden,71.5,429,6
135,T136,134,Andrew Landry,71.6,358,5
136,T136,T143,Roger Sloan,71.6,358,5
137,T138,T135,Ryan Blaum,71.67,430,6
138,T138,T135,Fabián Gómez,71.67,215,3
139,T138,T135,John Huh,71.67,215,3
140,T138,T135,Phil Mickelson,71.67,215,3
141,142,139,Justin Thomas,71.71,502,7
142,T143,140,Scott Brown,71.75,287,4
143,T143,999,Shane Lowry,71.75,287,4
144,145,141,Charley Hoffman,71.8,359,5
145,T146,T143,Bronson Burgoon,72.0,144,2
146,T146,T177,Matt Every,72.0,144,2
147,T146,T143,Brice Garnett,72.0,144,2
148,T146,T143,Lucas Glover,72.0,144,2
149,T146,T143,Chris Kirk,72.0,144,2
150,T146,T143,Kevin Na,72.0,144,2
151,T146,999,Martin Piller,72.0,72,1
152,T146,T143,Ben Silverman,72.0,288,4
153,T146,T143,Chris Thompson,72.0,144,2
154,155,153,Tom Hoge,72.14,505,7
155,T156,T154,Michael Kim,72.2,361,5
156,T156,T154,Ryan Moore,72.2,361,5
157,T158,T156,Cameron Smith,72.25,289,4
158,T158,T156,Sepp Straka,72.25,289,4
159,T158,T156,Harold Varner III,72.25,289,4
160,T161,T159,Kiradech Aphibarnrat,72.33,217,3
161,T161,T159,Stewart Cink,72.33,217,3
162,T161,T159,Brian Gay,72.33,217,3
163,T161,T159,Freddie Jacobson,72.33,217,3
164,T161,T159,Chez Reavie,72.33,217,3
165,T161,T159,Cameron Tringale,72.33,217,3
166,167,165,Kyle Jones,72.4,362,5
167,168,166,Whee Kim,72.43,507,7
168,T169,T167,Jonathan Byrd,72.5,145,2
169,T169,T167,Ben Crane,72.5,145,2
170,T169,T167,Emiliano Grillo,72.5,435,6
171,T169,T167,James Hahn,72.5,145,2
172,T169,T167,Satoshi Kodaira,72.5,145,2
173,174,172,Chase Wright,72.6,363,5
174,T175,T173,Alex Cejka,72.75,291,4
175,T175,T173,Brandon Harkins,72.75,291,4
176,T175,T173,Jhonattan Vegas,72.75,291,4
177,178,176,Mackenzie Hughes,72.8,364,5
178,T179,T177,Sangmoon Bae,73.0,146,2
179,T179,T177,Keegan Bradley,73.0,219,3
180,T179,T177,Julián Etulain,73.0,438,6
181,T179,T177,Tyrrell Hatton,73.0,219,3
182,T179,T177,Kyoung-Hoon Lee,73.0,73,1
183,T179,T177,C.T. Pan,73.0,219,3
184,T179,T177,Andrew Putnam,73.0,73,1
185,T179,T143,Johnson Wagner,73.0,146,2
186,T179,T177,Bubba Watson,73.0,365,5
187,T179,T177,Danny Willett,73.0,146,2
188,189,187,Branden Grace,73.2,366,5
189,T190,T188,Austin Cook,73.33,220,3
190,T190,T188,Stephan Jaeger,73.33,440,6
191,T190,T188,Brendan Steele,73.33,220,3
192,T193,T191,Lucas Bjerregaard,74.0,296,4
193,T193,T191,Brian Harman,74.0,148,2
194,T193,T191,Troy Merritt,74.0,74,1
195,T193,T191,Grayson Murray,74.0,74,1
196,T193,T191,D.A. Points,74.0,148,2
197,T193,T191,Alex Prugh,74.0,222,3
198,199,197,Seth Reeves,74.2,371,5
199,T200,T198,John Chin,74.33,223,3
200,T200,T198,Kramer Hickok,74.33,223,3
201,T202,200,Haotong Li,74.5,149,2
202,T202,203,Seamus Power,74.5,596,8
203,T204,,David Hearn,75.0,75,1
204,T204,T201,Luke List,75.0,225,3
205,T204,T201,Adam Long,75.0,75,1
206,207,204,Dominic Bozzelli,76.5,153,2
