,First_Tee_Early_Lowest_Round_RANK THIS WEEK,First_Tee_Early_Lowest_Round_RANK LAST WEEK,First_Tee_Early_Lowest_Round_PLAYER NAME,First_Tee_Early_Lowest_Round_ROUNDS,First_Tee_Early_Lowest_Round_LOW RND
70,T53,T48,Padraig Harrington,17,65
71,T53,T48,Morgan Hoffmann,24,65
72,T53,T48,Si Woo Kim,65,65
73,T53,T48,Patton Kizzire,58,65
74,T53,T48,Scott Langley,60,65
75,T53,T48,Hideki Matsuyama,59,65
76,T53,T48,Troy Merritt,42,65
77,T53,T48,Ryan Moore,54,65
78,T53,T48,"Ted Potter, Jr.",56,65
79,T53,T48,Alex Prugh,54,65
80,T53,T48,Adam Schenk,80,65
81,T53,T48,Ollie Schniederjans,63,65
82,T53,T48,Brandt Snedeker,68,65
83,T53,T48,J.J. Spaun,68,65
84,T53,T48,Robert Streb,60,65
85,T53,T48,Brian Stuard,76,65
86,T53,T48,Harold Varner III,62,65
87,T53,T48,Boo Weekley,16,65
88,T53,T48,Richy Werenski,63,65
89,T53,T48,Gary Woodland,63,65
90,T91,T88,Anders Albertson,48,66
91,T91,T88,Byeong Hun An,54,66
92,T91,T88,Daniel Berger,48,66
93,T91,T88,Bronson Burgoon,37,66
94,T91,T88,Sam Burns,66,66
95,T91,T88,Paul Casey,51,66
96,T91,T88,Alex Cejka,41,66
97,T91,T88,Roberto Díaz,51,66
98,T91,T88,Bryson DeChambeau,45,66
99,T91,T88,Tyler Duncan,66,66
100,T91,T88,Ernie Els,43,66
101,T91,T88,Julián Etulain,55,66
102,T91,T88,Armando Favela,4,66
103,T91,T88,Tommy Fleetwood,43,66
104,T91,T88,Joey Garber,44,66
105,T91,T88,Emiliano Grillo,65,66
106,T91,T88,Brandon Hagy,27,66
107,T91,T88,James Hahn,34,66
108,T91,T88,Brian Harman,67,66
109,T91,T88,Tyrrell Hatton,46,66
110,T91,T88,David Hearn,41,66
111,T91,T88,Russell Henley,56,66
112,T91,T149,Tom Hoge,70,66
113,T91,T88,Beau Hossler,66,66
114,T91,T88,Mackenzie Hughes,58,66
115,T91,T149,Stephan Jaeger,59,66
116,T91,T88,Zach Johnson,50,66
117,T91,T88,Dustin Johnson,47,66
118,T91,T88,Matt Jones,67,66
119,T91,T88,Kyle Jones,49,66
120,T91,T88,Chris Kirk,47,66
121,T91,T88,Jason Kokrak,68,66
122,T91,T88,Martin Laird,60,66
123,T91,T88,Danny Lee,66,66
124,T91,T88,Kyoung-Hoon Lee,72,66
125,T91,T88,Marc Leishman,52,66
126,T91,T88,Rory McIlroy,50,66
127,T91,T88,Keith Mitchell,64,66
128,T91,T306,Drew Nesbitt,5,66
129,T91,T88,Joaquin Niemann,68,66
130,T91,T88,Louis Oosthuizen,43,66
131,T91,T88,C.T. Pan,64,66
132,T91,T88,J.T. Poston,76,66
133,T91,T88,Davis Riley,4,66
134,T91,T88,Sam Ryder,52,66
135,T91,T88,Sam Saunders,53,66
136,T91,T88,Xander Schauffele,55,66
