,Par_4_Birdie_or_Better_Leaders_RANK THIS WEEK,Par_4_Birdie_or_Better_Leaders_RANK LAST WEEK,Par_4_Birdie_or_Better_Leaders_PLAYER NAME,Par_4_Birdie_or_Better_Leaders_ROUNDS,Par_4_Birdie_or_Better_Leaders_%,Par_4_Birdie_or_Better_Leaders_PAR 4 BIRDIES OR BETTER,Par_4_Birdie_or_Better_Leaders_PAR 4 HOLES
129,T129,999,Shane Lowry,30,16.12,44,273
130,131,132,Michael Thompson,56,16.08,96,597
131,132,T116,Shawn Stefani,57,16.07,90,560
132,T133,135,Grayson Murray,36,16.04,60,374
133,T133,100,Scott Stallings,63,16.04,98,611
134,135,136,Ryan Blaum,67,16.02,107,668
135,136,T137,Sung Kang,67,15.97,110,689
136,T137,139,Emiliano Grillo,65,15.96,106,664
137,T137,145,Jim Knous,55,15.96,86,539
138,139,141,Brendan Steele,50,15.93,79,496
139,140,171,Ben Crane,41,15.91,70,440
140,141,107,John Chin,38,15.87,63,397
141,142,127,Chris Stroud,54,15.84,83,524
142,143,140,Richy Werenski,63,15.82,103,651
143,144,131,Kramer Hickok,59,15.79,99,627
144,145,151,Mackenzie Hughes,58,15.72,91,579
145,146,142,Tyler Duncan,66,15.67,107,683
146,T147,144,Tom Hoge,70,15.65,110,703
147,T147,146,Kevin Na,54,15.65,82,524
148,149,T147,Patrick Rodgers,44,15.63,73,467
149,150,153,Harris English,72,15.6,117,750
150,151,143,Scott Langley,60,15.57,97,623
151,152,155,Ryan Armour,66,15.5,109,703
152,153,150,Satoshi Kodaira,51,15.49,79,510
153,T154,152,Fabián Gómez,44,15.48,72,465
154,T154,99,D.J. Trahan,33,15.48,50,323
155,156,154,Adam Svensson,51,15.47,80,517
156,157,T157,Brian Harman,67,15.38,108,702
157,158,T147,Kelly Kraft,67,15.26,103,675
158,T159,156,Paul Casey,51,15.15,75,495
159,T159,159,Alex Prugh,54,15.15,80,528
160,161,T157,Adam Long,52,15.14,84,555
161,162,149,Seth Reeves,52,15.07,80,531
162,163,184,Sangmoon Bae,42,15.06,64,425
163,164,170,Zach Johnson,50,15.02,82,546
164,T165,T160,Matthew Fitzpatrick,42,15.01,62,413
165,T165,T160,John Huh,35,15.01,56,373
166,167,164,Brady Schnell,38,14.96,60,401
167,168,166,Roberto Díaz,51,14.87,73,491
168,T169,169,Ben Silverman,54,14.85,86,579
169,T169,178,Chris Thompson,34,14.85,53,357
170,171,165,Bronson Burgoon,37,14.82,59,398
171,172,162,Alex Noren,49,14.72,73,496
172,173,168,Kevin Tway,62,14.7,92,626
173,174,195,Joey Garber,44,14.66,62,423
174,175,172,Robert Streb,60,14.48,86,594
175,176,175,Martin Trainer,51,14.42,77,534
176,177,163,Julián Etulain,55,14.39,77,535
177,178,174,James Hahn,34,14.37,51,355
178,179,173,Hudson Swafford,59,14.33,88,614
179,180,T176,Chris Kirk,47,14.29,68,476
180,181,179,Francesco Molinari,41,14.21,52,366
181,182,180,Billy Horschel,73,14.2,100,704
182,183,181,Ernie Els,43,14.19,62,437
183,T184,182,Branden Grace,62,14.11,80,567
184,T184,200,Henrik Stenson,46,14.11,57,404
185,186,T176,Rod Pampling,40,14.07,57,405
186,187,192,Kyle Jones,49,14.03,70,499
187,188,167,Bubba Watson,47,14.02,60,428
188,189,203,Danny Willett,47,13.97,69,494
189,190,185,Sam Saunders,53,13.93,78,560
190,191,189,Stephan Jaeger,59,13.92,82,589
191,T192,190,Dylan Frittelli,55,13.9,78,561
192,T192,186,Max Homa,61,13.9,88,633
193,194,191,Bill Haas,58,13.86,80,577
194,195,187,Michael Kim,51,13.79,71,515
195,196,188,John Senden,39,13.72,52,379
196,197,999,Tyrone Van Aswegen,30,13.56,43,317
197,198,194,Seamus Power,58,13.52,78,577
198,199,193,Freddie Jacobson,37,13.4,50,373
199,200,205,Wes Roach,45,13.32,61,458
200,201,197,Charl Schwartzel,34,13.29,44,331
201,202,202,Cody Gribble,52,13.2,68,515
202,T203,199,Lucas Bjerregaard,37,13.19,43,326
203,T203,201,Kyle Stanley,53,13.19,67,508
204,205,198,Jimmy Walker,61,13.05,86,659
205,206,196,J.J. Henry,42,12.78,52,407
206,207,204,Alex Cejka,41,12.27,47,383
207,208,206,Martin Kaymer,38,12.25,50,408
208,209,207,D.A. Points,33,8.45,29,343
