,Back_9_Par_3_Scoring_Average_RANK THIS WEEK,Back_9_Par_3_Scoring_Average_RANK LAST WEEK,Back_9_Par_3_Scoring_Average_PLAYER NAME,Back_9_Par_3_Scoring_Average_ROUNDS,Back_9_Par_3_Scoring_Average_AVG,Back_9_Par_3_Scoring_Average_TOTAL STROKES,Back_9_Par_3_Scoring_Average_TOTAL HOLES
147,T144,T133,Nate Lashley,44,3.1,260,84
148,T144,T144,Alex Noren,49,3.1,285,92
149,T144,999,Martin Piller,30,3.1,186,60
150,T144,T144,Ollie Schniederjans,63,3.1,385,124
151,T144,T144,Kyle Stanley,53,3.1,298,96
152,T153,T166,Roberto Castro,54,3.11,323,104
153,T153,T152,Austin Cook,50,3.11,299,96
154,T153,T152,Jason Dufner,56,3.11,342,110
155,T153,T152,Russell Henley,56,3.11,336,108
156,T153,T166,Kyle Jones,49,3.11,299,96
157,T153,T152,Hunter Mahan,45,3.11,286,92
158,T153,T152,Brandt Snedeker,68,3.11,404,130
159,T160,T152,J.B. Holmes,54,3.12,293,94
160,T160,T159,Patton Kizzire,58,3.12,349,112
161,T160,T133,Jim Knous,55,3.12,324,104
162,T160,T159,Grayson Murray,36,3.12,231,74
163,T160,T159,Louis Oosthuizen,43,3.12,237,76
164,T160,T159,J.T. Poston,76,3.12,456,146
165,T160,T159,Sam Ryder,52,3.12,331,106
166,T160,T166,Robert Streb,60,3.12,356,114
167,T160,T159,Cameron Tringale,52,3.12,306,98
168,T160,T166,Kevin Tway,62,3.12,356,114
169,T160,T144,Chase Wright,53,3.12,324,104
170,T171,T159,Sangmoon Bae,42,3.13,257,82
171,T171,T166,Sam Burns,66,3.13,413,132
172,T171,T181,John Chin,38,3.13,238,76
173,T171,T166,Branden Grace,62,3.13,344,110
174,T171,T191,David Hearn,41,3.13,238,76
175,T171,T166,Adam Long,52,3.13,326,104
176,T171,T176,Curtis Luck,51,3.13,307,98
177,T171,T166,C.T. Pan,64,3.13,401,128
178,T171,T166,Matt Wallace,31,3.13,175,56
179,T171,T191,Bubba Watson,47,3.13,250,80
180,T181,T176,Matthew Fitzpatrick,42,3.14,245,78
181,T181,T181,Brian Harman,67,3.14,414,132
182,T181,T176,Satoshi Kodaira,51,3.14,301,96
183,T181,T187,Sebastián Muñoz,58,3.14,358,114
184,T181,T176,Carlos Ortiz,60,3.14,370,118
185,T181,T176,Charl Schwartzel,34,3.14,207,66
186,T187,T181,Rafa Cabrera Bello,57,3.15,353,112
187,T187,T166,Cody Gribble,52,3.15,309,98
188,T187,T181,Chesson Hadley,58,3.15,365,116
189,T187,T181,Alex Prugh,54,3.15,321,102
190,T187,T181,Henrik Stenson,46,3.15,252,80
191,T192,T187,Paul Casey,51,3.16,297,94
192,T192,T187,Brian Gay,79,3.16,486,154
193,T192,T191,Seamus Power,58,3.16,348,110
194,T192,T187,Chez Reavie,67,3.16,385,122
195,T196,T194,Scott Brown,66,3.17,400,126
196,T196,T194,Harris English,72,3.17,457,144
197,T198,T194,Lucas Bjerregaard,37,3.18,191,60
198,T198,T194,Luke List,52,3.18,312,98
199,T198,T199,Trey Mullinax,67,3.18,414,130
200,T198,T201,Rod Pampling,40,3.18,248,78
201,T198,T194,Chris Thompson,34,3.18,216,68
202,T203,T201,Byeong Hun An,54,3.2,326,102
203,T203,T199,Bill Haas,58,3.2,358,112
204,T205,T203,"Ted Potter, Jr.",56,3.21,340,106
205,T205,T203,Ian Poulter,49,3.21,257,80
206,T207,206,Brendan Steele,50,3.22,316,98
207,T207,T203,Martin Trainer,51,3.22,335,104
208,209,207,Seth Reeves,52,3.24,330,102
