,Tenth_Tee_Late_Lowest_Round_RANK THIS WEEK,Tenth_Tee_Late_Lowest_Round_RANK LAST WEEK,Tenth_Tee_Late_Lowest_Round_PLAYER NAME,Tenth_Tee_Late_Lowest_Round_ROUNDS,Tenth_Tee_Late_Lowest_Round_LOW RND
293,T293,T288,Mark Anguiano,2,71
294,T293,T288,Stuart Appleby,12,71
295,T293,T288,Oliver Bekker,4,71
296,T293,T288,Justin Bertsch,4,71
297,T293,T288,Gaganjeet Bhullar,8,71
298,T293,,Will Claxton,4,71
299,T293,T288,Brian Davis,13,71
300,T293,T288,Jason Day,45,71
301,T293,,Thomas DeMarco,2,71
302,T293,T288,Derek Ernst,8,71
303,T293,T288,Edward Figueroa,2,71
304,T293,T288,Jim Furyk,53,71
305,T293,T288,Takumi Kanaya,6,71
306,T293,T288,Smylie Kaufman,4,71
307,T293,T288,Kim Leun-Kwang,4,71
308,T293,T288,Michael Lorenzo-Vera,4,71
309,T293,T288,Dylan Meyer,8,71
310,T293,T288,Matthew Millar,4,71
311,T293,T288,Keith Mitchell,64,71
312,T293,T288,Drew Nesbitt,5,71
313,T293,T288,Derek Oland,2,71
314,T293,T288,Andrea Pavan,4,71
315,T293,T288,Scottie Scheffler,12,71
316,T293,T288,Vijay Singh,14,71
317,T293,T288,Kevin Stadler,6,71
318,T293,T288,Brandon Stone,6,71
319,T293,T288,Braden Thornberry,6,71
320,T293,T288,Charlie Wi,4,71
321,T293,T288,Tiger Woods,31,71
322,T323,T316,Ashun Wu,4,72
323,T323,T316,K.J. Choi,20,72
324,T323,T316,Fred Couples,8,72
325,T323,T316,Ryan Fox,12,72
326,T323,T316,Rahil Gangjee,4,72
327,T323,T316,Brent Grant,2,72
328,T323,T316,Tyler Hall,2,72
329,T323,T316,Berry Henson,4,72
330,T323,T316,Brooks Koepka,49,72
331,T323,T316,Hyungjoon Lee,4,72
332,T323,T316,Spike McRoy,2,72
333,T323,T316,Phil Mickelson,41,72
334,T323,T316,Blake Morris,2,72
335,T323,T316,Shaun Norris,6,72
336,T323,T316,Alvaro Ortiz,10,72
337,T323,T316,Kenny Perry,16,72
338,T323,T316,Andres Romero,18,72
339,T323,T316,Jared Sawada,2,72
340,T323,T316,Lee Westwood,9,72
341,T323,T316,Mark Wilson,3,72
342,T343,T337,Robert Allenby,6,73
343,T343,T337,Arjun Atwal,6,73
344,T343,T337,John Augenstein,2,73
345,T343,T337,Jorge Campillo,6,73
346,T343,T337,Martin Flores,4,73
347,T343,T337,Tommy Gainey,6,73
348,T343,T337,Dustin Johnson,47,73
349,T343,T337,Brian Mackey,2,73
350,T343,T337,Chip McDaniel,9,73
351,T343,T337,John Merrick,8,73
352,T343,T337,Jason Norris,4,73
353,T343,T337,David Pastore,4,73
354,T343,T337,Casey Russell,2,73
355,T343,T337,Hyun-woo Ryu,4,73
356,T343,T337,Julio Santos,4,73
357,T343,T337,Austen Truslow,6,73
358,T343,T337,Omar Uresti,6,73
359,T360,,Matthew Anderson,2,74
360,T360,T354,Akshay Bhatia,2,74
361,T360,,Marc-Étienne Bussières,2,74
362,T360,T354,Will Cannon,2,74
363,T360,T354,George Coetzee,8,74
364,T360,,Chris Crisologo,2,74
365,T360,T354,James Driscoll,2,74
366,T360,T354,Broc Everett,5,74
367,T360,T354,Zack Fischer,6,74
368,T360,T354,Ross Fisher,4,74
369,T360,T354,Rickie Fowler,54,74
370,T360,T354,Andres Gonzales,2,74
371,T360,T354,Nick Heinen,2,74
372,T360,T354,Viktor Hovland,12,74
373,T360,T354,Mikko Korhonen,2,74
374,T360,T354,Cooper Musselman,3,74
375,T360,T354,Aaron Rai,4,74
376,T360,T354,Jason Scrivener,4,74
377,T360,T354,Justin Suh,4,74
378,T360,T354,Mike Weir,11,74
379,T380,T371,Cameron Beckman,4,75
380,T380,T371,Rich Beem,4,75
381,T380,T371,Michael Block,5,75
382,T380,T371,George Cunningham,7,75
383,T380,T371,John Daly,2,75
384,T380,T371,Bruce Doucett,2,75
385,T380,T371,Jeronimo Esteve,2,75
386,T380,T371,Lukas Euler,2,75
387,T380,T371,Theo Humphrey,2,75
388,T380,T371,Matt Hutchins,2,75
389,T380,T371,Alex Kang,6,75
390,T380,T371,Frank Lickliter II,2,75
391,T380,T371,Yanwei Liu,4,75
392,T380,T371,Bryson Nimmer,4,75
393,T380,T371,Taylor Pendrith,2,75
394,T380,T371,Kenny Pigman,2,75
395,T380,T371,Charles Reiter,3,75
396,T380,T371,Steve Scott,2,75
397,T380,T371,Julian Suri,6,75
398,T380,T371,Roland Thatcher,4,75
399,T400,,Michael Blair,2,76
400,T400,T391,Adam Bland,4,76
401,T400,T391,Kris Blanks,2,76
402,T400,T391,Wilson Furr,2,76
403,T400,T391,Blair Hamilton,2,76
404,T400,T391,Yuwa Kosaihira,2,76
405,T400,T391,Eamonn McLoughlin,2,76
406,T400,T391,Cole Nygren,2,76
407,T400,T391,Rod Perry,6,76
408,T400,T391,JC Ritchie,4,76
409,T400,T391,Chris Smith,2,76
410,T400,T391,Marc Turnesa,2,76
411,T400,T391,Tim Wilkinson,4,76
412,T400,T391,Xinjun Zhang,4,76
413,T414,T404,Alex Beach,2,77
414,T414,T404,Mathew Goggin,2,77
415,T414,T404,Brendan Jones,2,77
416,T414,T404,Shaun Micheel,2,77
417,T414,T404,Ted Purdy,2,77
418,T419,T409,Daniel Balin,2,78
419,T419,T409,Blayne Barber,4,78
420,T419,T409,Ángel Cabrera,4,78
421,T419,T409,Bernhard Langer,4,78
422,T419,T409,John O'Leary,2,78
423,T419,T409,Jovan Rebula,4,78
424,T419,T409,Brett Rumford,4,78
425,T419,T409,Jeff Schmid,2,78
426,T419,T409,Tucker Wadkins,2,78
427,T428,T418,Jason Caron,2,79
428,T428,T418,David Duval,8,79
429,T428,T418,Kyle Ramey,2,79
430,T428,T418,Bowen Xiao,4,79
431,T432,T422,Andrew Filbert,4,80
432,T432,T422,Tony Romo,4,80
433,T432,T422,Jason Schmuhl,3,80
434,T435,T425,Robert Gamez,4,82
435,T435,T425,Craig Hocknull,2,82
436,T435,T425,Carl Pettersson,2,82
437,438,428,Hiram Silfa,4,83
