,Late_Round_4_Scoring_Average_RANK THIS WEEK,Late_Round_4_Scoring_Average_RANK LAST WEEK,Late_Round_4_Scoring_Average_PLAYER NAME,Late_Round_4_Scoring_Average_AVG,Late_Round_4_Scoring_Average_TOTAL STROKES,Late_Round_4_Scoring_Average_TOTAL ROUNDS
114,T113,T109,Matthew Fitzpatrick,71.0,71,1
115,T113,T109,Dylan Frittelli,71.0,284,4
116,T113,T109,Fabián Gómez,71.0,142,2
117,T113,T172,Hank Lebioda,71.0,284,4
118,T113,T109,Curtis Luck,71.0,213,3
119,T113,T106,Peter Malnati,71.0,426,6
120,T113,T109,Hideki Matsuyama,71.0,568,8
121,T113,T109,Rod Pampling,71.0,71,1
122,T113,T109,Brendan Steele,71.0,213,3
123,T113,T109,Kevin Streelman,71.0,426,6
124,T113,T109,Jimmy Walker,71.0,355,5
125,T113,T109,Bubba Watson,71.0,284,4
126,127,125,Billy Horschel,71.11,640,9
127,T128,148,Danny Lee,71.17,427,6
128,T128,135,Joaquin Niemann,71.17,427,6
129,130,126,Bill Haas,71.2,356,5
130,131,127,Scott Piercy,71.22,641,9
131,132,T146,Harris English,71.25,570,8
132,T133,T128,Keith Mitchell,71.29,499,7
133,T133,T128,Roger Sloan,71.29,499,7
134,T133,T128,Jhonattan Vegas,71.29,499,7
135,136,131,Brian Gay,71.3,713,10
136,T137,T132,Kramer Hickok,71.33,214,3
137,T137,T132,C.T. Pan,71.33,428,6
138,T137,T132,Martin Trainer,71.33,214,3
139,T140,T136,Julián Etulain,71.5,143,2
140,T140,T136,Stephan Jaeger,71.5,286,4
141,T140,T136,Chris Kirk,71.5,143,2
142,T140,T136,Kevin Kisner,71.5,286,4
143,T140,T136,Russell Knox,71.5,429,6
144,T140,T136,Nate Lashley,71.5,286,4
145,T140,T136,Pat Perez,71.5,286,4
146,T140,T136,Adam Scott,71.5,429,6
147,T140,T149,Robert Streb,71.5,286,4
148,T140,T136,Matt Wallace,71.5,143,2
149,150,T146,Joel Dahmen,71.57,501,7
150,T151,T149,Byeong Hun An,71.67,215,3
151,T151,T136,Ben Crane,71.67,215,3
152,T151,T149,Roberto Díaz,71.67,215,3
153,T151,T149,Emiliano Grillo,71.67,645,9
154,T151,T149,Charley Hoffman,71.67,430,6
155,T151,T149,Satoshi Kodaira,71.67,215,3
156,T151,T149,Aaron Wise,71.67,215,3
157,158,157,Harold Varner III,71.71,502,7
158,T159,T158,Daniel Berger,71.75,287,4
159,T159,T158,Richy Werenski,71.75,287,4
160,161,160,Tony Finau,71.78,646,9
161,162,T109,Sepp Straka,71.83,431,6
162,163,161,Nick Taylor,71.86,503,7
163,T164,T162,Austin Cook,72.0,216,3
164,T164,T162,Justin Harding,72.0,72,1
165,T164,T162,Beau Hossler,72.0,144,2
166,T164,T162,Ian Poulter,72.0,432,6
167,T164,T162,Alex Prugh,72.0,144,2
168,T164,T162,Seth Reeves,72.0,360,5
169,T164,T162,Adam Svensson,72.0,288,4
170,T164,999,Tyrone Van Aswegen,72.0,144,2
171,T164,T162,Nick Watney,72.0,360,5
172,T164,195,Danny Willett,72.0,288,4
173,174,170,Rickie Fowler,72.13,577,8
174,175,171,Vaughn Taylor,72.17,433,6
175,T176,T172,Bud Cauley,72.33,217,3
176,T176,T172,Jason Dufner,72.33,217,3
177,T178,T175,Ryan Blaum,72.5,435,6
178,T178,T175,Tom Hoge,72.5,290,4
179,T178,T175,Matt Jones,72.5,435,6
180,181,178,Kyoung-Hoon Lee,72.57,508,7
181,182,T184,Peter Uihlein,72.6,363,5
182,T183,T179,Tommy Fleetwood,72.67,436,6
183,T183,T179,Joey Garber,72.67,218,3
184,T183,T179,Russell Henley,72.67,218,3
185,T183,T179,Kyle Jones,72.67,218,3
186,T183,T179,Martin Kaymer,72.67,436,6
187,188,T184,John Senden,72.75,291,4
188,189,186,Jordan Spieth,72.83,437,6
189,T190,T187,Lucas Bjerregaard,73.0,292,4
190,T190,193,Roberto Castro,73.0,219,3
191,T190,T187,Alex Cejka,73.0,73,1
192,T190,T187,Cameron Davis,73.0,219,3
193,T190,T187,Martin Laird,73.0,292,4
194,T190,999,Martin Piller,73.0,146,2
195,196,191,Louis Oosthuizen,73.2,366,5
196,197,192,Tyrrell Hatton,73.25,293,4
197,T198,T196,Brian Harman,73.6,368,5
198,T198,194,Alex Noren,73.6,368,5
199,200,T196,Keegan Bradley,73.75,295,4
200,T201,T198,John Huh,74.0,148,2
201,T201,T198,Freddie Jacobson,74.0,74,1
202,203,200,Patrick Reed,74.4,372,5
203,204,201,Michael Kim,74.5,149,2
204,T205,T202,Sangmoon Bae,75.0,75,1
205,T205,T202,John Chin,75.0,75,1
206,207,204,Scott Stallings,75.67,227,3
