,Tenth_Tee_Early_Round_4_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Round_4_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Round_4_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Round_4_Scoring_Average_AVG,Tenth_Tee_Early_Round_4_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Round_4_Scoring_Average_TOTAL ROUNDS
94,T89,T88,Matt Kuchar,70.5,141,2
95,T89,T88,Keith Mitchell,70.5,141,2
96,T89,T88,Kevin Na,70.5,141,2
97,T89,T88,Kyle Stanley,70.5,282,4
98,99,99,Pat Perez,70.67,212,3
99,T100,T100,Sangmoon Bae,71.0,142,2
100,T100,T100,Ryan Blaum,71.0,142,2
101,T100,T100,Tommy Fleetwood,71.0,71,1
102,T100,T100,Joey Garber,71.0,71,1
103,T100,T100,J.J. Henry,71.0,71,1
104,T100,T100,Tom Hoge,71.0,142,2
105,T100,T100,Dustin Johnson,71.0,142,2
106,T100,T100,Whee Kim,71.0,71,1
107,T100,T100,Haotong Li,71.0,71,1
108,T100,T100,Ryan Moore,71.0,71,1
109,T100,T100,Webb Simpson,71.0,71,1
110,T100,T100,J.J. Spaun,71.0,71,1
111,T100,T100,Scott Stallings,71.0,142,2
112,T100,T100,Vaughn Taylor,71.0,71,1
113,T100,T100,Nick Taylor,71.0,213,3
114,T100,T100,Peter Uihlein,71.0,71,1
115,T100,T100,Chase Wright,71.0,71,1
116,T117,T117,Roberto Castro,71.25,285,4
117,T117,T117,James Hahn,71.25,285,4
118,T119,T119,Adam Schenk,71.5,143,2
119,T119,T119,Jhonattan Vegas,71.5,143,2
120,T121,T121,Sam Ryder,71.75,287,4
121,T121,T121,Ben Silverman,71.75,287,4
122,T123,T123,Scott Brown,72.0,216,3
123,T123,T123,Alex Cejka,72.0,72,1
124,T123,T123,Cameron Champ,72.0,144,2
125,T123,T123,Stewart Cink,72.0,72,1
126,T123,T123,Roberto Díaz,72.0,72,1
127,T123,T123,Martin Kaymer,72.0,72,1
128,T123,T123,Michael Kim,72.0,72,1
129,T123,T123,Peter Malnati,72.0,72,1
130,T123,T123,Henrik Stenson,72.0,72,1
131,T123,T123,Chris Stroud,72.0,144,2
132,T133,T133,Joel Dahmen,72.33,217,3
133,T133,T133,Curtis Luck,72.33,217,3
134,T133,T133,Cameron Smith,72.33,217,3
135,T136,T136,Kramer Hickok,72.5,145,2
136,T136,T136,Freddie Jacobson,72.5,145,2
137,T136,T136,Josh Teater,72.5,145,2
138,T136,T136,Richy Werenski,72.5,145,2
139,T140,T140,Emiliano Grillo,72.67,218,3
140,T140,T140,Brendan Steele,72.67,218,3
141,142,142,Tyler Duncan,72.75,291,4
142,T143,T143,Aaron Baddeley,73.0,73,1
143,T143,T143,Branden Grace,73.0,73,1
144,T143,T143,Beau Hossler,73.0,146,2
145,T143,T143,Jim Knous,73.0,146,2
146,T143,T143,Carlos Ortiz,73.0,146,2
147,T143,T143,Shawn Stefani,73.0,146,2
148,T149,T149,Hunter Mahan,74.0,74,1
149,T149,T149,Grayson Murray,74.0,148,2
150,T149,T149,Ryan Palmer,74.0,74,1
151,T149,T149,J.T. Poston,74.0,74,1
152,T149,T149,Chris Thompson,74.0,74,1
153,T149,T149,Johnson Wagner,74.0,74,1
154,155,155,Adam Hadwin,74.5,149,2
155,156,156,Cody Gribble,74.67,224,3
156,T157,T157,Bronson Burgoon,75.0,75,1
157,T157,T157,John Chin,75.0,75,1
158,T157,T157,Scott Langley,75.0,75,1
159,T157,T157,Adam Long,75.0,75,1
160,T157,T157,Ollie Schniederjans,75.0,75,1
161,T157,T157,Charl Schwartzel,75.0,75,1
162,163,163,Andrew Landry,75.5,151,2
163,164,164,John Huh,77.0,77,1
164,T165,T165,J.B. Holmes,80.0,80,1
165,T165,T165,Patton Kizzire,80.0,80,1
