,First_Tee_Late_Par_5_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Par_5_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Par_5_Scoring_Average_PLAYER NAME,First_Tee_Late_Par_5_Scoring_Average_ROUNDS,First_Tee_Late_Par_5_Scoring_Average_AVG,First_Tee_Late_Par_5_Scoring_Average_TOTAL STROKES,First_Tee_Late_Par_5_Scoring_Average_TOTAL HOLES
82,T78,T53,Sepp Straka,48,4.6,262,57
83,T84,T85,Rickie Fowler,54,4.61,424,92
84,T84,T85,Branden Grace,62,4.61,189,41
85,T84,T85,Chesson Hadley,58,4.61,258,56
86,T84,T85,Phil Mickelson,41,4.61,263,57
87,T84,T94,Scott Piercy,70,4.61,263,57
88,T84,T85,Ollie Schniederjans,63,4.61,143,31
89,T84,T60,Brandt Snedeker,68,4.61,341,74
90,T84,T85,Jordan Spieth,57,4.61,369,80
91,T84,T85,Jhonattan Vegas,60,4.61,309,67
92,T93,T94,Abraham Ancer,69,4.62,282,61
93,T93,T85,Dylan Frittelli,55,4.62,231,50
94,T93,T94,Martin Laird,60,4.62,328,71
95,T93,T94,Haotong Li,32,4.62,120,26
96,T93,T94,Kevin Na,54,4.62,157,34
97,T93,999,Martin Piller,30,4.62,134,29
98,T93,T137,Nick Taylor,70,4.62,208,45
99,T93,T73,Josh Teater,47,4.62,180,39
100,T93,T94,Chase Wright,53,4.62,194,42
101,T102,T101,Tommy Fleetwood,43,4.63,301,65
102,T102,T101,Brendan Steele,50,4.63,176,38
103,T102,T101,Kevin Streelman,63,4.63,287,62
104,T105,T105,Joel Dahmen,78,4.64,394,85
105,T105,T114,Harris English,72,4.64,181,39
106,T105,T105,Pat Perez,52,4.64,306,66
107,T105,T105,J.T. Poston,76,4.64,306,66
108,T109,T110,Kiradech Aphibarnrat,49,4.65,302,65
109,T109,T114,Sangmoon Bae,42,4.65,158,34
110,T109,T110,Justin Harding,31,4.65,93,20
111,T109,T110,Russell Henley,56,4.65,186,40
112,T109,T149,J.J. Henry,42,4.65,121,26
113,T109,T110,Charley Hoffman,58,4.65,279,60
114,T109,T121,Peter Malnati,64,4.65,363,78
115,T109,T114,Brady Schnell,38,4.65,172,37
116,T117,T114,Mackenzie Hughes,58,4.66,219,47
117,T117,T121,Danny Lee,66,4.66,261,56
118,T117,T105,Seamus Power,58,4.66,219,47
119,T117,T114,John Senden,39,4.66,149,32
120,T117,T114,Ben Silverman,54,4.66,177,38
121,T122,T121,Ryan Blaum,67,4.67,327,70
122,T122,T101,Scott Brown,66,4.67,271,58
123,T122,T121,Rafa Cabrera Bello,57,4.67,299,64
124,T122,T121,Brice Garnett,63,4.67,140,30
125,T122,T121,Zach Johnson,50,4.67,168,36
126,T122,T121,Satoshi Kodaira,51,4.67,112,24
127,T122,T94,Nate Lashley,44,4.67,168,36
128,T122,T121,Patrick Reed,53,4.67,392,84
129,T122,T121,Shawn Stefani,57,4.67,327,70
130,T122,T121,Henrik Stenson,46,4.67,257,55
131,T122,T105,Robert Streb,60,4.67,238,51
132,T122,T131,Peter Uihlein,65,4.67,182,39
133,T134,T131,Ryan Armour,66,4.68,173,37
134,T134,T131,Dominic Bozzelli,53,4.68,192,41
135,T134,T131,Ernie Els,43,4.68,117,25
136,T134,T114,Jim Furyk,53,4.68,267,57
137,T134,T131,Tyrrell Hatton,46,4.68,145,31
138,T134,T131,Justin Rose,42,4.68,379,81
139,T134,999,Tyrone Van Aswegen,30,4.68,89,19
140,T134,T137,Johnson Wagner,45,4.68,159,34
141,T142,T137,Aaron Baddeley,51,4.69,253,54
142,T142,T149,Corey Conners,62,4.69,286,61
143,T142,T137,Tyler Duncan,66,4.69,239,51
144,T142,T137,Lucas Glover,62,4.69,403,86
145,T142,T144,Brandon Harkins,67,4.69,164,35
146,T142,T144,D.J. Trahan,33,4.69,136,29
147,T148,T149,Jonathan Byrd,43,4.7,268,57
148,T148,T137,Joey Garber,44,4.7,207,44
149,T148,T144,Keith Mitchell,64,4.7,343,73
150,T148,T144,D.A. Points,33,4.7,47,10
151,T148,T144,Brian Stuard,76,4.7,287,61
152,T153,T137,David Hearn,41,4.71,132,28
153,T153,T149,Trey Mullinax,67,4.71,193,41
154,T153,T149,C.T. Pan,64,4.71,245,52
155,T153,T149,Andrew Putnam,57,4.71,278,59
156,T153,T159,Danny Willett,47,4.71,160,34
157,T153,T149,Aaron Wise,52,4.71,231,49
158,T159,T157,Stewart Cink,33,4.72,118,25
159,T159,T173,Whee Kim,57,4.72,222,47
160,T159,T157,Curtis Luck,51,4.72,184,39
161,T159,T149,Adam Schenk,80,4.72,415,88
162,T163,T167,Keegan Bradley,65,4.73,260,55
163,T163,T159,Roberto Díaz,51,4.73,156,33
164,T163,T159,Kramer Hickok,59,4.73,194,41
165,T163,T159,Charles Howell III,64,4.73,355,75
166,T163,T159,Patton Kizzire,58,4.73,227,48
167,T163,T159,Jason Kokrak,68,4.73,312,66
168,T163,T159,Kyoung-Hoon Lee,72,4.73,298,63
169,T163,T186,Chris Thompson,34,4.73,104,22
170,T163,T167,Cameron Tringale,52,4.73,208,44
171,T172,T167,Jason Day,45,4.74,370,78
172,T172,T159,Harold Varner III,62,4.74,308,65
173,T174,T170,Julián Etulain,55,4.75,209,44
174,T174,T170,Brian Gay,79,4.75,299,63
175,T174,T177,Adam Svensson,51,4.75,261,55
176,T177,T173,Austin Cook,50,4.76,195,41
177,T177,T173,Billy Horschel,73,4.76,433,91
178,T177,T170,Kelly Kraft,67,4.76,257,54
179,T177,T177,Graeme McDowell,61,4.76,238,50
180,T177,T173,Francesco Molinari,41,4.76,219,46
181,T177,182,José de Jesús Rodríguez,51,4.76,214,45
182,T183,T189,Roberto Castro,54,4.77,143,30
183,T183,T177,Matthew Fitzpatrick,42,4.77,143,30
184,T183,T177,Cody Gribble,52,4.77,105,22
185,T183,T177,Cameron Smith,55,4.77,205,43
186,187,T196,Joaquin Niemann,68,4.78,239,50
187,T188,T183,Tom Hoge,70,4.79,292,61
188,T188,T183,J.B. Holmes,54,4.79,302,63
189,T190,T186,Louis Oosthuizen,43,4.8,264,55
190,T190,T186,Kyle Stanley,53,4.8,144,30
191,T190,T183,Jimmy Walker,61,4.8,192,40
192,T193,T189,Alex Cejka,41,4.81,178,37
193,T193,T189,Michael Kim,51,4.81,178,37
194,T193,T189,Alex Noren,49,4.81,130,27
195,T196,T193,Bronson Burgoon,37,4.82,135,28
196,T196,T193,Andrew Landry,56,4.82,159,33
197,T196,T193,Vaughn Taylor,69,4.82,376,78
198,199,T196,Sam Saunders,53,4.83,285,59
199,T200,T205,Brian Harman,67,4.85,257,53
200,T200,T199,Alex Prugh,54,4.85,165,34
201,T200,T199,Michael Thompson,56,4.85,320,66
202,T203,T202,Jonas Blixt,66,4.86,180,37
203,T203,198,Ben Crane,41,4.86,175,36
204,T203,201,Anirban Lahiri,54,4.86,175,36
205,206,T202,Kyle Jones,49,4.88,156,32
206,207,204,Fabián Gómez,44,4.89,137,28
207,208,T205,Rod Pampling,40,4.9,49,10
208,209,207,Freddie Jacobson,37,4.92,118,24
