,First_Tee_Late_Round_3_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Round_3_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Round_3_Scoring_Average_PLAYER NAME,First_Tee_Late_Round_3_Scoring_Average_AVG,First_Tee_Late_Round_3_Scoring_Average_TOTAL STROKES,First_Tee_Late_Round_3_Scoring_Average_TOTAL ROUNDS
37,T37,T41,David Hearn,69.33,208,3
38,T37,T48,Mackenzie Hughes,69.33,208,3
39,T37,22,Brooks Koepka,69.33,416,6
40,T37,T41,C.T. Pan,69.33,208,3
41,T37,T41,Richy Werenski,69.33,208,3
42,T37,T41,Chase Wright,69.33,208,3
43,T44,T46,Patrick Cantlay,69.4,347,5
44,T44,T46,Xander Schauffele,69.4,347,5
45,T46,T48,Wyndham Clark,69.5,278,4
46,T46,T48,Tony Finau,69.5,417,6
47,T46,56,Matt Kuchar,69.5,556,8
48,T46,T48,Kyoung-Hoon Lee,69.5,417,6
49,T46,T48,Louis Oosthuizen,69.5,278,4
50,T46,T48,Andrew Putnam,69.5,417,6
51,T46,T48,Bubba Watson,69.5,278,4
52,53,T24,Adam Schenk,69.57,487,7
53,T54,T24,Talor Gooch,69.67,209,3
54,T54,T24,Hank Lebioda,69.67,209,3
55,T54,57,Hudson Swafford,69.67,209,3
56,T57,T59,Roberto Castro,69.75,279,4
57,T57,T87,Henrik Stenson,69.75,279,4
58,T57,T3,D.J. Trahan,69.75,279,4
59,60,58,Zach Johnson,69.8,349,5
60,T61,T59,Stewart Cink,70.0,70,1
61,T61,T59,Tyler Duncan,70.0,70,1
62,T61,T59,Branden Grace,70.0,140,2
63,T61,T59,Emiliano Grillo,70.0,350,5
64,T61,T59,James Hahn,70.0,70,1
65,T61,T59,Justin Harding,70.0,70,1
66,T61,T59,Russell Henley,70.0,140,2
67,T61,T48,Stephan Jaeger,70.0,210,3
68,T61,T59,Matt Jones,70.0,490,7
69,T61,T59,Kyle Jones,70.0,70,1
70,T61,T59,Martin Kaymer,70.0,280,4
71,T61,T59,Russell Knox,70.0,280,4
72,T61,T59,Nate Lashley,70.0,210,3
73,T61,T59,Seth Reeves,70.0,140,2
74,T61,T59,Sam Ryder,70.0,140,2
75,T61,T87,Robert Streb,70.0,280,4
76,T61,T59,Kevin Streelman,70.0,280,4
77,T61,T14,Nick Taylor,70.0,210,3
78,T61,T59,Cameron Tringale,70.0,70,1
79,80,78,Gary Woodland,70.13,561,8
80,T81,T79,Ryan Blaum,70.2,351,5
81,T81,T79,Corey Conners,70.2,351,5
82,T81,T79,Chesson Hadley,70.2,351,5
83,T81,T79,Scott Piercy,70.2,351,5
84,T81,T79,Kevin Tway,70.2,351,5
85,T86,T84,Lucas Bjerregaard,70.25,281,4
86,T86,T17,Scott Brown,70.25,281,4
87,T86,T84,Austin Cook,70.25,281,4
88,T86,T84,Nick Watney,70.25,281,4
89,T90,T87,Ryan Armour,70.33,211,3
90,T90,T87,Sam Burns,70.33,211,3
91,T90,T87,Jason Dufner,70.33,211,3
92,T90,999,Martin Piller,70.33,211,3
93,T90,T87,Jordan Spieth,70.33,633,9
94,T90,T87,Matt Wallace,70.33,211,3
95,T96,T94,Jim Furyk,70.5,282,4
96,T96,T94,Joey Garber,70.5,141,2
97,T96,T94,Lucas Glover,70.5,423,6
98,T96,T94,Francesco Molinari,70.5,282,4
99,T96,T59,José de Jesús Rodríguez,70.5,141,2
100,T96,T94,Justin Rose,70.5,564,8
101,T96,T94,Roger Sloan,70.5,282,4
102,T96,T94,Shawn Stefani,70.5,282,4
103,T96,T94,Adam Svensson,70.5,141,2
104,105,102,Martin Laird,70.6,353,5
105,T106,T103,Byeong Hun An,70.67,212,3
106,T106,T103,Julián Etulain,70.67,212,3
107,T106,T103,Charley Hoffman,70.67,212,3
108,T106,T113,Peter Malnati,70.67,424,6
109,T106,T103,Keith Mitchell,70.67,424,6
110,T106,T103,Johnson Wagner,70.67,212,3
111,T112,T108,Sung Kang,70.8,354,5
112,T112,T108,Danny Lee,70.8,354,5
113,114,110,Paul Casey,70.83,425,6
114,115,111,Joel Dahmen,70.86,496,7
115,116,112,Ian Poulter,70.88,567,8
116,T117,T113,Ben Crane,71.0,142,2
117,T117,T113,Sergio Garcia,71.0,213,3
118,T117,T113,Tyrrell Hatton,71.0,213,3
119,T117,T113,Kevin Kisner,71.0,213,3
120,T117,T113,Jim Knous,71.0,355,5
121,T117,T113,Luke List,71.0,284,4
122,T117,T113,Alex Prugh,71.0,142,2
123,T117,T113,Vaughn Taylor,71.0,497,7
124,T117,T144,Danny Willett,71.0,284,4
125,T117,T113,Aaron Wise,71.0,213,3
126,127,124,Patrick Reed,71.17,427,6
127,T128,T125,Kiradech Aphibarnrat,71.2,356,5
128,T128,T125,Phil Mickelson,71.2,356,5
129,T130,T125,Keegan Bradley,71.33,428,6
130,T130,T128,Bronson Burgoon,71.33,214,3
131,T130,T128,Jonathan Byrd,71.33,214,3
132,T130,T128,Grayson Murray,71.33,214,3
133,T130,T128,Martin Trainer,71.33,214,3
134,135,132,J.T. Poston,71.4,357,5
135,T136,T133,Sangmoon Bae,71.5,143,2
136,T136,T133,Ernie Els,71.5,143,2
137,T136,T133,J.B. Holmes,71.5,286,4
138,T136,T133,Max Homa,71.5,143,2
139,T136,T133,Whee Kim,71.5,143,2
140,T136,T133,Jason Kokrak,71.5,286,4
141,T136,T133,Andrew Landry,71.5,143,2
142,T136,T133,Pat Perez,71.5,429,6
143,T136,T167,Brandt Snedeker,71.5,286,4
144,T136,T149,Chris Thompson,71.5,143,2
145,146,141,Rory Sabbatini,71.57,501,7
146,T147,T142,Beau Hossler,71.6,358,5
147,T147,T142,Kelly Kraft,71.6,358,5
148,T149,T144,Roberto Díaz,71.67,215,3
149,T149,T144,Scott Stallings,71.67,215,3
150,151,147,Anirban Lahiri,71.75,287,4
151,T152,T149,Daniel Berger,72.0,360,5
152,T152,T173,Jonas Blixt,72.0,360,5
153,T152,T149,Rafa Cabrera Bello,72.0,288,4
154,T152,T149,Tommy Fleetwood,72.0,432,6
155,T152,T149,Tom Hoge,72.0,360,5
156,T152,T149,Billy Horschel,72.0,576,8
157,T152,148,Sungjae Im,72.0,576,8
158,T152,T149,Satoshi Kodaira,72.0,72,1
159,T152,T149,Adam Long,72.0,216,3
160,T152,T149,Troy Merritt,72.0,216,3
161,T152,T149,Carlos Ortiz,72.0,144,2
162,T152,T149,D.A. Points,72.0,72,1
163,T152,T149,Brady Schnell,72.0,72,1
164,T152,T149,Charl Schwartzel,72.0,144,2
165,T152,T149,Ben Silverman,72.0,216,3
166,T152,T149,J.J. Spaun,72.0,144,2
167,T152,T149,Brendan Steele,72.0,72,1
168,T169,165,Bud Cauley,72.17,433,6
169,T169,T171,Brian Harman,72.17,433,6
170,171,166,Sam Saunders,72.25,289,4
171,T172,T113,Dylan Frittelli,72.33,217,3
172,T172,T167,Kramer Hickok,72.33,217,3
173,T172,T167,Ryan Moore,72.33,217,3
174,T172,T167,Ryan Palmer,72.33,217,3
175,176,T171,Michael Thompson,72.4,362,5
176,T177,T173,Alex Cejka,72.5,145,2
177,T177,T173,Jason Day,72.5,290,4
178,T177,T173,Brice Garnett,72.5,290,4
179,T177,T192,Scott Langley,72.5,145,2
180,T181,T177,Si Woo Kim,72.67,218,3
181,T181,T177,Trey Mullinax,72.67,218,3
182,T181,T177,Patrick Rodgers,72.67,218,3
183,184,180,Charles Howell III,72.71,509,7
184,T185,T181,Matthew Fitzpatrick,73.0,219,3
185,T185,T181,Patton Kizzire,73.0,292,4
186,T185,T181,Curtis Luck,73.0,219,3
187,T185,T181,Alex Noren,73.0,73,1
188,T185,T181,Josh Teater,73.0,146,2
189,190,190,Sepp Straka,73.8,369,5
190,T191,T186,Freddie Jacobson,74.0,74,1
191,T191,T186,Haotong Li,74.0,74,1
192,T191,T186,Joaquin Niemann,74.0,148,2
193,T191,T186,Wes Roach,74.0,74,1
194,195,191,Kyle Stanley,74.5,149,2
195,196,T192,Jimmy Walker,75.0,300,4
196,197,194,Michael Kim,77.0,154,2
197,198,195,Fabián Gómez,80.0,80,1
