,Tenth_Tee_Late_Par_3_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Par_3_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Par_3_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Par_3_Scoring_Average_ROUNDS,Tenth_Tee_Late_Par_3_Scoring_Average_AVG,Tenth_Tee_Late_Par_3_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Par_3_Scoring_Average_TOTAL HOLES
44,T42,T43,James Hahn,34,3.0,99,33
45,T42,T43,J.B. Holmes,54,3.0,96,32
46,T42,T43,Max Homa,61,3.0,108,36
47,T42,T43,Charles Howell III,64,3.0,108,36
48,T42,T43,Kelly Kraft,67,3.0,180,60
49,T42,T43,Danny Lee,66,3.0,120,40
50,T42,T43,Hideki Matsuyama,59,3.0,36,12
51,T42,T43,Ian Poulter,49,3.0,36,12
52,T42,T43,Cameron Tringale,52,3.0,111,37
53,T42,T43,Danny Willett,47,3.0,159,53
54,T42,T43,Gary Woodland,63,3.0,96,32
55,T56,T72,Roberto Castro,54,3.02,160,53
56,T56,T29,Austin Cook,50,3.02,124,41
57,T56,T58,Emiliano Grillo,65,3.02,133,44
58,T56,T58,Kevin Kisner,65,3.02,124,41
59,T56,T58,Andrew Landry,56,3.02,124,41
60,T56,T58,Grayson Murray,36,3.02,127,42
61,T56,T58,D.A. Points,33,3.02,136,45
62,T56,T58,J.T. Poston,76,3.02,145,48
63,T64,T64,Abraham Ancer,69,3.03,109,36
64,T64,T64,Daniel Berger,48,3.03,121,40
65,T64,T64,Brice Garnett,63,3.03,221,73
66,T64,T43,Zach Johnson,50,3.03,112,37
67,T64,T64,Jim Knous,55,3.03,112,37
68,T64,T64,Kyoung-Hoon Lee,72,3.03,194,64
69,T64,T64,Josh Teater,47,3.03,97,32
70,T64,T64,D.J. Trahan,33,3.03,100,33
71,T72,T72,Bud Cauley,61,3.04,137,45
72,T72,T72,Branden Grace,62,3.04,137,45
73,T72,T72,Sung Kang,67,3.04,173,57
74,T72,T72,Jason Kokrak,68,3.04,158,52
75,T72,T72,Chez Reavie,67,3.04,152,50
76,T72,T123,Wes Roach,45,3.04,73,24
77,T72,T72,Adam Schenk,80,3.04,173,57
78,T72,T123,Aaron Wise,52,3.04,73,24
79,T80,T72,Ryan Armour,66,3.05,247,81
80,T80,T72,Tyler Duncan,66,3.05,186,61
81,T80,T84,Matt Every,38,3.05,64,21
82,T80,T84,Tony Finau,61,3.05,64,21
83,T80,T84,Matthew Fitzpatrick,42,3.05,61,20
84,T80,T84,Brian Harman,67,3.05,198,65
85,T80,T84,Kyle Jones,49,3.05,195,64
86,T80,T84,Martin Laird,60,3.05,61,20
87,T80,T84,Hunter Mahan,45,3.05,113,37
88,T80,T64,Trey Mullinax,67,3.05,201,66
89,T80,T84,Andrew Putnam,57,3.05,122,40
90,T91,T101,Ben Crane,41,3.06,98,32
91,T91,T94,Justin Harding,31,3.06,49,16
92,T91,T72,Russell Henley,56,3.06,159,52
93,T91,T94,Satoshi Kodaira,51,3.06,159,52
94,T91,T94,Rory McIlroy,50,3.06,49,16
95,T91,T101,Alex Noren,49,3.06,147,48
96,T91,T94,C.T. Pan,64,3.06,150,49
97,T91,T94,Brandt Snedeker,68,3.06,98,32
98,T91,T94,Michael Thompson,56,3.06,101,33
99,T100,T101,Bronson Burgoon,37,3.07,86,28
100,T100,T84,Tom Hoge,70,3.07,184,60
101,T100,T101,John Huh,35,3.07,86,28
102,T100,T101,Nate Lashley,44,3.07,135,44
103,T100,T101,Kevin Na,54,3.07,172,56
104,T100,T101,Brian Stuard,76,3.07,209,68
105,T100,T72,Hudson Swafford,59,3.07,261,85
106,T100,T101,Jimmy Walker,61,3.07,221,72
107,T100,T72,Chase Wright,53,3.07,178,58
108,T109,T101,Roberto Díaz,51,3.08,188,61
109,T109,T84,Cameron Davis,54,3.08,203,66
110,T109,T111,Sergio Garcia,39,3.08,37,12
111,T109,T111,Jim Herman,37,3.08,200,65
112,T109,T111,Dustin Johnson,47,3.08,37,12
113,T109,T111,Russell Knox,65,3.08,188,61
114,T109,T111,Sebastián Muñoz,58,3.08,111,36
115,T109,T111,Seamus Power,58,3.08,123,40
116,T109,T101,Alex Prugh,54,3.08,188,61
117,T109,T118,José de Jesús Rodríguez,51,3.08,151,49
118,T109,T111,Brendan Steele,50,3.08,123,40
119,T120,T118,Carlos Ortiz,60,3.09,173,56
120,T120,T118,Ryan Palmer,56,3.09,102,33
121,T120,T118,Scott Stallings,63,3.09,167,54
122,T123,T123,Kiradech Aphibarnrat,49,3.1,62,20
123,T123,T155,Scott Brown,66,3.1,127,41
124,T123,T123,Patrick Cantlay,49,3.1,62,20
125,T123,T123,Brandon Harkins,67,3.1,189,61
126,T123,T123,Peter Malnati,64,3.1,62,20
127,T123,T123,Joaquin Niemann,68,3.1,161,52
128,T123,T123,Nick Taylor,70,3.1,189,61
129,T130,T131,Byeong Hun An,54,3.11,87,28
130,T130,T131,Jason Dufner,56,3.11,177,57
131,T130,T131,Dylan Frittelli,55,3.11,137,44
132,T130,T131,Talor Gooch,37,3.11,87,28
133,T130,T131,Chris Kirk,47,3.11,174,56
134,T130,T131,"Ted Potter, Jr.",56,3.11,137,44
135,T130,T131,Sam Ryder,52,3.11,112,36
136,T137,T140,Jonas Blixt,66,3.12,215,69
137,T137,T140,Rafa Cabrera Bello,57,3.12,103,33
138,T137,T118,Cody Gribble,52,3.12,187,60
139,T137,T140,J.J. Spaun,68,3.12,162,52
140,T137,T140,Kevin Streelman,63,3.12,128,41
141,T142,T144,Ryan Blaum,67,3.13,141,45
142,T142,T155,Keegan Bradley,65,3.13,125,40
143,T142,T144,Wyndham Clark,61,3.13,191,61
144,T142,T144,Corey Conners,62,3.13,100,32
145,T142,T161,Brian Gay,79,3.13,263,84
146,T142,T144,Chesson Hadley,58,3.13,125,40
147,T142,T144,Whee Kim,57,3.13,125,40
148,T142,T144,Michael Kim,51,3.13,163,52
149,T142,T144,Haotong Li,32,3.13,50,16
150,T142,T144,Francesco Molinari,41,3.13,50,16
151,T142,T131,Chris Thompson,34,3.13,125,40
152,T142,T144,Matt Wallace,31,3.13,50,16
153,T154,T161,Harris English,72,3.14,217,69
154,T154,T155,Patton Kizzire,58,3.14,116,37
155,T154,999,Martin Piller,30,3.14,88,28
156,T154,T169,Seth Reeves,52,3.14,201,64
157,T154,T144,Sam Saunders,53,3.14,113,36
158,T154,T155,Kyle Stanley,53,3.14,138,44
159,T154,T144,Robert Streb,60,3.14,154,49
160,T154,T155,Adam Svensson,51,3.14,91,29
161,T162,T161,Charley Hoffman,58,3.15,129,41
162,T162,T161,Adam Long,52,3.15,151,48
163,T162,T131,Chris Stroud,54,3.15,126,40
164,T165,T165,Adam Hadwin,66,3.16,180,57
165,T165,T165,Rod Pampling,40,3.16,193,61
166,T165,T165,Roger Sloan,62,3.16,218,69
167,T165,T165,Harold Varner III,62,3.16,101,32
168,T169,T169,Bryson DeChambeau,45,3.17,38,12
169,T169,T155,Nick Watney,67,3.17,130,41
170,T171,T173,Joey Garber,44,3.18,127,40
171,T171,T169,Fabián Gómez,44,3.18,105,33
172,T171,T173,Tyrrell Hatton,46,3.18,105,33
173,T171,T173,John Senden,39,3.18,143,45
174,T171,T173,Ben Silverman,54,3.18,181,57
175,T171,T169,Shawn Stefani,57,3.18,127,40
176,T177,T177,J.J. Henry,42,3.19,115,36
177,T177,T177,Kramer Hickok,59,3.19,198,62
178,T177,T177,Freddie Jacobson,37,3.19,102,32
179,T180,T182,Jim Furyk,53,3.21,77,24
180,T180,T182,Luke List,52,3.21,90,28
181,T180,T182,Charl Schwartzel,34,3.21,90,28
182,T180,T177,Richy Werenski,63,3.21,250,78
183,T184,T185,Graeme McDowell,61,3.22,119,37
184,T184,T185,Keith Mitchell,64,3.22,116,36
185,T184,999,Tyrone Van Aswegen,30,3.22,103,32
186,187,187,David Hearn,41,3.23,129,40
187,T188,T188,Sangmoon Bae,42,3.24,120,37
188,T188,T188,Paul Casey,51,3.24,55,17
189,T188,T188,Anirban Lahiri,54,3.24,159,49
190,T188,T188,Sepp Straka,48,3.24,146,45
191,T192,T177,Jonathan Byrd,43,3.25,65,20
192,T192,T201,John Chin,38,3.25,91,28
193,T192,T192,Stewart Cink,33,3.25,104,32
194,T192,T192,Brooks Koepka,49,3.25,13,4
195,T192,T192,Phil Mickelson,41,3.25,13,4
196,T192,T192,Pat Perez,52,3.25,78,24
197,T192,T192,Webb Simpson,53,3.25,26,8
198,T192,204,Henrik Stenson,46,3.25,39,12
199,T192,T192,Bubba Watson,47,3.25,13,4
200,201,200,Curtis Luck,51,3.26,189,58
201,202,199,Jhonattan Vegas,60,3.27,144,44
202,203,198,Martin Trainer,51,3.28,200,61
203,T204,T201,Lucas Bjerregaard,37,3.29,92,28
204,T204,999,Shane Lowry,30,3.29,79,24
205,T204,T201,Brady Schnell,38,3.29,92,28
206,207,205,Tiger Woods,31,3.5,14,4
207,208,206,Louis Oosthuizen,43,3.63,29,8
