,Total_Birdies_RANK THIS WEEK,Total_Birdies_RANK LAST WEEK,Total_Birdies_PLAYER NAME,Total_Birdies_ROUNDS,Total_Birdies_TOTAL
179,180,176,Louis Oosthuizen,43,131
180,181,177,Bronson Burgoon,37,130
181,182,191,Henrik Stenson,46,129
182,183,T181,Jim Herman,37,128
183,184,184,David Hearn,41,127
184,185,T195,Joey Garber,44,125
185,T186,T181,Stewart Cink,33,124
186,T186,T185,Brady Schnell,38,124
187,T188,183,Tommy Fleetwood,43,123
188,T188,190,D.J. Trahan,33,123
189,190,T185,John Senden,39,119
190,T191,T188,James Hahn,34,118
191,T191,T188,Tiger Woods,31,118
192,193,T192,Alex Cejka,41,117
193,194,999,Martin Piller,30,115
194,T195,198,Sergio Garcia,39,112
195,T195,T192,Francesco Molinari,41,112
196,197,194,John Huh,35,111
197,198,T195,Freddie Jacobson,37,109
198,199,197,Charl Schwartzel,34,107
199,200,T204,Rod Pampling,40,105
200,201,206,Chris Thompson,34,103
201,202,T199,Haotong Li,32,102
202,203,201,D.A. Points,33,97
203,T204,T204,J.J. Henry,42,96
204,T204,202,Matt Wallace,31,96
205,206,203,Justin Harding,31,95
206,207,207,Lucas Bjerregaard,37,93
207,208,999,Shane Lowry,30,89
208,209,999,Tyrone Van Aswegen,30,82
