,Par_3_Performance_RANK THIS WEEK,Par_3_Performance_RANK LAST WEEK,Par_3_Performance_PLAYER NAME,Par_3_Performance_ROUNDS,Par_3_Performance_STATUS,Par_3_Performance_PAR 3 AVG,Par_3_Performance_TOTAL PAR
151,T148,T154,Adam Hadwin,66,+17,3.07,753
152,T148,T150,Max Homa,61,+17,3.07,717
153,T154,T120,Tyler Duncan,66,+18,3.07,777
154,T154,T154,Matthew Fitzpatrick,42,+18,3.11,471
155,T154,T167,David Hearn,41,+18,3.12,453
156,T154,T154,John Senden,39,+18,3.12,453
157,T154,T154,Kevin Streelman,63,+18,3.07,741
158,T154,T154,Matt Wallace,31,+18,3.16,336
159,T154,T173,Bubba Watson,47,+18,3.11,480
160,T161,T160,Branden Grace,62,+19,3.09,657
161,T161,T160,J.J. Henry,42,+19,3.12,459
162,T161,T160,Curtis Luck,51,+19,3.1,579
163,T161,T160,Grayson Murray,36,+19,3.13,441
164,T161,T160,Scott Stallings,63,+19,3.08,723
165,T161,T160,Kyle Stanley,53,+19,3.1,576
166,T161,T150,Sepp Straka,48,+19,3.1,567
167,T161,T126,Peter Uihlein,65,+19,3.07,768
168,T161,T141,Danny Willett,47,+19,3.1,576
169,170,T167,C.T. Pan,64,+20,3.08,756
170,T171,T173,Matt Jones,67,+21,3.08,771
171,T171,T167,Kyle Jones,49,+21,3.11,573
172,T171,T178,Rod Pampling,40,+21,3.14,465
173,T174,T178,Adam Long,52,+22,3.11,627
174,T174,T178,Keith Mitchell,64,+22,3.09,735
175,T174,T173,Trey Mullinax,67,+22,3.09,771
176,T174,T154,Alex Noren,49,+22,3.12,552
177,T174,T178,J.J. Spaun,68,+22,3.09,771
178,T174,T173,Chris Thompson,34,+22,3.16,411
179,T180,T167,Brandon Harkins,67,+23,3.09,771
180,T180,183,J.T. Poston,76,+23,3.08,870
181,T180,T167,Nick Taylor,70,+23,3.09,807
182,T183,T167,Jim Knous,55,+24,3.12,621
183,T183,T184,Carlos Ortiz,60,+24,3.1,702
184,T183,T178,Brandt Snedeker,68,+24,3.09,783
185,T186,T184,Lucas Bjerregaard,37,+25,3.21,360
186,T186,T184,Scott Brown,66,+25,3.1,753
187,T186,T189,Wyndham Clark,61,+25,3.1,723
188,T186,T173,Joaquin Niemann,68,+25,3.09,804
189,T186,T189,Seamus Power,58,+25,3.11,654
190,T191,T191,Byeong Hun An,54,+26,3.13,612
191,T191,T184,Cody Gribble,52,+26,3.13,585
192,T191,T184,Kramer Hickok,59,+26,3.11,723
193,T191,T191,Hunter Mahan,45,+26,3.14,549
194,T195,T194,Sam Burns,66,+27,3.1,780
195,T195,T194,Chesson Hadley,58,+27,3.12,687
196,T195,T194,Seth Reeves,52,+27,3.13,609
197,T198,T191,Bill Haas,58,+29,3.13,660
198,T198,197,Alex Prugh,54,+29,3.14,609
199,T198,T198,Brendan Steele,50,+29,3.15,582
200,T201,T198,Brian Gay,79,+31,3.1,915
201,T201,T201,Luke List,52,+31,3.16,588
202,T203,T203,Satoshi Kodaira,51,+33,3.17,576
203,T203,T198,Roger Sloan,62,+33,3.13,759
204,205,205,"Ted Potter, Jr.",56,+34,3.16,645
205,T206,T203,Brian Harman,67,+35,3.13,786
206,T206,T201,Martin Trainer,51,+35,3.17,621
207,208,206,Rafa Cabrera Bello,57,+39,3.18,663
208,209,207,Harris English,72,+46,3.16,852
