,Tenth_Tee_Early_Par_3_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Par_3_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Par_3_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Par_3_Scoring_Average_ROUNDS,Tenth_Tee_Early_Par_3_Scoring_Average_AVG,Tenth_Tee_Early_Par_3_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Par_3_Scoring_Average_TOTAL HOLES
39,T39,T39,Roberto Castro,54,2.95,121,41
40,T39,T39,Tony Finau,61,2.95,165,56
41,T39,T39,Emiliano Grillo,65,2.95,165,56
42,T39,T46,Matt Kuchar,65,2.95,168,57
43,T39,T39,Marc Leishman,52,2.95,118,40
44,T39,T39,Shawn Stefani,57,2.95,180,61
45,T46,T46,Daniel Berger,48,2.96,71,24
46,T46,T46,Roberto Díaz,51,2.96,71,24
47,T46,T46,Matthew Fitzpatrick,42,2.96,74,25
48,T46,T39,Roger Sloan,62,2.96,133,45
49,T46,T46,Brian Stuard,76,2.96,216,73
50,T46,T46,Danny Willett,47,2.96,71,24
51,T52,T54,Russell Henley,56,2.97,184,62
52,T52,T54,Si Woo Kim,65,2.97,110,37
53,T52,T19,Jimmy Walker,61,2.97,98,33
54,T52,T54,Nick Watney,67,2.97,193,65
55,T56,T60,Kiradech Aphibarnrat,49,2.98,131,44
56,T56,T60,Alex Cejka,41,2.98,146,49
57,T56,T60,Cameron Champ,58,2.98,170,57
58,T56,T60,Wyndham Clark,61,2.98,158,53
59,T56,T54,Jim Furyk,53,2.98,125,42
60,T56,T46,Brandon Harkins,67,2.98,179,60
61,T56,T60,Patton Kizzire,58,2.98,119,40
62,T56,T60,Ryan Moore,54,2.98,146,49
63,T56,T60,José de Jesús Rodríguez,51,2.98,146,49
64,T56,T60,John Senden,39,2.98,122,41
65,T56,T39,Adam Svensson,51,2.98,191,64
66,T67,T54,Stephan Jaeger,59,2.99,206,69
67,T67,T69,Adam Schenk,80,2.99,203,68
68,T69,T46,Anders Albertson,48,3.0,156,52
69,T69,T69,Aaron Baddeley,51,3.0,84,28
70,T69,T99,Sangmoon Bae,42,3.0,108,36
71,T69,T69,Bronson Burgoon,37,3.0,120,40
72,T69,T69,Jason Day,45,3.0,114,38
73,T69,T69,Tommy Fleetwood,43,3.0,99,33
74,T69,T69,Rickie Fowler,54,3.0,168,56
75,T69,T170,David Hearn,41,3.0,90,30
76,T69,T118,J.J. Henry,42,3.0,72,24
77,T69,T69,Tom Hoge,70,3.0,207,69
78,T69,T69,Matt Jones,67,3.0,180,60
79,T69,T69,Chris Kirk,47,3.0,111,37
80,T69,T69,Kevin Kisner,65,3.0,144,48
81,T69,999,Shane Lowry,30,3.0,51,17
82,T69,T69,Rory McIlroy,50,3.0,108,36
83,T69,T69,Kevin Na,54,3.0,72,24
84,T69,T60,Joaquin Niemann,68,3.0,159,53
85,T69,T69,Ryan Palmer,56,3.0,132,44
86,T69,999,Martin Piller,30,3.0,72,24
87,T69,T69,Chez Reavie,67,3.0,144,48
88,T69,T69,Hudson Swafford,59,3.0,72,24
89,T69,T69,Matt Wallace,31,3.0,60,20
90,T69,T69,Tiger Woods,31,3.0,108,36
91,T92,T89,Sungjae Im,88,3.01,277,92
92,T92,88,Sam Saunders,53,3.01,211,70
93,T94,T89,Fabián Gómez,44,3.02,181,60
94,T94,T89,Billy Horschel,73,3.02,169,56
95,T94,T89,Michael Kim,51,3.02,136,45
96,T94,T89,Hideki Matsuyama,59,3.02,181,60
97,T94,T89,Rory Sabbatini,71,3.02,175,58
98,T94,T89,Xander Schauffele,55,3.02,145,48
99,T94,T89,Brady Schnell,38,3.02,157,52
100,T94,T89,Josh Teater,47,3.02,160,53
101,T94,T89,Michael Thompson,56,3.02,157,52
102,T103,T99,Ryan Blaum,67,3.03,206,68
103,T103,T99,Stewart Cink,33,3.03,88,29
104,T103,T99,Austin Cook,50,3.03,112,37
105,T103,T99,Ben Crane,41,3.03,109,36
106,T103,T99,Max Homa,61,3.03,221,73
107,T103,T112,Mackenzie Hughes,58,3.03,185,61
108,T103,T69,Brooks Koepka,49,3.03,121,40
109,T103,T99,Curtis Luck,51,3.03,109,36
110,T103,T99,Peter Malnati,64,3.03,209,69
111,T103,T99,Pat Perez,52,3.03,182,60
112,T103,T99,Charl Schwartzel,34,3.03,88,29
113,T103,T99,Cameron Tringale,52,3.03,197,65
114,T103,T99,Johnson Wagner,45,3.03,121,40
115,T116,T112,John Chin,38,3.04,146,48
116,T116,T112,Kramer Hickok,59,3.04,146,48
117,T116,T129,Sebastián Muñoz,58,3.04,210,69
118,T116,T112,Andrew Putnam,57,3.04,137,45
119,T116,T144,Brandt Snedeker,68,3.04,213,70
120,T116,T112,Robert Streb,60,3.04,146,48
121,T116,T112,Chris Stroud,54,3.04,152,50
122,T123,T118,Bryson DeChambeau,45,3.05,134,44
123,T123,T118,Jason Dufner,56,3.05,134,44
124,T123,T118,Brian Gay,79,3.05,186,61
125,T123,T118,Charley Hoffman,58,3.05,134,44
126,T123,T118,Sung Kang,67,3.05,174,57
127,T123,T118,Troy Merritt,42,3.05,61,20
128,T123,T118,Francesco Molinari,41,3.05,61,20
129,T123,T118,Carlos Ortiz,60,3.05,125,41
130,T123,T118,Wes Roach,45,3.05,183,60
131,T123,T118,Chase Wright,53,3.05,122,40
132,T133,T129,James Hahn,34,3.06,159,52
133,T133,T129,Martin Kaymer,38,3.06,98,32
134,T133,T129,Russell Knox,65,3.06,98,32
135,T133,T129,Trey Mullinax,67,3.06,147,48
136,T133,T129,J.T. Poston,76,3.06,199,65
137,T133,T129,Brendan Steele,50,3.06,150,49
