,Birdie_or_Better_Percentage_RANK THIS WEEK,Birdie_or_Better_Percentage_RANK LAST WEEK,Birdie_or_Better_Percentage_PLAYER NAME,Birdie_or_Better_Percentage_ROUNDS,Birdie_or_Better_Percentage_%,Birdie_or_Better_Percentage_TOTAL BIRDIES,Birdie_or_Better_Percentage_TOTAL HOLES,Birdie_or_Better_Percentage_GIR RANK
165,T166,167,David Hearn,41,19.37,129,666,123
166,T166,157,Jim Herman,37,19.37,129,666,179
167,168,168,Billy Horschel,73,19.36,230,1188,53
168,T169,T169,Branden Grace,62,19.34,188,972,92
169,T169,T169,Andrew Landry,56,19.34,181,936,103
170,171,164,Tyler Duncan,66,19.27,222,1152,67
171,172,T179,Ben Crane,41,19.24,142,738,167
172,173,T160,Alex Prugh,54,19.22,173,900,15
173,174,T174,Ryan Armour,66,19.19,228,1188,78
174,T175,173,Russell Henley,56,19.12,179,936,55
175,T175,189,Wes Roach,45,19.12,148,774,120
176,T177,171,Tom Hoge,70,19.11,227,1188,149
177,T177,T160,Chris Stroud,54,19.11,172,900,196
178,179,T174,Charl Schwartzel,34,19.1,110,576,201
179,180,T187,Henrik Stenson,46,19.01,130,684,50
180,181,183,Satoshi Kodaira,51,18.87,163,864,191
181,182,186,Robert Streb,60,18.85,190,1008,139
182,183,182,Bill Haas,58,18.83,183,972,187
183,184,T179,Fabián Gómez,44,18.81,149,792,79
184,185,184,Zach Johnson,50,18.78,169,900,185
185,186,178,Sam Saunders,53,18.76,179,954,163
186,187,176,Joaquin Niemann,68,18.69,222,1188,101
187,188,T187,Francesco Molinari,41,18.63,114,612,192
188,189,T179,Alex Noren,49,18.6,154,828,158
189,190,185,Brady Schnell,38,18.57,127,684,169
190,191,192,Seamus Power,58,18.42,179,972,209
191,192,193,John Senden,39,18.32,122,666,36
192,T193,T194,Ernie Els,43,18.29,135,738,92
193,T193,T194,Kyle Stanley,53,18.29,158,864,126
194,195,190,Lucas Bjerregaard,37,18.15,98,540,111
195,T196,T199,Brian Harman,67,18.12,212,1170,203
196,T196,191,Jimmy Walker,61,18.12,199,1098,149
197,198,T196,Freddie Jacobson,37,18.1,114,630,206
198,199,198,Adam Long,52,17.95,168,936,133
199,200,T199,John Huh,35,17.94,113,630,134
200,201,202,Joey Garber,44,17.92,129,720,176
201,202,T196,Alex Cejka,41,17.87,119,666,188
202,203,201,Michael Kim,51,17.46,154,882,195
203,204,204,Chris Thompson,34,17.16,105,612,107
204,205,203,Kyle Jones,49,17.14,145,846,183
205,206,205,D.A. Points,33,16.5,98,594,201
206,207,999,Tyrone Van Aswegen,30,16.11,87,540,156
207,208,206,Rod Pampling,40,15.5,106,684,197
208,209,207,J.J. Henry,42,14.47,99,684,136
