,Tenth_Tee_Late_Par_4_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Par_4_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Par_4_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Par_4_Scoring_Average_ROUNDS,Tenth_Tee_Late_Par_4_Scoring_Average_AVG,Tenth_Tee_Late_Par_4_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Par_4_Scoring_Average_TOTAL HOLES
196,T196,T191,Chesson Hadley,58,4.17,425,102
197,T196,T199,Martin Trainer,51,4.17,647,155
198,T199,T203,Cody Gribble,52,4.18,681,163
199,T199,T194,Luke List,52,4.18,318,76
200,T199,T194,Keith Mitchell,64,4.18,401,96
201,T202,T197,Michael Kim,51,4.19,587,140
202,T202,T197,Patrick Rodgers,44,4.19,281,67
203,T204,T199,Jason Day,45,4.2,42,10
204,T204,T199,Rickie Fowler,54,4.2,42,10
205,T204,T199,Jim Knous,55,4.2,382,91
206,207,205,Dustin Johnson,47,4.23,131,31
207,208,206,Bill Haas,58,4.25,268,63
