,First_Tee_Late_Par_3_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Par_3_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Par_3_Scoring_Average_PLAYER NAME,First_Tee_Late_Par_3_Scoring_Average_ROUNDS,First_Tee_Late_Par_3_Scoring_Average_AVG,First_Tee_Late_Par_3_Scoring_Average_TOTAL STROKES,First_Tee_Late_Par_3_Scoring_Average_TOTAL HOLES
158,T155,T154,Kevin Kisner,65,3.14,204,65
159,T155,T154,Charl Schwartzel,34,3.14,116,37
160,T155,T146,Chris Thompson,34,3.14,88,28
161,T162,T175,Sangmoon Bae,42,3.15,126,40
162,T162,T162,Jonathan Byrd,43,3.15,189,60
163,T162,161,Brice Garnett,63,3.15,126,40
164,T162,T131,Brandon Harkins,67,3.15,126,40
165,T162,T162,Carlos Ortiz,60,3.15,167,53
166,T162,999,Martin Piller,30,3.15,104,33
167,T162,T162,Johnson Wagner,45,3.15,129,41
168,T169,T162,Dominic Bozzelli,53,3.16,180,57
169,T169,T162,Paul Casey,51,3.16,307,97
170,T169,T162,Roberto Díaz,51,3.16,117,37
171,T169,T162,Fabián Gómez,44,3.16,101,32
172,T169,T162,Chesson Hadley,58,3.16,231,73
173,T169,T175,Brian Harman,67,3.16,215,68
174,T169,T162,Si Woo Kim,65,3.16,202,64
175,T169,T162,Sepp Straka,48,3.16,221,70
176,T169,T162,Kevin Streelman,63,3.16,231,73
177,T178,T175,Matt Jones,67,3.17,273,86
178,T178,T175,Kyle Jones,49,3.17,133,42
179,T178,T162,Scott Langley,60,3.17,228,72
180,T178,T175,Troy Merritt,42,3.17,111,35
181,T178,T175,D.A. Points,33,3.17,38,12
182,T183,T181,Cameron Davis,54,3.18,89,28
183,T183,T181,Branden Grace,62,3.18,140,44
184,T183,T181,Kramer Hickok,59,3.18,156,49
185,T183,T187,Seamus Power,58,3.18,194,61
186,T187,T187,Sam Burns,66,3.19,182,57
187,T187,T187,John Chin,38,3.19,118,37
188,T187,T187,Ernie Els,43,3.19,102,32
189,T187,T162,Harris English,72,3.19,169,53
190,T187,T187,Matthew Fitzpatrick,42,3.19,115,36
191,T187,T181,Bill Haas,58,3.19,220,69
192,T193,T193,Kiradech Aphibarnrat,49,3.21,244,76
193,T193,T181,Scott Brown,66,3.21,218,68
194,T193,T193,Beau Hossler,66,3.21,180,56
195,T193,T193,Chris Kirk,47,3.21,93,29
196,T193,T193,Haotong Li,32,3.21,90,28
197,T193,192,Roger Sloan,62,3.21,225,70
198,T193,T199,Cameron Tringale,52,3.21,183,57
199,T200,T197,Rafa Cabrera Bello,57,3.22,232,72
200,T200,T197,Brendan Steele,50,3.22,132,41
201,202,T199,Alex Prugh,54,3.23,129,40
202,T203,201,Lucas Bjerregaard,37,3.27,157,48
203,T203,T202,Seth Reeves,52,3.27,160,49
204,T203,T202,John Senden,39,3.27,121,37
205,T203,T202,Danny Willett,47,3.27,147,45
206,207,205,Matt Wallace,31,3.28,118,36
207,208,206,Grayson Murray,36,3.3,66,20
208,209,207,Hunter Mahan,45,3.39,122,36
