,Sub-Par_Rounds_RANK THIS WEEK,Sub-Par_Rounds_RANK LAST WEEK,Sub-Par_Rounds_PLAYER NAME,Sub-Par_Rounds_EVENTS
323,T302,T299,Doyeob Mun,1
324,T302,T299,Bryson Nimmer,1
325,T302,T299,Henrik Norlander,1
326,T302,T299,Andrea Pavan,1
327,T302,T299,Kenny Perry,8
328,T302,T299,Charles Reiter,1
329,T302,T299,Hiram Silfa,2
330,T302,T299,Vijay Singh,6
331,T302,T299,Richard Sterne,2
332,T302,T299,Brandon Stone,2
333,T302,T299,Omar Uresti,2
334,T302,T299,Ryan Vermeer,4
335,T302,T299,Scott Vincent,2
336,T302,T299,Mark Wilson,1
337,T302,T299,Matthew Wolff,1
338,T302,T299,Carl Yuan,1
339,T340,T335,Brad Adamonis,1
340,T340,T335,Robert Allenby,2
341,T340,T335,Mark Anguiano,1
342,T340,T335,Adri Arnaus,1
343,T340,T335,Arjun Atwal,2
344,T340,T335,Eric Axley,4
345,T340,T335,Oliver Bekker,1
346,T340,T335,Justin Bertsch,2
347,T340,T335,Devon Bling,1
348,T340,T335,Michael Block,2
349,T340,T335,Jason Bohn,3
350,T340,,Etienne Brault,1
351,T340,T335,Minchel Choi,2
352,T340,,Austin Connelly,2
353,T340,T335,Jon Curran,4
354,T340,,JC Deacon,1
355,T340,T335,Bruce Doucett,1
356,T340,T335,Eric Dugas,1
357,T340,T335,David Duval,4
358,T340,T335,Edward Figueroa,1
359,T340,T335,Ross Fisher,1
360,T340,T335,"Ray Franz, Jr.",1
361,T340,T335,Wilson Furr,1
362,T340,T335,Tommy Gainey,3
363,T340,T335,Rahil Gangjee,1
364,T340,T335,Andres Gonzales,1
365,T340,T335,Retief Goosen,3
366,T340,T335,Berry Henson,1
367,T340,T335,Yuta Ikeda,2
368,T340,T335,Marty Jertson,1
369,T340,T335,Takumi Kanaya,2
370,T340,T335,Smylie Kaufman,2
371,T340,T335,Jerry Kelly,2
372,T340,T335,Kurt Kitayama,1
373,T340,T335,Rob Labritz,1
374,T340,T335,Derek Lamely,1
375,T340,T335,Bernhard Langer,1
376,T340,T335,Richard Lee,1
377,T340,T335,Kim Leun-Kwang,1
378,T340,T335,Tom Lewis,3
379,T340,T335,Frank Lickliter II,1
380,T340,T335,Ben Martin,1
381,T340,T335,Eamonn McLoughlin,1
382,T340,T335,Jay McLuen,1
383,T340,T335,Blake Morris,1
384,T340,T335,Cooper Musselman,1
385,T340,,Drew Nesbitt,2
386,T340,T335,Cole Nygren,1
387,T340,T335,Kevin O'Connell,1
388,T340,T335,Derek Oland,1
389,T340,T335,Rob Oppenheim,1
390,T340,T335,Garrett Osborn,1
391,T340,T335,Adrian Otaegui,3
392,T340,T335,David Pastore,2
393,T340,T335,Aaron Rai,1
394,T340,T335,Jovan Rebula,2
395,T340,T335,JC Ritchie,1
396,T340,T335,Ryan Ruffels,1
397,T340,T335,Julio Santos,1
398,T340,T335,Matthew Short,1
399,T340,T335,Kevin Stadler,3
400,T340,T335,Andy Sullivan,1
401,T340,T335,David Toms,1
402,T340,T335,Lee Westwood,3
403,T340,T335,Charlie Wi,1
404,T340,T335,Tim Wilkinson,1
405,T340,,Ryan Yip,1
