,Front_9_Round_3_Scoring_Average_RANK THIS WEEK,Front_9_Round_3_Scoring_Average_RANK LAST WEEK,Front_9_Round_3_Scoring_Average_PLAYER NAME,Front_9_Round_3_Scoring_Average_AVG,Front_9_Round_3_Scoring_Average_TOTAL STROKES,Front_9_Round_3_Scoring_Average_TOTAL ROUNDS
59,T58,T58,Kyoung-Hoon Lee,34.73,521,15
60,T58,T58,Patrick Reed,34.73,382,11
61,T62,T64,Rafa Cabrera Bello,34.77,452,13
62,T62,T64,Chez Reavie,34.77,452,13
63,T64,T66,Cameron Davis,34.78,313,9
64,T64,T66,Justin Rose,34.78,313,9
65,66,79,J.J. Spaun,34.79,487,14
66,T67,T8,Dominic Bozzelli,34.8,348,10
67,T67,T68,Russell Henley,34.8,348,10
68,T67,T68,J.T. Poston,34.8,522,15
69,T67,T68,Charl Schwartzel,34.8,174,5
70,71,T50,Adam Schenk,34.81,557,16
71,T72,T86,Stephan Jaeger,34.82,383,11
72,T72,T73,Cameron Smith,34.82,383,11
73,T74,T75,Bud Cauley,34.83,418,12
74,T74,T75,Brandon Harkins,34.83,418,12
75,T74,T75,Brady Schnell,34.83,209,6
76,T77,T80,Anders Albertson,34.86,244,7
77,T77,T75,Joey Garber,34.86,244,7
78,T77,T80,Chris Kirk,34.86,244,7
79,T77,56,Graeme McDowell,34.86,488,14
80,T77,11,D.J. Trahan,34.86,244,7
81,82,T82,Chase Wright,34.89,314,9
82,T83,T86,Julián Etulain,34.9,349,10
83,T83,T82,Jim Furyk,34.9,349,10
84,T83,T86,Chesson Hadley,34.9,349,10
85,86,89,Brice Garnett,34.91,384,11
86,T87,T73,Martin Laird,34.92,419,12
87,T87,T115,Peter Malnati,34.92,454,13
88,89,90,Nick Taylor,34.93,489,14
89,T90,T92,Byeong Hun An,35.0,420,12
90,T90,T92,Daniel Berger,35.0,350,10
91,T90,T92,Bryson DeChambeau,35.0,315,9
92,T90,91,Harris English,35.0,525,15
93,T90,T92,Rickie Fowler,35.0,455,13
94,T90,T92,James Hahn,35.0,280,8
95,T90,T92,Kevin Kisner,35.0,420,12
96,T90,T82,Scott Langley,35.0,350,10
97,T90,T111,Joaquin Niemann,35.0,525,15
98,T90,T92,Alex Prugh,35.0,315,9
99,T90,T62,Danny Willett,35.0,315,9
100,T90,T92,Gary Woodland,35.0,525,15
101,T102,T101,Wyndham Clark,35.08,421,12
102,T102,T104,Tyler Duncan,35.08,421,12
103,T102,T92,Dylan Frittelli,35.08,421,12
104,T102,T101,Si Woo Kim,35.08,421,12
105,T102,T101,Jhonattan Vegas,35.08,421,12
106,107,T104,Cameron Champ,35.09,386,11
107,108,T106,Patrick Rodgers,35.11,316,9
108,T109,110,Rory Sabbatini,35.13,562,16
109,T109,T119,Brandt Snedeker,35.13,562,16
110,T109,T111,Robert Streb,35.13,281,8
111,112,T111,Abraham Ancer,35.14,492,14
112,113,114,Keith Mitchell,35.15,457,13
113,T114,T115,Lucas Bjerregaard,35.17,211,6
114,T114,T115,J.J. Henry,35.17,211,6
115,116,118,Kramer Hickok,35.18,387,11
116,T117,T119,Stewart Cink,35.2,176,5
117,T117,T122,Zach Johnson,35.2,352,10
118,T117,T106,Alex Noren,35.2,352,10
119,T120,T122,J.B. Holmes,35.22,317,9
120,T120,T108,Sungjae Im,35.22,634,18
121,T120,T122,Carlos Ortiz,35.22,317,9
122,T120,T122,Seth Reeves,35.22,317,9
123,T124,T126,Ernie Els,35.25,282,8
124,T124,T126,Whee Kim,35.25,282,8
125,T124,T126,Kyle Stanley,35.25,282,8
126,T124,T126,Adam Svensson,35.25,282,8
127,128,133,Ryan Moore,35.27,388,11
128,129,T108,Brian Gay,35.28,635,18
129,130,134,Kyle Jones,35.29,247,7
130,131,135,Jason Kokrak,35.31,565,16
131,132,T126,Sepp Straka,35.33,318,9
132,133,T138,Kevin Na,35.36,389,11
133,T134,T136,Keegan Bradley,35.38,460,13
134,T134,T140,Billy Horschel,35.38,566,16
135,T134,T140,Adam Long,35.38,283,8
136,T134,T140,Richy Werenski,35.38,460,13
137,T138,T144,Justin Harding,35.4,177,5
138,T138,T157,Mackenzie Hughes,35.4,354,10
139,T138,T82,Kelly Kraft,35.4,354,10
140,T138,T144,Brian Stuard,35.4,531,15
141,T142,T152,Talor Gooch,35.43,248,7
142,T142,T147,David Hearn,35.43,248,7
143,T142,T147,Grayson Murray,35.43,248,7
144,T145,T149,Andrew Landry,35.44,319,9
145,T145,T126,José de Jesús Rodríguez,35.44,319,9
146,T145,T149,Johnson Wagner,35.44,319,9
147,T145,T140,Bubba Watson,35.44,319,9
148,T149,T144,Hank Lebioda,35.45,390,11
149,T149,151,Michael Thompson,35.45,390,11
150,T151,T152,Sung Kang,35.5,497,14
151,T151,T152,Ian Poulter,35.5,355,10
152,T153,T155,"Ted Potter, Jr.",35.55,391,11
153,T153,T119,Kevin Tway,35.55,391,11
154,T155,T126,Ben Crane,35.56,320,9
155,T155,T157,Jason Day,35.56,320,9
156,T155,T157,Tommy Fleetwood,35.56,320,9
157,158,160,Phil Mickelson,35.57,249,7
158,T159,161,Max Homa,35.58,427,12
159,T159,T138,Sebastián Muñoz,35.58,427,12
160,T159,T155,Roger Sloan,35.58,427,12
161,T162,162,Matthew Fitzpatrick,35.6,356,10
162,T162,T136,Brooks Koepka,35.6,356,10
163,T162,999,Tyrone Van Aswegen,35.6,178,5
164,T165,T163,Ryan Armour,35.62,463,13
165,T165,T163,Russell Knox,35.62,463,13
166,T167,T165,Joel Dahmen,35.63,570,16
167,T167,T165,Martin Kaymer,35.63,285,8
168,T169,T167,Branden Grace,35.64,392,11
169,T169,T167,Tom Hoge,35.64,392,11
170,T169,T167,Beau Hossler,35.64,499,14
171,T172,T170,Vaughn Taylor,35.67,535,15
172,T172,T177,Chris Thompson,35.67,214,6
173,T174,T182,Josh Teater,35.71,250,7
174,T174,185,Jimmy Walker,35.71,500,14
175,176,172,Scott Stallings,35.73,393,11
176,T177,T173,Ryan Blaum,35.75,429,12
177,T177,T173,Patton Kizzire,35.75,429,12
178,T179,T175,Roberto Díaz,35.78,322,9
179,T179,T175,Satoshi Kodaira,35.78,322,9
180,181,T177,Bronson Burgoon,35.8,179,5
181,T182,T180,Jason Dufner,35.82,394,11
182,T182,T177,Jim Knous,35.82,394,11
183,T182,T180,Pat Perez,35.82,394,11
184,T185,T182,John Chin,35.83,215,6
185,T185,999,Martin Piller,35.83,215,6
186,187,T182,Cody Gribble,35.86,251,7
187,T188,T186,Seamus Power,35.88,287,8
188,T188,T186,John Senden,35.88,287,8
189,T188,T186,Martin Trainer,35.88,287,8
190,191,189,Hunter Mahan,35.89,323,9
191,192,T190,Wes Roach,35.9,359,10
192,T193,T190,Curtis Luck,36.0,288,8
193,T193,T190,Trey Mullinax,36.0,468,13
194,T193,T190,Sam Saunders,36.0,360,10
195,196,T190,Jonas Blixt,36.08,469,13
196,197,195,Sam Ryder,36.09,397,11
197,T198,T196,Fabián Gómez,36.11,325,9
198,T198,T196,Tyrrell Hatton,36.11,325,9
199,200,198,Jordan Spieth,36.17,434,12
200,201,199,Brian Harman,36.33,436,12
201,202,200,Francesco Molinari,36.38,291,8
202,T203,T201,Alex Cejka,36.4,182,5
203,T203,T201,Anirban Lahiri,36.4,364,10
204,205,203,Ben Silverman,36.45,401,11
205,206,204,Jim Herman,36.67,110,3
206,207,205,D.A. Points,36.8,184,5
207,208,206,Haotong Li,36.83,221,6
208,209,207,Michael Kim,37.2,186,5
