,First_Tee_Late_Round_1_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Round_1_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Round_1_Scoring_Average_PLAYER NAME,First_Tee_Late_Round_1_Scoring_Average_AVG,First_Tee_Late_Round_1_Scoring_Average_TOTAL STROKES,First_Tee_Late_Round_1_Scoring_Average_TOTAL ROUNDS
50,T49,T45,Charley Hoffman,70.0,350,5
51,T49,T121,Mackenzie Hughes,70.0,280,4
52,T49,T45,Patton Kizzire,70.0,210,3
53,T49,T45,Hank Lebioda,70.0,140,2
54,T49,T45,Denny McCarthy,70.0,140,2
55,T49,T45,Rory McIlroy,70.0,350,5
56,T49,T45,Jon Rahm,70.0,420,6
57,T49,T45,Patrick Reed,70.0,420,6
58,T49,T45,José de Jesús Rodríguez,70.0,280,4
59,T49,T45,Adam Schenk,70.0,350,5
60,T49,T45,Webb Simpson,70.0,490,7
61,T49,61,Adam Svensson,70.0,560,8
62,T49,T45,Peter Uihlein,70.0,350,5
63,T49,T45,Nick Watney,70.0,280,4
64,T49,T45,Gary Woodland,70.0,350,5
65,66,60,Ryan Blaum,70.13,561,8
66,T67,T62,Billy Horschel,70.17,421,6
67,T67,T62,C.T. Pan,70.17,421,6
68,T67,T62,Shawn Stefani,70.17,421,6
69,T70,T66,Byeong Hun An,70.2,351,5
70,T70,T66,Sung Kang,70.2,351,5
71,T72,T69,Jim Furyk,70.25,281,4
72,T72,T69,Fabián Gómez,70.25,281,4
73,T72,T69,Russell Henley,70.25,281,4
74,75,T62,Stephan Jaeger,70.29,492,7
75,T76,T81,Wyndham Clark,70.33,211,3
76,T76,T72,Kyoung-Hoon Lee,70.33,422,6
77,T76,T127,Scott Stallings,70.33,211,3
78,T76,T72,Brian Stuard,70.33,211,3
79,T76,T72,Tiger Woods,70.33,211,3
80,T81,T77,Bill Haas,70.4,352,5
81,T81,T77,Ian Poulter,70.4,352,5
82,83,79,Rickie Fowler,70.43,493,7
83,84,80,Tony Finau,70.44,634,9
84,85,T81,Kevin Streelman,70.5,282,4
85,86,T72,Carlos Ortiz,70.57,494,7
86,T87,T83,Joel Dahmen,70.6,353,5
87,T87,T83,Emiliano Grillo,70.6,353,5
88,89,85,Martin Laird,70.67,424,6
89,T90,T86,Jason Dufner,70.75,283,4
90,T90,T86,Alex Prugh,70.75,283,4
91,T90,T86,Kevin Tway,70.75,283,4
92,T90,T167,Jimmy Walker,70.75,283,4
93,94,90,Brian Gay,70.83,425,6
94,T95,T91,Ryan Armour,71.0,142,2
95,T95,T91,Daniel Berger,71.0,213,3
96,T95,T91,Roberto Díaz,71.0,213,3
97,T95,T91,Cameron Davis,71.0,213,3
98,T95,T91,Jason Day,71.0,426,6
99,T95,T91,J.J. Henry,71.0,213,3
100,T95,T91,Zach Johnson,71.0,284,4
101,T95,T91,Anirban Lahiri,71.0,213,3
102,T95,T91,Troy Merritt,71.0,71,1
103,T95,T91,Keith Mitchell,71.0,426,6
104,T95,T91,Sebastián Muñoz,71.0,426,6
105,T95,T91,J.T. Poston,71.0,426,6
106,T95,T91,Ben Silverman,71.0,213,3
107,T95,T91,Cameron Smith,71.0,142,2
108,T95,126,Brandt Snedeker,71.0,426,6
109,T95,T146,J.J. Spaun,71.0,355,5
110,T95,T91,Nick Taylor,71.0,142,2
111,T95,T91,Richy Werenski,71.0,284,4
112,113,109,Tyler Duncan,71.13,569,8
113,T114,T110,Bryson DeChambeau,71.17,427,6
114,T114,T110,Matt Jones,71.17,427,6
115,T114,T110,Jordan Spieth,71.17,427,6
116,117,113,Jason Kokrak,71.2,356,5
117,T118,T114,Dominic Bozzelli,71.25,285,4
118,T118,T114,Bud Cauley,71.25,285,4
119,T118,T114,Matt Every,71.25,285,4
120,T118,T114,Tom Hoge,71.25,285,4
121,T122,T118,Sungjae Im,71.29,499,7
122,T122,T118,Sam Saunders,71.29,499,7
123,T122,T118,Michael Thompson,71.29,499,7
124,T125,T121,Kiradech Aphibarnrat,71.33,428,6
125,T125,T121,Paul Casey,71.33,642,9
126,T125,T121,Alex Cejka,71.33,214,3
127,T125,T121,Chris Kirk,71.33,214,3
128,T129,T45,Lucas Bjerregaard,71.5,143,2
129,T129,T127,Jonathan Byrd,71.5,429,6
130,T129,T127,Curtis Luck,71.5,286,4
131,T129,T127,Francesco Molinari,71.5,286,4
132,T129,T127,Trey Mullinax,71.5,143,2
133,T129,T127,Adam Scott,71.5,286,4
134,T135,T146,Brooks Koepka,71.6,358,5
135,T135,133,Andrew Putnam,71.6,358,5
136,T137,T134,John Chin,71.67,430,6
137,T137,T134,Corey Conners,71.67,215,3
138,T137,T134,Brian Harman,71.67,430,6
139,T137,T134,David Hearn,71.67,215,3
140,T137,T134,Kevin Kisner,71.67,430,6
141,T137,T134,Brendan Steele,71.67,215,3
142,T143,T140,Scott Langley,71.71,502,7
143,T143,T140,Marc Leishman,71.71,502,7
144,T143,T140,Cameron Tringale,71.71,502,7
145,T146,T143,Brady Schnell,71.75,287,4
146,T146,T143,Martin Trainer,71.75,287,4
147,148,145,Xander Schauffele,71.83,431,6
148,T149,T146,Aaron Baddeley,72.0,144,2
149,T149,T146,Stewart Cink,72.0,144,2
150,T149,T146,Austin Cook,72.0,216,3
151,T149,T146,Ernie Els,72.0,144,2
152,T149,T146,Chesson Hadley,72.0,360,5
153,T149,162,Brandon Harkins,72.0,432,6
154,T149,T146,Tyrrell Hatton,72.0,144,2
155,T149,T146,Michael Kim,72.0,216,3
156,T149,T146,"Ted Potter, Jr.",72.0,144,2
157,T149,T146,Roger Sloan,72.0,144,2
158,T149,T146,Henrik Stenson,72.0,216,3
159,T149,999,Tyrone Van Aswegen,72.0,144,2
160,161,T170,Sangmoon Bae,72.2,361,5
161,T162,190,Kelly Kraft,72.25,289,4
162,T162,T158,Seamus Power,72.25,289,4
163,T162,T158,Ollie Schniederjans,72.25,289,4
164,T165,T160,Dylan Frittelli,72.33,217,3
165,T165,T160,Martin Kaymer,72.33,434,6
166,T167,T163,Rafa Cabrera Bello,72.5,580,8
167,T167,T163,Cameron Champ,72.5,290,4
168,T167,T163,Charl Schwartzel,72.5,145,2
169,T167,T163,Johnson Wagner,72.5,290,4
170,171,T167,Branden Grace,72.67,218,3
171,172,169,J.B. Holmes,72.86,510,7
172,T173,T170,Bronson Burgoon,73.0,219,3
173,T173,T170,Brice Garnett,73.0,146,2
174,T173,T170,Hunter Mahan,73.0,365,5
175,T173,T170,Ryan Moore,73.0,73,1
176,T173,T170,Louis Oosthuizen,73.0,219,3
177,T173,T170,Rod Pampling,73.0,73,1
178,T173,T170,Justin Rose,73.0,219,3
179,T173,T170,Kyle Stanley,73.0,73,1
180,T173,T170,Chris Stroud,73.0,219,3
181,T173,T170,Chris Thompson,73.0,219,3
182,T173,T170,Danny Willett,73.0,146,2
183,T184,T182,Keegan Bradley,73.25,293,4
184,T184,T182,Satoshi Kodaira,73.25,293,4
185,T184,T182,Matt Wallace,73.25,293,4
186,T187,T185,Max Homa,73.33,220,3
187,T187,T185,Kyle Jones,73.33,220,3
188,T187,T185,Aaron Wise,73.33,220,3
189,T190,T188,Ben Crane,73.5,294,4
190,T190,T188,John Senden,73.5,147,2
191,192,999,Martin Piller,73.67,221,3
192,193,191,Robert Streb,73.8,369,5
193,T194,T192,Scott Brown,74.0,370,5
194,T194,T192,John Huh,74.0,222,3
195,T194,T198,Whee Kim,74.0,370,5
196,T194,T192,D.J. Trahan,74.0,74,1
197,T198,T195,Matthew Fitzpatrick,74.33,223,3
198,T198,T195,Freddie Jacobson,74.33,223,3
199,T198,T195,Seth Reeves,74.33,223,3
200,T201,T198,Anders Albertson,75.0,225,3
201,T201,T198,Andrew Landry,75.0,225,3
202,T201,T198,Alex Noren,75.0,75,1
203,204,202,Cody Gribble,77.0,77,1
