,SG_Tee-to-Green_RANK THIS WEEK,SG_Tee-to-Green_RANK LAST WEEK,SG_Tee-to-Green_PLAYER NAME,SG_Tee-to-Green_ROUNDS,SG_Tee-to-Green_AVERAGE,SG_Tee-to-Green_SG:OTT,SG_Tee-to-Green_SG:APR,SG_Tee-to-Green_SG:ARG,SG_Tee-to-Green_MEASURED ROUNDS
100,101,101,Shawn Stefani,72,0.013999999999999999,0.01,-0.11900000000000001,0.122,60
101,102,102,Andres Gonzales,73,-0.003,-0.10400000000000001,-0.08900000000000001,0.19,57
102,103,103,David Lingmerth,79,-0.009000000000000001,-0.032,0.054000000000000006,-0.031,69
103,104,104,Ryan Brehm,83,-0.023,0.13699999999999998,-0.06,-0.099,65
104,105,105,John Huh,92,-0.026000000000000002,-0.049,-0.02,0.043,76
105,106,106,Vaughn Taylor,90,-0.033,-0.001,0.135,-0.168,76
106,107,107,Jim Furyk,54,-0.036000000000000004,-0.491,0.49200000000000005,-0.036000000000000004,44
107,108,108,Smylie Kaufman,76,-0.04,0.091,-0.059000000000000004,-0.073,63
108,109,109,David Hearn,93,-0.044000000000000004,-0.175,0.016,0.115,71
109,110,110,J.J. Spaun,92,-0.045,0.316,-0.122,-0.24,72
110,111,111,Seung-Yul Noh,91,-0.057999999999999996,-0.541,0.044000000000000004,0.439,75
111,T112,T112,Graeme McDowell,56,-0.062,0.085,-0.036000000000000004,-0.111,50
112,T112,T112,Daniel Summerhays,100,-0.062,-0.05,-0.062,0.051,82
113,T112,T112,Tim Wilkinson,64,-0.062,-0.289,-0.31,0.5379999999999999,46
114,T115,T115,Ben Crane,86,-0.068,-0.15,-0.024,0.105,69
115,T115,T115,Sam Saunders,76,-0.068,0.348,-0.136,-0.28,61
116,117,117,William McGirt,89,-0.07200000000000001,0.257,-0.193,-0.13699999999999998,72
117,118,118,C.T. Pan,88,-0.07400000000000001,0.052000000000000005,-0.092,-0.034,76
118,119,119,Zac Blair,105,-0.078,-0.155,-0.141,0.218,81
119,120,120,Billy Horschel,88,-0.08,0.22399999999999998,0.02,-0.324,80
120,121,121,Alex Cejka,85,-0.09300000000000001,-0.02,-0.2,0.127,62
121,122,122,Steven Alker,69,-0.10300000000000001,-0.289,-0.212,0.39799999999999996,51
122,123,123,Roberto Castro,70,-0.114,-0.244,0.099,0.031,54
123,124,124,Brad Fritsch,56,-0.122,-0.43200000000000005,0.235,0.075,42
124,125,125,Morgan Hoffmann,92,-0.138,0.165,-0.419,0.115,82
125,126,126,Kyle Reifers,96,-0.14300000000000002,-0.023,-0.337,0.218,74
126,127,127,Troy Merritt,82,-0.146,-0.11800000000000001,-0.018000000000000002,-0.009000000000000001,70
127,128,128,Chris Kirk,89,-0.155,-0.315,0.10099999999999999,0.059000000000000004,70
128,129,129,Rod Pampling,71,-0.158,-0.11,-0.231,0.183,66
129,130,130,Brian Gay,82,-0.168,-0.41700000000000004,-0.006,0.254,69
130,131,131,Tag Ridings,67,-0.17300000000000001,0.295,-0.35600000000000004,-0.111,50
131,132,132,Camilo Villegas,76,-0.182,-0.524,0.107,0.235,62
132,133,133,Sebastián Muñoz,51,-0.188,0.031,-0.077,-0.14300000000000002,39
133,134,134,Geoff Ogilvy,80,-0.195,-0.064,-0.327,0.196,67
134,135,135,Aaron Baddeley,61,-0.21600000000000003,-0.782,0.256,0.31,46
135,136,136,Richy Werenski,81,-0.223,0.203,-0.12300000000000001,-0.303,61
136,137,137,Martin Flores,88,-0.257,-0.024,0.047,-0.28,67
137,138,138,Billy Hurley III,80,-0.263,-0.812,0.43200000000000005,0.11699999999999999,69
138,139,139,Cameron Tringale,89,-0.265,-0.75,0.08900000000000001,0.396,65
139,T140,T140,Ricky Barnes,100,-0.28600000000000003,-0.638,0.23800000000000002,0.114,77
140,T140,T140,Ryan Blaum,100,-0.28600000000000003,-0.198,-0.032,-0.057,82
141,142,142,Tom Hoge,54,-0.293,-0.35200000000000004,0.235,-0.17600000000000002,39
142,143,143,Mark Anderson,54,-0.309,-0.149,-0.24100000000000002,0.08199999999999999,42
143,144,144,Mackenzie Hughes,106,-0.32,0.021,-0.40399999999999997,0.063,96
144,145,145,Rafa Cabrera Bello,63,-0.326,-0.223,-0.171,0.068,46
145,146,146,Brian Stuard,93,-0.33299999999999996,-0.34,0.171,-0.16399999999999998,69
146,147,147,Harris English,84,-0.336,-0.644,0.138,0.16899999999999998,72
147,148,148,Wesley Bryan,95,-0.337,-0.899,0.42100000000000004,0.141,77
148,149,149,Jonathan Randolph,68,-0.34,0.03,-0.221,-0.149,51
149,150,150,Scott Brown,95,-0.344,0.14300000000000002,-0.225,-0.262,78
150,151,151,Julián Etulain,68,-0.385,-0.035,-0.292,-0.057999999999999996,51
151,152,152,Blayne Barber,77,-0.389,0.040999999999999995,-0.12300000000000001,-0.306,67
152,153,153,Fabián Gómez,61,-0.402,0.022000000000000002,-0.429,0.006,51
153,154,154,Dominic Bozzelli,69,-0.41700000000000004,0.051,-0.342,-0.125,55
154,155,155,Spencer Levin,89,-0.43,-0.161,-0.195,-0.073,67
155,156,156,Ken Duke,77,-0.435,-0.179,-0.256,0.0,60
156,157,157,K.J. Choi,72,-0.439,-0.141,-0.511,0.213,54
157,158,158,Johnson Wagner,71,-0.456,-0.081,-0.08800000000000001,-0.287,57
158,159,159,Patton Kizzire,84,-0.475,-0.7440000000000001,0.29,-0.021,72
159,160,160,Mark Hubbard,81,-0.502,-0.539,0.10099999999999999,-0.064,61
160,161,161,Kelly Kraft,75,-0.524,-0.205,0.159,-0.479,65
161,162,162,Chad Collins,66,-0.5329999999999999,-0.573,-0.254,0.294,54
162,163,163,Gonzalo Fernandez-Castaño,63,-0.5670000000000001,-0.375,-0.312,0.12,44
163,164,164,Rick Lamb,54,-0.57,0.6859999999999999,-0.578,-0.6779999999999999,38
164,165,165,Si Woo Kim,80,-0.573,-0.23600000000000002,-0.447,0.11,60
165,166,166,Brett Drewitt,57,-0.578,-0.209,-0.314,-0.054000000000000006,43
166,167,167,Peter Malnati,91,-0.635,-0.262,-0.563,0.19,73
167,168,168,Steve Wheatcroft,51,-0.6409999999999999,0.259,-0.953,0.054000000000000006,40
168,169,169,Patrick Rodgers,76,-0.65,-0.044000000000000004,-0.529,-0.077,66
169,170,170,Whee Kim,74,-0.6509999999999999,-0.665,-0.14800000000000002,0.163,62
170,171,171,Søren Kjeldsen,58,-0.655,-0.424,-0.09,-0.142,34
171,172,172,Luke Donald,50,-0.657,-1.001,-0.078,0.42200000000000004,43
172,173,173,Derek Fathauer,81,-0.74,-0.456,-0.136,-0.149,64
173,174,174,Brett Stegmaier,78,-0.7509999999999999,-0.141,-0.11699999999999999,-0.493,58
174,175,175,Brian Campbell,55,-0.812,0.063,-0.75,-0.126,41
175,176,176,Hunter Mahan,73,-0.8370000000000001,0.376,-0.8859999999999999,-0.326,59
176,177,177,Greg Chalmers,75,-0.85,-0.496,-0.529,0.175,68
177,178,178,Jonas Blixt,74,-0.877,-0.3,-0.614,0.037000000000000005,59
178,179,179,Ryo Ishikawa,56,-0.9279999999999999,-0.58,-0.32799999999999996,-0.021,43
179,180,180,Cody Gribble,79,-0.985,-0.33799999999999997,-0.586,-0.061,70
180,181,181,Jason Bohn,75,-1.0070000000000001,-0.685,-0.24600000000000002,-0.076,62
181,182,182,Michael Thompson,60,-1.013,-0.431,-0.373,-0.20800000000000002,44
182,183,183,Miguel Angel Carballo,63,-1.038,0.139,-1.035,-0.142,43
183,184,184,Ernie Els,52,-1.136,-0.565,-0.504,-0.067,37
184,185,185,Andrew Loupe,55,-1.175,-0.348,-0.424,-0.40299999999999997,47
185,186,186,Matt Every,76,-1.182,-0.7340000000000001,-0.141,-0.306,61
186,187,187,Bryce Molder,74,-1.229,-1.0979999999999999,-0.431,0.301,64
187,188,188,Carl Pettersson,63,-1.456,-1.123,-0.385,0.052000000000000005,52
188,189,189,Nicholas Lindheim,58,-1.621,-0.733,-0.578,-0.311,44
189,190,190,Steven Bowditch,59,-2.739,-1.7169999999999999,-1.26,0.23800000000000002,45
