,SG_Off-the-Tee_RANK THIS WEEK,SG_Off-the-Tee_RANK LAST WEEK,SG_Off-the-Tee_PLAYER NAME,SG_Off-the-Tee_ROUNDS,SG_Off-the-Tee_AVERAGE,SG_Off-the-Tee_TOTAL SG:OTT,SG_Off-the-Tee_MEASURED ROUNDS
73,74,74,Morgan Hoffmann,92,0.165,13.550999999999998,82
74,75,75,Matt Kuchar,95,0.158,12.155,77
75,76,76,J.T. Poston,95,0.156,11.373,73
76,77,77,Scott Brown,95,0.14300000000000002,11.127,78
77,78,78,Miguel Angel Carballo,63,0.139,5.971,43
78,79,79,Ben Martin,86,0.138,9.655,70
79,80,80,Ryan Brehm,83,0.13699999999999998,8.89,65
80,81,81,Ollie Schniederjans,92,0.125,10.146,81
81,82,82,Chez Reavie,98,0.121,10.055,83
82,83,83,Russell Knox,75,0.102,5.5329999999999995,54
83,84,84,Smylie Kaufman,76,0.091,5.757999999999999,63
84,85,85,Graeme McDowell,56,0.085,4.255,50
85,86,86,Matt Jones,64,0.073,3.7430000000000003,51
86,87,87,Brian Campbell,55,0.063,2.592,41
87,88,88,C.T. Pan,88,0.052000000000000005,3.98,76
88,89,89,Dominic Bozzelli,69,0.051,2.792,55
89,90,90,Scott Stallings,81,0.049,3.301,68
90,T91,T91,Blayne Barber,77,0.040999999999999995,2.7310000000000003,67
91,T91,T91,Chad Campbell,97,0.040999999999999995,3.488,85
92,93,93,Danny Lee,93,0.037000000000000005,2.818,76
93,94,94,Sebastián Muñoz,51,0.031,1.226,39
94,95,95,Jonathan Randolph,68,0.03,1.524,51
95,96,96,Fabián Gómez,61,0.022000000000000002,1.099,51
96,97,97,Mackenzie Hughes,106,0.021,1.9880000000000002,96
97,98,98,Ryan Armour,63,0.02,0.981,49
98,99,99,Charles Howell III,86,0.016,1.0590000000000002,68
99,100,100,Brian Harman,104,0.015,1.304,86
100,101,101,Shawn Stefani,72,0.01,0.611,60
101,102,102,Adam Hadwin,98,0.003,0.273,79
102,T103,T103,Retief Goosen,52,-0.001,-0.042,41
103,T103,T103,Vaughn Taylor,90,-0.001,-0.052000000000000005,76
104,105,105,Zach Johnson,81,-0.005,-0.315,68
105,106,106,Ryan Moore,82,-0.006,-0.406,65
106,T107,T107,Stewart Cink,93,-0.019,-1.506,81
107,T107,T107,Cameron Percy,71,-0.019,-1.0659999999999998,55
108,109,109,Alex Cejka,85,-0.02,-1.215,62
109,T110,T110,Kyle Reifers,96,-0.023,-1.7269999999999999,74
110,T110,T110,Charl Schwartzel,63,-0.023,-1.087,48
111,112,112,Martin Flores,88,-0.024,-1.577,67
112,113,113,David Lingmerth,79,-0.032,-2.197,69
113,114,114,Julián Etulain,68,-0.035,-1.78,51
114,115,115,Webb Simpson,102,-0.036000000000000004,-3.045,84
115,116,116,Patrick Rodgers,76,-0.044000000000000004,-2.917,66
116,117,117,Bill Haas,92,-0.047,-3.3680000000000003,72
117,118,118,John Huh,92,-0.049,-3.705,76
118,119,119,Daniel Summerhays,100,-0.05,-4.106,82
119,120,120,Phil Mickelson,85,-0.057999999999999996,-3.9989999999999997,69
120,121,121,Nick Watney,75,-0.063,-4.03,64
121,122,122,Geoff Ogilvy,80,-0.064,-4.28,67
122,T123,T123,Seamus Power,86,-0.067,-4.5489999999999995,68
123,T123,T123,Tyrone Van Aswegen,105,-0.067,-5.332000000000001,80
124,125,125,Johnson Wagner,71,-0.081,-4.5969999999999995,57
125,126,126,Chris Stroud,67,-0.094,-4.493,48
126,127,127,Andres Gonzales,73,-0.10400000000000001,-5.925,57
127,128,128,Rod Pampling,71,-0.11,-7.255,66
128,129,129,Troy Merritt,82,-0.11800000000000001,-8.253,70
129,130,130,Cameron Smith,86,-0.13,-9.207,71
130,T131,T131,K.J. Choi,72,-0.141,-7.621,54
131,T131,T131,Brett Stegmaier,78,-0.141,-8.177999999999999,58
132,133,133,Pat Perez,93,-0.147,-10.719000000000001,73
133,134,134,Mark Anderson,54,-0.149,-6.278,42
134,135,135,Ben Crane,86,-0.15,-10.344000000000001,69
135,136,136,Zac Blair,105,-0.155,-12.554,81
136,137,137,Robert Streb,98,-0.159,-13.33,84
137,138,138,Spencer Levin,89,-0.161,-10.806,67
138,139,139,Ian Poulter,72,-0.162,-8.933,55
139,140,140,David Hearn,93,-0.175,-12.395999999999999,71
140,141,141,Ken Duke,77,-0.179,-10.729000000000001,60
141,142,142,Ryan Blaum,100,-0.198,-16.233,82
142,143,143,Kelly Kraft,75,-0.205,-13.332,65
143,144,144,Brett Drewitt,57,-0.209,-9.004,43
144,145,145,Rafa Cabrera Bello,63,-0.223,-10.248,46
145,146,146,Si Woo Kim,80,-0.23600000000000002,-14.16,60
146,147,147,Roberto Castro,70,-0.244,-13.181,54
147,148,148,Michael Kim,94,-0.247,-20.725,84
148,149,149,Jimmy Walker,68,-0.258,-12.876,50
149,150,150,Peter Malnati,91,-0.262,-19.104,73
150,T151,T151,Steven Alker,69,-0.289,-14.720999999999998,51
151,T151,T151,Tim Wilkinson,64,-0.289,-13.312999999999999,46
152,153,153,Jonas Blixt,74,-0.3,-17.719,59
153,154,154,Brandt Snedeker,53,-0.311,-13.082,42
154,155,155,Chris Kirk,89,-0.315,-22.059,70
155,156,156,Cody Gribble,79,-0.33799999999999997,-23.651999999999997,70
156,157,157,Brian Stuard,93,-0.34,-23.444000000000003,69
157,158,158,Andrew Loupe,55,-0.348,-16.333,47
158,159,159,Tom Hoge,54,-0.35200000000000004,-13.724,39
159,160,160,Gonzalo Fernandez-Castaño,63,-0.375,-16.494,44
160,161,161,Kevin Na,86,-0.406,-26.775,66
161,162,162,Brian Gay,82,-0.41700000000000004,-28.746,69
162,163,163,Søren Kjeldsen,58,-0.424,-14.409,34
163,164,164,Michael Thompson,60,-0.431,-18.982,44
164,165,165,Brad Fritsch,56,-0.43200000000000005,-18.162,42
165,166,166,D.A. Points,68,-0.436,-25.29,58
166,167,167,Derek Fathauer,81,-0.456,-29.177,64
167,168,168,Jim Furyk,54,-0.491,-21.61,44
168,169,169,Greg Chalmers,75,-0.496,-33.742,68
169,170,170,Camilo Villegas,76,-0.524,-32.491,62
170,171,171,Mark Hubbard,81,-0.539,-32.887,61
171,172,172,Seung-Yul Noh,91,-0.541,-40.56,75
172,173,173,Ernie Els,52,-0.565,-20.916,37
173,174,174,Chad Collins,66,-0.573,-30.963,54
174,175,175,Ryo Ishikawa,56,-0.58,-24.923000000000002,43
175,176,176,Ricky Barnes,100,-0.638,-49.131,77
176,177,177,Harris English,84,-0.644,-46.34,72
177,178,178,Whee Kim,74,-0.665,-41.254,62
178,179,179,Jason Bohn,75,-0.685,-42.46,62
179,180,180,Nicholas Lindheim,58,-0.733,-32.243,44
180,181,181,Matt Every,76,-0.7340000000000001,-44.77,61
181,182,182,Patton Kizzire,84,-0.7440000000000001,-53.58,72
182,183,183,Cameron Tringale,89,-0.75,-48.736999999999995,65
183,184,184,Aaron Baddeley,61,-0.782,-35.949,46
184,185,185,Billy Hurley III,80,-0.812,-56.053000000000004,69
185,186,186,Wesley Bryan,95,-0.899,-69.243,77
186,187,187,Luke Donald,50,-1.001,-43.033,43
187,188,188,Bryce Molder,74,-1.0979999999999999,-70.296,64
188,189,189,Carl Pettersson,63,-1.123,-58.398,52
189,190,190,Steven Bowditch,59,-1.7169999999999999,-77.257,45
