,Sand_Save_Percentage_RANK THIS WEEK,Sand_Save_Percentage_RANK LAST WEEK,Sand_Save_Percentage_PLAYER NAME,Sand_Save_Percentage_ROUNDS,Sand_Save_Percentage_%,Sand_Save_Percentage_# SAVES,Sand_Save_Percentage_# BUNKERS,Sand_Save_Percentage_TOTAL O/U PAR
132,133,133,Alex Cejka,94,46.67,56,120,40.0
133,134,134,Boo Weekley,79,46.61,55,118,46.0
134,135,135,Daniel Summerhays,101,46.58,75,161,52.0
135,136,136,Nicholas Thompson,90,46.28,56,121,47.0
136,137,137,Jason Bohn,95,46.15,60,130,47.0
137,138,138,Roger Sloan,56,46.03,29,63,30.0
138,139,139,Kevin Chappell,86,45.93,62,135,55.0
139,140,140,Troy Merritt,91,45.89,67,146,63.0
140,141,141,Andres Romero,69,45.87,50,109,47.0
141,142,142,Jhonattan Vegas,90,45.79,49,107,34.0
142,143,143,Shawn Stefani,94,45.65,63,138,43.0
143,144,144,Sergio Garcia,59,45.56,41,90,29.0
144,145,145,Gonzalo Fernandez-Castaño,81,45.45,60,132,45.0
145,146,146,Brendon de Jonge,106,45.28,72,159,54.0
146,147,147,Russell Henley,87,45.19,61,135,53.0
147,148,148,Tony Finau,106,45.1,69,153,57.0
148,149,149,Camilo Villegas,83,45.03,68,151,67.0
149,150,150,Byron Smith,59,45.0,27,60,22.0
150,151,151,Keegan Bradley,87,44.88,57,127,52.0
151,152,152,Jim Furyk,71,44.59,33,74,23.0
152,153,153,Whee Kim,71,44.57,41,92,38.0
153,154,154,Retief Goosen,81,44.55,49,110,43.0
154,155,155,Johnson Wagner,68,44.44,36,81,30.0
155,156,156,Oscar Fraustro,58,43.53,37,85,35.0
156,157,157,Gary Woodland,81,43.27,45,104,40.0
157,158,158,Russell Knox,96,43.12,47,109,37.0
158,159,159,Tom Hoge,83,42.86,45,105,39.0
159,160,160,Robert Garrigus,70,42.7,38,89,36.0
160,161,161,Charles Howell III,105,42.42,56,132,40.0
161,162,162,Robert Allenby,63,42.35,36,85,32.0
162,163,163,Bo Van Pelt,81,42.34,47,111,48.0
163,164,164,Ángel Cabrera,53,42.06,45,107,48.0
164,T165,T165,Jason Dufner,76,41.73,53,127,58.0
165,T165,T165,Hudson Swafford,97,41.73,53,127,46.0
166,167,167,Alex Prugh,84,41.51,44,106,40.0
167,168,168,Geoff Ogilvy,50,41.33,31,75,26.0
168,169,169,Jim Renner,68,41.11,37,90,46.0
169,170,170,Charlie Beljan,76,40.94,52,127,54.0
170,171,171,John Merrick,78,40.78,42,103,37.0
171,172,172,Derek Ernst,75,40.57,43,106,46.0
172,173,173,J.J. Henry,94,40.19,43,107,38.0
173,174,174,Fabián Gómez,83,39.84,49,123,53.0
174,175,175,Patrick Rodgers,57,39.56,36,91,40.0
175,176,176,Spencer Levin,99,39.2,49,125,46.0
176,177,177,David Hearn,97,38.97,53,136,69.0
177,178,178,Dustin Johnson,75,38.6,44,114,51.0
178,179,179,Paul Casey,87,38.46,45,117,49.0
179,180,180,Max Homa,78,38.4,48,125,59.0
180,T181,T181,Scott Piercy,90,37.5,48,128,47.0
181,T181,T181,Chez Reavie,56,37.5,27,72,30.0
182,183,183,Davis Love III,51,37.35,31,83,32.0
183,184,184,Andrew Svoboda,80,37.17,42,113,54.0
